_inputshopbuymultiple;KUP
achievement_90100_title;Rozgrzewka
achievement_90101_desc;Rozegraj 5 partii w stroju Yennefer „Mag bitewny”
achievement_90101_title;Gotowa do walki
achievement_90102_desc;Rozegraj 10 partii w stroju Yennefer „Mag bitewny”
achievement_90102_title;Zaprawiona w bojach
achievement_90103_desc;Rozegraj 20 partii w stroju Yennefer „Mag bitewny”
achievement_90103_title;Groźna przeciwniczka
achievement_90104_desc;Rozegraj 40 partii w stroju Yennefer „Mag bitewny”
achievement_90104_title;Zahartowana w ogniu bitwy
achievement_90106_desc;Rozegraj 1 partię w stroju Yennefer „Lekka zbroja”
achievement_90106_title;Niecodzienny widok
achievement_90107_desc;Rozegraj 5 partii w stroju Yennefer „Lekka zbroja”
achievement_90107_title;Coś innego
achievement_90108_desc;Rozegraj 10 partii w stroju Yennefer „Lekka zbroja”
achievement_90108_title;Niezwykły strój
achievement_90109_desc;Rozegraj 20 partii w stroju Yennefer „Lekka zbroja”
achievement_90109_title;Wyjątkowy wygląd
achievement_90110_desc;Rozegraj 40 partii w stroju Yennefer „Lekka zbroja”
achievement_90110_title;Niepowtarzalny styl
achievement_90112_desc;Rozegraj 1 partię w stroju Yennefer „Kaptur” lub „Peleryna”
achievement_90112_title;Za osłoną
achievement_90113_desc;Rozegraj 5 partii w stroju Yennefer „Kaptur” lub „Peleryna”
achievement_90113_title;W przebraniu
achievement_90114_desc;Rozegraj 10 partii w stroju Yennefer „Kaptur” lub „Peleryna”
achievement_90114_title;Zamaskowana
achievement_90115_desc;Rozegraj 20 partii w stroju Yennefer „Kaptur” lub „Peleryna”
achievement_90115_title;Szczelnie okryta
achievement_90116_desc;Rozegraj 40 partii w stroju Yennefer „Kaptur” lub „Peleryna”
achievement_90116_title;Ukryta na widoku
achievement_90118_desc;Rozegraj 1 partię w stroju Yennefer „Suknia balowa” lub „Nekromanta”
achievement_90118_title;Na specjalne okazje
achievement_90119_desc;Rozegraj 5 partii w stroju Yennefer „Suknia balowa” lub „Nekromanta”
achievement_90119_title;Jedność z naturą
achievement_90120_desc;Rozegraj 10 partii w stroju Yennefer „Suknia balowa” lub „Nekromanta”
achievement_90120_title;Nienaganna prezencja
achievement_90121_desc;Rozegraj 20 partii w stroju Yennefer „Suknia balowa” lub „Nekromanta”
achievement_90121_title;Stworzona, by nosić obcasy
achievement_90122_desc;Rozegraj 40 partii w stroju Yennefer „Suknia balowa” lub „Nekromanta”
achievement_90122_title;Czarno-niebieska czy złoto-biała?
achievement_90123_desc;Ukończ wszystkie kontrakty powiązane z Podróżą Yennefer
achievement_90123_title;Nie do powstrzymania
achievement_90125_desc;Ukończ 5 zadań Podróży Triss
achievement_90125_title;Usiądź i posłuchaj
achievement_90126_desc;Ukończ 10 zadań Podróży Triss
achievement_90126_title;Opowieść z przeszłości
achievement_90127_desc;Ukończ 20 zadań Podróży Triss
achievement_90127_title;Ostatni rozdział
achievement_90128_desc;Ukończ wszystkie zadania z Podróży Triss w trybie standardowym i premium
achievement_90128_title;Jak feniks z popiołów
achievement_90129_desc;Ukończ wszystkie zadania tygodniowe z trybu standardowego Podróży Triss
achievement_90129_title;Marzycielka
achievement_90130_desc;Ukończ wszystkie zadania z Podróży Triss w trybie premium
achievement_90130_title;Burza ognia
achievement_90131_desc;Osiągnij 100 poziom Podróży Triss w trybie standardowym i premium
achievement_90131_title;Czarodziejka ognia
achievement_90132_desc;Zdobądź 100 poziom w trybie standardowym Podróży Triss
achievement_90132_title;Onejromantka
achievement_90133_desc;Osiągnij 100 poziom Podróży Triss w trybie premium
achievement_90133_title;Uzdrowicielka
achievement_90135_desc;Rozegraj 1 partię w stroju Triss: „Szata medyczki”
achievement_90135_title;Formuła medyczna
achievement_90136_desc;Rozegraj 5 partii w stroju Triss: „Szata medyczki”
achievement_90136_title;Zbieranie składników
achievement_90137_desc;Rozegraj 10 partii w stroju Triss: „Szata medyczki”
achievement_90137_title;Czyszczenie fiolki
achievement_90138_desc;Rozegraj 20 partii w stroju Triss: „Szata medyczki”
achievement_90138_title;Mieszanie ziół
achievement_90139_desc;Rozegraj 40 partii w stroju Triss: „Szata medyczki”
achievement_90139_title;Warzenie eliksiru
achievement_90141_desc;Rozegraj 1 partię w stroju Triss: „Zabójcy królów”
achievement_90141_title;Prolog
achievement_90142_desc;Rozegraj 5 partii w stroju Triss: „Zabójcy królów”
achievement_90142_title;Rozdział I
achievement_90143_desc;Rozegraj 10 partii w stroju Triss: „Zabójcy królów”
achievement_90143_title;Rozdział II
achievement_90144_desc;Rozegraj 20 partii w stroju Triss: „Zabójcy królów”
achievement_90144_title;Rozdział III
achievement_90145_desc;Rozegraj 40 partii w stroju Triss: „Zabójcy królów”
achievement_90145_title;Epilog
achievement_90147_desc;Rozegraj 1 partię w stroju Triss: „Temerski płaszcz bojowy” lub „Szkarłatny płaszcz bojowy”
achievement_90147_title;Uprzejmość
achievement_90148_desc;Rozegraj 5 partii w stroju Triss: „Temerski płaszcz bojowy” lub „Szkarłatny płaszcz bojowy”
achievement_90148_title;Spryt
achievement_90149_desc;Rozegraj 10 partii w stroju Triss: „Temerski płaszcz bojowy” lub „Szkarłatny płaszcz bojowy”
achievement_90149_title;Przebiegłość
achievement_90150_desc;Rozegraj 20 partii w stroju Triss: „Temerski płaszcz bojowy” lub „Szkarłatny płaszcz bojowy”
achievement_90150_title;Strategia
achievement_90151_desc;Rozegraj 40 partii w stroju Triss; „Temerski płaszcz bojowy” lub „Szkarłatny płaszcz bojowy”
achievement_90151_title;Dyplomacja
achievement_90153_desc;Rozegraj 1 partię w stroju Triss: „Nieustraszona Merigold” lub „Szmaragdowa maska lisa”
achievement_90153_title;Lisiczka
achievement_90154_desc;Rozegraj 5 partii w stroju Triss: „Nieustraszona Merigold” lub „Szmaragdowa maska lisa”
achievement_90154_title;Przebiegła jak lis
achievement_90155_desc;Rozegraj 10 partii w stroju Triss: „Nieustraszona Merigold” lub „Szmaragdowa maska lisa”
achievement_90155_title;Wytworna
achievement_90156_desc;Rozegraj 20 partii w stroju Triss: „Nieustraszona Merigold” lub „Szmaragdowa maska lisa”
achievement_90156_title;Chytra Triss
achievement_90157_desc;Rozegraj 40 partii w stroju Triss: „Nieustraszona Merigold” lub „Szmaragdowa maska lisa”
achievement_90157_title;Klasa i elegancja
achievement_90158_desc;Rozegraj 10 partii z awatarem „Nastoletnia Triss”
achievement_90158_title;Młoda i piękna
achievement_90159_desc;Rozegraj 10 partii z awatarem „Triss z Wiedźmina”
achievement_90159_title;Dawno temu
achievement_90160_desc;Rozegraj 10 partii z awatarem „Medyczka”
achievement_90160_title;Szalone eksperymenty
achievement_90161_desc;Ukończ wszystkie kontrakty powiązane z Podróżą Triss
achievement_90161_title;Długa opowieść
achievement_90171_title;Obietnica
achievement_90172_title;Zwrot
achievement_90173_title;Prestiż
achievement_90175_desc;Ukończ wszystkie zadania Podróży po Aretuzie
achievement_90175_title;I tak nic nie wiemy
achievement_90176_desc;Ukończ wszystkie zadania Podróży po Aretuzie w trybie standardowym
achievement_90176_title;Rozdanie świadectw
achievement_90177_desc;Ukończ wszystkie zadania z Podróży po Aretuzie w trybie premium
achievement_90177_title;Ukończona monografia
achievement_90179_desc;Osiągnij 100 poziom Podróży po Aretuzie w trybie standardowym i premium
achievement_90179_title;Wstęp do arkanów magii
achievement_90180_desc;Osiągnij 100 poziom w trybie standardowym Podróży po Aretuzie
achievement_90180_title;Uczennica Aretuzy
achievement_90181_desc;Osiągnij 100 poziom Podróży po Aretuzie w trybie premium
achievement_90181_title;Adeptka z Aretuzy
achievement_90183_title;Pierwsze wrażenie to ostatnie wrażenie
achievement_90184_title;Całkiem tu przyjemnie
achievement_90185_title;Dobrze jest, proszę pani
achievement_90186_title;Niemal jak w domu
achievement_90187_title;Każdy kąt, każdy zakamarek
achievement_90189_title;Gwiezdny pył
achievement_90190_title;Protogwiazda
achievement_90191_title;Nadolbrzym
achievement_90192_title;Supernowa
achievement_90193_title;Stara dobra galaktyka
achievement_90195_title;Poranna pobudka
achievement_90196_title;Pierwsza lekcja na dziś
achievement_90197_title;Drugie śniadanie!
achievement_90198_title;Czy to się kiedyś skończy?
achievement_90199_title;Po szkole
achievement_90201_title;Mroczna jaskinia
achievement_90202_title;Przemoczone pudełko zapałek
achievement_90203_title;Światło pochodni
achievement_90204_title;Ognisko w jaskini
achievement_90205_title;Płomień goreje
achievement_90207_title;Wiejskie dziewczęta z Aretuzy
achievement_90208_title;Muzyka Aretuzy
achievement_90209_title;Klub muzyki rozrywkowej Aretuzy
achievement_90210_desc;Ukończ wszystkie kontrakty Podróży po Aretuzie
achievement_90210_title;Ulubienica dyrektorki
achievement_90212_title;Ławka
achievement_90213_title;Dyby
achievement_90214_title;Klatka
achievement_90216_desc;Ukończ wszystkie zadania Podróży Regisa
achievement_90216_title;Spotkanie z Regisem
achievement_90217_desc;Ukończ wszystkie zadania Podróży Regisa w trybie standardowym
achievement_90217_title;Łowca rycerzy
achievement_90218_desc;Ukończ wszystkie zadania z Podróży Regisa w trybie premium
achievement_90218_title;Rozjemca
achievement_90220_desc;Osiągnij 100 poziom Podróży Regisa w trybie standardowym i premium
achievement_90220_title;Wreszcie odpoczynek
achievement_90221_desc;Osiągnij 100 poziom Podróży Regisa w trybie standardowym
achievement_90221_title;I jedyne, co z tego mam…
achievement_90222_desc;Osiągnij 100 poziom Podróży Regisa w trybie premium
achievement_90222_title;Zawsze to samo
achievement_90224_title;Po prostu cyrulik
achievement_90225_title;Ups, coś poszło nie tak
achievement_90226_title;Niewinna pomyłka
achievement_90227_title;Zakrwawione narzędzia
achievement_90228_title;(Nie)kontrolowane pragnienie
achievement_90230_title;Witamy na balu
achievement_90231_title;Czas na aperitif!
achievement_90232_title;Elegant
achievement_90233_title;Pasjonat walca
achievement_90234_title;Komu bije dzwon północy
achievement_90236_title;Poborca krwi
achievement_90237_title;Prawie nieludzki
achievement_90238_title;Nie bądź samotnym wędrowcem
achievement_90239_title;Cmentarna wyprawa po zioła
achievement_90240_title;Śmiertelna pomyłka
achievement_90242_title;Dzieci Nocy
achievement_90243_title;Dać sercom na wstrzymanie
achievement_90244_title;Ostatnie, co chcesz zobaczyć
achievement_90245_title;Imperium pełni księżyca
achievement_90246_title;Legendarny wampir
achievement_90248_title;Głucha cisza
achievement_90249_title;Złowrogi odgłos
achievement_90250_title;Tej nocy dzwon przebił mi bębenki
achievement_90251_desc;Ukończ wszystkie kontrakty Podróży Regisa
achievement_90251_title;Konsumpcja
achievement_90253_title;Dwa razy ten sam błąd
achievement_90254_title;Staruchy uwielbiają trójcę
achievement_90256_title;Złowieszcze spojrzenie
achievement_90257_title;Pamiątka rodzinna
achievement_90259_desc;Ukończ 5 zadań Podróży Jaskra
achievement_90259_title;Występ przed lustrem
achievement_90260_desc;Ukończ 10 zadań Podróży Jaskra
achievement_90260_title;Występ dla przyjaciół i rodziny
achievement_90261_desc;Ukończ 20 zadań Podróży Jaskra
achievement_90261_title;Wioskowa rozrywka
achievement_90262_desc;Ukończ wszystkie zadania Podróży Jaskra
achievement_90262_title;Zabawa w gospodzie
achievement_90263_desc;Ukończ wszystkie zadania ze standardowej Podróży Jaskra
achievement_90263_title;Główna gwiazda festiwalu
achievement_90264_desc;Ukończ wszystkie zadania z Podróży Jaskra w trybie premium
achievement_90264_title;Nadworny muzyk
achievement_90265_desc;Osiągnij 100 poziom Podróży Jaskra w trybie standardowym i premium
achievement_90265_title;Dumny z siebie
achievement_90266_desc;Osiągnij 100 poziom w standardowej Podróży Jaskra
achievement_90266_title;Dumny przyjaciel Juliana Alfreda Pankratza
achievement_90267_desc;Osiągnij 100 poziom Podróży Jaskra w trybie premium
achievement_90267_title;Dumny współpracownik Sigismunda Dijkstry
achievement_90269_desc;Rozegraj 1 partię w stylowym szalu lub eleganckim stroju Jaskra
achievement_90269_title;Uwielbiany przez wielu
achievement_90270_desc;Rozegraj 5 partii w stylowym szalu lub eleganckim stroju Jaskra
achievement_90270_title;Prawdziwy artysta i wizjoner
achievement_90271_desc;Rozegraj 10 partii w stylowym szalu lub eleganckim stroju Jaskra
achievement_90271_title;Niepoprawny optymista
achievement_90272_desc;Rozegraj 20 partii w stylowym szalu lub eleganckim stroju Jaskra
achievement_90272_title;Wolny duch
achievement_90273_desc;Rozegraj 30 partii w stylowym szalu lub eleganckim stroju Jaskra
achievement_90273_title;W olśniewającym stylu
achievement_90275_desc;Rozegraj 1 partię w płaszczu wędrownego barda lub w koszuli z guzikami Jaskra
achievement_90275_title;Najlepszy poeta
achievement_90276_desc;Rozegraj 5 partii w płaszczu wędrownego barda lub w koszuli z guzikami Jaskra
achievement_90276_title;Najlepszy bard
achievement_90277_desc;Rozegraj 10 partii w płaszczu wędrownego barda lub w koszuli z guzikami Jaskra
achievement_90277_title;Najlepszy lirnik
achievement_90278_desc;Rozegraj 20 partii w płaszczu wędrownego barda lub w koszuli z guzikami Jaskra
achievement_90278_title;Najlepszy trubadur
achievement_90279_desc;Rozegraj 30 partii w płaszczu wędrownego barda lub w koszuli z guzikami Jaskra
achievement_90279_title;Po prostu mistrz
achievement_90281_desc;Rozegraj 1 partię z wyposażonym bukietem czerwonych róż lub koncertową aurą Jaskra
achievement_90281_title;Wśród kolców rosną róże
achievement_90282_desc;Rozegraj 5 partii z wyposażonym bukietem czerwonych róż lub koncertową aurą Jaskra
achievement_90282_title;Sztuka jest jak delikatny kwiat
achievement_90283_desc;Rozegraj 10 partii z wyposażonym bukietem czerwonych róż lub koncertową aurą Jaskra
achievement_90283_title;Spotkanie w Dolinie Kwiatów
achievement_90284_desc;Rozegraj 20 partii z wyposażonym bukietem czerwonych róż lub koncertową aurą Jaskra
achievement_90284_title;Miłość to kwiat – pozwól jej rosnąć
achievement_90285_desc;Rozegraj 30 partii z wyposażonym bukietem czerwonych róż lub koncertową aurą Jaskra
achievement_90285_title;Miłość widzi róże bez kolców
achievement_90287_desc;Rozegraj 1 partię, używając dowolnej ścieżki dźwiękowej z Podróży Jaskra
achievement_90287_title;Wykonawca
achievement_90288_desc;Rozegraj 5 partii, używając dowolnej ścieżki dźwiękowej z Podróży Jaskra
achievement_90288_title;Muzyk
achievement_90289_desc;Rozegraj 10 partii, używając dowolnej ścieżki dźwiękowej z Podróży Jaskra
achievement_90289_title;Solista
achievement_90290_desc;Rozegraj 20 partii, używając dowolnej ścieżki dźwiękowej z Podróży Jaskra
achievement_90290_title;Wirtuoz
achievement_90295_title;Powrót Królowej
achievement_90296_title;Pomóż królowi Eistowi Tuirseachowi
achievement_90297_title;Pomóż królowej Calanthe
achievement_90298_title;Pomóż Sigismundowi Dijkstrze
achievement_90299_title;Pomóż Philippie Eilhart
achievement_90301_desc;Ukończ 5 zadań Podróży Geralta
achievement_90301_title;Porzucone dziecko
achievement_90302_desc;Ukończ 10 zadań Podróży Geralta
achievement_90302_title;Pierwsza próba
achievement_90303_desc;Ukończ 20 zadań Podróży Geralta
achievement_90303_title;Pierwsze kroki wiedźmina
achievement_90305_desc;Osiągnij 110 poziom Podróży Geralta w trybie premium
achievement_90305_title;Pogromca potworów
achievement_90306_desc;Osiągnij 120 poziom Podróży Geralta w trybie premium
achievement_90306_title;Siła telekinezy
achievement_90307_desc;Osiągnij 130 poziom Podróży Geralta w trybie premium
achievement_90307_title;Hipnotyczny efekt
achievement_90308_desc;Osiągnij 145 poziom Podróży Geralta w trybie premium
achievement_90308_title;Magiczna pułapka
achievement_90309_desc;Osiągnij 160 poziom Podróży Geralta w trybie premium
achievement_90309_title;Tarcza ochronna
achievement_90310_desc;Osiągnij 175 poziom Podróży Geralta w trybie premium
achievement_90310_title;Gdzie jest mój piąty element?
achievement_90312_desc;Wygraj 1 grę, używając jednaj z aur Geralta
achievement_90312_title;Pierwszy płomień
achievement_90313_desc;Wygraj 10 gier, używając jednaj z aur Geralta
achievement_90313_title;Zabawy z ogniem
achievement_90314_desc;Wygraj 30 gier, używając jednaj z aur Geralta
achievement_90314_title;Pirokinetyczny rozbłysk
achievement_90315_desc;Ukończ wszystkie kontrakty powiązane z Przygodą Geralta wypisane poniżej:
achievement_90315_title;Gwynbleidd na szlaku
achievement_90317_desc;Ukończ 5 zadań Podróży Ciri
achievement_90317_title;Dziecko na Prawie Niespodzianki
achievement_90318_desc;Ukończ 10 zadań Podróży Ciri
achievement_90318_title;Sierota
achievement_90319_desc;Ukończ 20 zadań Podróży Ciri
achievement_90319_title;Księżniczka Cintry
achievement_90321_desc;Wygraj 1 grę, używając jednego z trofeów Ciri
achievement_90321_title;Skoczkini
achievement_90322_desc;Wygraj 10 gier, używając jednego z trofeów Ciri
achievement_90322_title;Podróżniczka między światami
achievement_90323_desc;Wygraj 30 gier, używając jednego z trofeów Ciri
achievement_90323_title;Pani Czasów i Miejsc
achievement_90324_desc;Wygraj 30 gier, używając jednej z aur Ciri
achievement_90324_title;Poczuj siłę
achievement_90325_desc;Wygraj 30 gier, używając jednego z nakryć głowy Ciri
achievement_90325_title;Nie traćmy głowy
achievement_90326_desc;Wygraj 30 gier, używając jednej z monet Ciri
achievement_90326_title;Niech rzut monetą zadecyduje o losie
achievement_90327_desc;Wygraj 30 gier, używając jednego z rewersów Ciri
achievement_90327_title;Zapisane w kartach
achievement_90328_desc;Ukończ wszystkie kontrakty powiązane z akcesoriami Ciri wypisane poniżej:
achievement_90328_title;Mistrzyni dodatków
achievement_90329_desc;Ukończ wszystkie kontrakty powiązane z Przygodami Geralta i Ciri wypisane poniżej:
achievement_90329_title;Jak ojciec z córką
achievement_category_arena;Arena
achievement_category_collection;Kolekcja
achievement_category_expansions;dodatki
achievement_category_general;Ogólne
achievement_category_journey;podróż
achievement_category_levels;Poziomy
achievement_category_mastery;Mistrzostwo
achievement_category_ranked;Rankingowe
achievement_category_seasonal;Sezonowe
achievement_category_singleplayer;Wiedźmińskie Opowieści
achievement_complete_love_event;Pomóż wszystkim bohaterom wydarzenia miłosnego
achievement_complete_x_aretuza_quests;Ukończ zadania Podróży po Aretuzie w liczbie: {0}
achievement_complete_x_regis_quests;Ukończ zadania ({0}) Podróży Regisa
achievement_geralt_winter_event;Wygraj rozgrywki ({0}) ze skórką Geralta
achievement_help_x_crones;Pomóż Staruchom ({0}) przygotować prezent dla mieszkańców wioski podczas święta Saovine
achievement_play_dandelion_first_set_desc;Rozegraj partie ({0}) w stylowym szalu lub eleganckim stroju Jaskra
achievement_play_dandelion_fourth_set_desc;Rozegraj partie ({0}), używając dowolnej ścieżki dźwiękowej z Podróży Jaskra
achievement_play_dandelion_second_set_desc;Rozegraj partie ({0}) w płaszczu wędrownego barda lub w koszuli z guzikami Jaskra
achievement_play_dandelion_third_set_desc;Rozegraj partie ({0}) z wyposażonym bukietem czerwonych róż lub koncertową aurą Jaskra
achievement_play_vampires_x_matches;Zagraj wampirem w {0} partiach
achievement_play_x_games_with_aretuza_music;Rozegraj partie w liczbie {0}, używając jakiejkolwiek ścieżki dźwiękowej z Podróży po Aretuzie
achievement_play_x_games_with_cave;Rozegraj partie w liczbie {0}, używając planszy Jaskinia na Thanedd
achievement_play_x_games_with_classrooms;Rozegraj partie w liczbie {0}, używając jakiejkolwiek planszy z serii Sala Lekcyjna Aretuzy
achievement_play_x_games_with_half_regis;Rozegraj partie ({0}) jako Regis – Mieszaniec
achievement_play_x_games_with_halls;Rozegraj partie w liczbie {0}, używając jakiejkolwiek planszy z serii Sala Aretuzy
achievement_play_x_games_with_office;Rozegraj partie w liczbie: {0}, używając planszy Gabinet dyrektorki
achievement_play_x_games_with_regis_ball;Rozegraj partie ({0}) w stroju balowym Regisa
achievement_play_x_games_with_regis_human;Rozegraj partie ({0}) w płaszczu Regisa
achievement_play_x_games_with_regis_music;Rozegraj partie ({0}), używając jakiejkolwiek ścieżki dźwiękowej z Podróży Regisa
achievement_play_x_games_with_vampire_regis;Rozegraj partie ({0}) jako Regis – Wampir
achievement_points;Wynik: {0}
achievement_thronebreaker_chest_unlock_desc;Odblokowywane przez otwarcie konkretnej skrzynki w Wojnie Krwi.
achievements_all;Wszystko
achievements_almost_completed;Prawie ukończone
achievements_claim;Odbierz:
achievements_reward;Nagroda:
achievements_summary;Podsumowanie
achievements_track;Śledź
achievements_tracking;Śledzone
achievements_unclaimed;Nieodebrane
active_leader_mill_warning;Nie można zniszczyć karty lidera, jeśli jest obecnie używana w jednej z talii!
advance_loading_screen_hint_1;Liczba nadmiarowych kart na początku rundy dodaje się do limitu wymiany kart!
advance_loading_screen_hint_10;Umiejętności są wykorzystywane kolejno od lewej do prawej. Najpierw rzędy bliskiego starcia, potem dalekiego zasięgu.
advance_loading_screen_hint_11;Umiejętności rozmieszczenia kart są stosowane przed ich zniszczeniem przez umiejętności pasywne innych kart.
advance_loading_screen_hint_12;Kiedy spasujesz po ruchu przeciwnika, umiejętności twoich kart wciąż aktywują się na koniec tury!
advance_loading_screen_hint_13;Kiedy obaj gracze spasują runda zakończy się automatycznie.
advance_loading_screen_hint_14;Kiedy nadejdzie Białe Zimno... nie jedz żółtego śniegu.
advance_loading_screen_hint_15;SKLEEEEEEEEEP!
advance_loading_screen_hint_16;Im wyższa twoja ranga, tym więcej punktów nagród otrzymasz na koniec sezonu!
advance_loading_screen_hint_17;Aż do rangi 7, wygrane gry w serii zwycięstw zapewnią dodatkowy fragment mozaiki.
advance_loading_screen_hint_18;Kiedy przekraczasz poziom 60, zdobywanie poziomów zaczyna się od nowa, z tym że w beczkach kryją się coraz lepsze karty!
advance_loading_screen_hint_19;Dostajesz prestiżowe ulepszenia za kazdym razem, gdy przekraczasz poziom 60.
advance_loading_screen_hint_2;Jeśli podobała ci się rozegrana właśnie partia, nie zapomnij pogratulować przeciwnikowi!
advance_loading_screen_hint_20;Skórka dowódcy może być przypisana wyłącznie do talii pasującej frakcji.
advance_loading_screen_hint_21;Karty odrzucone podczas wymiany są z powrotem wtasowywane do talii.
advance_loading_screen_hint_22;Pamiętaj, żeby wydawać posiadane punkty nagród w Księdze Nagród!
advance_loading_screen_hint_23;Gdy pierwszy raz przekroczysz 60 poziom, masz zagwarantowane 2 rzadkie karty w każdej beczce, na zawsze!
advance_loading_screen_hint_24;Kontrakty możesz śledzić w swoim profilu gracza.
advance_loading_screen_hint_25;Możesz wybrać w swoim profilu maksymalnie 3 kontrakty, które chcesz prezentować.
advance_loading_screen_hint_26;Żeby wspiąć się na szczyt rankingu, musisz rozegrać co najmniej 25 partii 4 frakcjami.
advance_loading_screen_hint_27;Po osiągnięciu 1. rangi możesz awansować raz jeszcze, osiągając rangę Pro Rank.
advance_loading_screen_hint_28;Normalnie wygnane karty nie aktywują umiejętności zemsty, ale jednostki z fatum już tak!
advance_loading_screen_hint_29;Zajrzyj do swojej talii lub do cmentarza, by sprawdzić, co jest w środku.
advance_loading_screen_hint_3;Potwory polegają na przewadze liczebnej i pochłanianiu siebie nawzajem.
advance_loading_screen_hint_30;Możesz dodać więcej niż 25 kart do swojej talii.
advance_loading_screen_hint_31;Budowanie przemyślanych talii jest kluczem do zwycięstwa.
advance_loading_screen_hint_32;Chcesz, aby twoje partie rozgrywane były szybciej? Poeksperymentuj z ustawieniem „Wyświetlaj porady dotyczące kart zagrywanych przez oponenta” w menu ustawień.
advance_loading_screen_hint_4;Pozostawione samym sobie Królestwa Północy mogą łatwo wymknąć się spod kontroli.
advance_loading_screen_hint_5;Nilfgaardczycy są znani z wykorzystywania przeciwko tobie twojej własnej siły!
advance_loading_screen_hint_6;Wojownicy ze Skellige radują się z ran – zarówno tych zadawanych wrogom, jak i tych, które sami ponoszą!
advance_loading_screen_hint_7;Uważaj na pułapki i zasadzki Scoia'tael!
advance_loading_screen_hint_8;Syndykat zapewnia podejrzane usługi dostępne dzięki wydatkowi jego specjalnych monet.
advance_loading_screen_hint_9;Monety Syndykatu mogą być zbierane przez każdą frakcję.
age_restriction_description;Twoje konto nie spełnia wymagań wiekowych.
age_restriction_title;Dostęp ograniczony
ai_player_name;Maszyna Turinga
anity_gameboard_50026_title;Ignore.
anti_fatigue_five_and_more_hours;N/A
anti_fatigue_one_hour;N/A
anti_fatigue_three_hours;N/A
anti_fatigue_three_to_five_hours;N/A
anti_fatigue_two_hours;N/A
arena_abandon_fail_text;Coś poszło nie tak podczas próby zrywania paktu.
arena_abandon_fail_title;Błąd
arena_button_show_details;Wyświetl szczegóły talii
arena_card_set_defense_armor;Pancerz
arena_card_set_defense_boost;Wzmacnianie
arena_card_set_defense_defender;Obrońcy
arena_card_set_defense_shield;Tarcza
arena_card_set_defense_sukrus;Sukrus
arena_card_set_madock_trio;Trio Madoców
arena_card_set_mechanical_adrenaline;Adrenalina
arena_card_set_mechanical_bloodthirst;Żądza krwi
arena_card_set_mechanical_charge;Posiłki
arena_card_set_mechanical_coins;Monety
arena_card_set_mechanical_create;Stwarzanie
arena_card_set_mechanical_deathwish;Zemsta
arena_card_set_mechanical_discard;Odrzuć
arena_card_set_mechanical_disloyal;Nielojalne
arena_card_set_mechanical_harmony;Harmonia
arena_card_set_mechanical_intimidate;Zastraszanie
arena_card_set_mechanical_move;Przenoszenie
arena_card_set_mechanical_order;Rozkaz
arena_card_set_mechanical_patience;Cierpliwość
arena_card_set_mechanical_traps;Pułapki
arena_card_set_mechanical_tribute;Haracz
arena_card_set_offensive_bleeding;Krwawienie
arena_card_set_offensive_bounty;Nagroda
arena_card_set_offensive_control;Kontrola
arena_card_set_offensive_generic;Ofensywa
arena_card_set_offensive_lock;Blokowanie
arena_card_set_offensive_poison;Trucizna
arena_card_set_offensive_weather;Pogoda
arena_card_set_offensive_weather_rain;Pogoda – Deszcz
arena_card_set_ships_and_pirates;Okręty i Piraci
arena_card_set_special_alchemy;Alchemia
arena_card_set_special_bombs;Bomby
arena_card_set_special_crimes;Zbrodnie
arena_card_set_special_nature;Natura
arena_card_set_special_neutral;Zaklęcia
arena_card_set_special_organic;Organiczne
arena_card_set_special_raid;Rejza
arena_card_set_special_tactics;Taktyka
arena_card_set_special_warfare;Działania Wojenne
arena_card_set_thinning_archespore;Archesporowe trio
arena_card_set_thinning_bluestripes;Niebieskie Pasy
arena_card_set_thinning_brokilonsentinel;Obrończynie Brokilonu
arena_card_set_thinning_casinobouncers;Kasynowi Wykidajła
arena_card_set_thinning_crowmessenger;Kruki Posłańcy
arena_card_set_thinning_dun_banner;Jazda Burej Chorągwi
arena_card_set_thinning_foglet;Mglak
arena_card_set_thinning_huntingpack;Nagonka
arena_card_set_thinning_imperabrigade;Brygada Impera
arena_card_set_thinning_knickers;Mocarz Hajdawera
arena_card_set_thinning_mahakam_volunteers;Huf Mahakamski
arena_card_set_thinning_queensguard;Straż Królowej
arena_card_set_thinning_roach;Skąd się tu wzięła Płotka?
arena_card_set_thinning_sewer_riders;Kanalarze
arena_card_set_thinning_shieldmaiden;Tarczowniczki
arena_card_set_thinning_vernon_roche;Vernon Roche
arena_card_set_thinning_whriders;Jeźdźcy Gonu
arena_card_set_thinning_wtrio;Vesemir, Lambert i Eskel
arena_card_set_tribal_aristocrats;Arystokraci
arena_card_set_tribal_beasts;Bestie
arena_card_set_tribal_blindeyes;Niepostrzeżeni
arena_card_set_tribal_druids;Druidzi
arena_card_set_tribal_dryads;Driady
arena_card_set_tribal_dwarf;Krasnoludy
arena_card_set_tribal_elves;Elfy
arena_card_set_tribal_insectoids;Insektoidy
arena_card_set_tribal_mages;Czarodzieje
arena_card_set_tribal_relict;Relikt
arena_card_set_tribal_siege_engine;Machiny Oblężnicze
arena_card_set_tribal_soldiers;Żołnierze
arena_card_set_tribal_vampire;Wampiry
arena_card_set_tribal_warriors;Wojownicy
arena_card_set_tribal_wild_hunt;Dziki Gon
arena_card_set_tribal_witchers;Wiedźmini
arena_card_set_value_deck_shuffle;Tasowanie talii
arena_card_set_value_firesworn;Wybrańcy Ognia
