_inputshopbuymultiple;BUY
advance_loading_screen_hint_23;On your first Prestige, you will be guaranteed at least 2 rare cards in all kegs, forever!
advance_loading_screen_hint_24;You can track Contracts in your player profile!
advance_loading_screen_hint_25;You can pin up to 3 Contracts in your profile to show them off.
advance_loading_screen_hint_26;To climb to the top of the leaderboard, you must play at least 25 matches with 4 factions.
advance_loading_screen_hint_27;After reaching Rank 1, you can rank up one more time to enter the Pro Rank.
advance_loading_screen_hint_28;Banished cards do not trigger their Deathwish ability, but Doomed units do!
advance_loading_screen_hint_29;Open your deck and graveyard to see what lies inside.
advance_loading_screen_hint_3;Monsters rely on swarming and consuming each other.
advance_loading_screen_hint_30;You can add more than 25 cards to your deck.
advance_loading_screen_hint_31;Smart deckbuilding is the key to victory.
advance_loading_screen_hint_32;Want your matches to be faster? Experiment with the "Display tooltips for cards played by opponent" setting in the Options menu
advance_loading_screen_hint_4;Northern Realms can easily grow out of control if left unchecked.
advance_loading_screen_hint_5;Nilfgaardians are known to use your own strength against you!
advance_loading_screen_hint_6;Skellige warriors thrive off both their own wounds and their opponents'!
advance_loading_screen_hint_7;Be wary of Scoia'tael's traps and ambush tactics!
advance_loading_screen_hint_8;The Syndicate deals in shady services obtainable with their own special coin.
advance_loading_screen_hint_9;Syndicate coins can be gathered by any faction.
age_restriction_description;Your account does not meet the age requirements.
age_restriction_title;Access Restricted
ai_player_name;Turing Machine
anity_gameboard_50026_title;Ignore.
anti_fatigue_five_and_more_hours;Alert! You have been reaching Unhealthy Time now! For the sake of your health, please log out immediately, otherwise it will be harmful to your condition. Rewards from the gameplay is 0 from now on till you have been offline for accumulative 5 hours.
anti_fatigue_one_hour;You have been online for accumulative 1 hour now.
anti_fatigue_three_hours;You have been online for accumulative 3 hours now. Please log out, take some rest and exercise a bit.
anti_fatigue_three_to_five_hours;You have been reaching Fatigue Time now, rewards from the gameplay will be 50% off. For the sake of your health, please log out ASAP, exercise a bit and take care of yourself.
anti_fatigue_two_hours;You have been online for accumulative 2 hours now.
arena_abandon_fail_text;Something went wrong while attempting to break the pact.
arena_abandon_fail_title;Error
arena_button_show_details;Show deck details
arena_card_set_defense_armor;Armor
arena_card_set_defense_boost;Boost
arena_card_set_defense_defender;Defender
arena_card_set_defense_shield;Shield
arena_card_set_defense_sukrus;Sukrus
arena_card_set_madock_trio;Madoc Trio
arena_card_set_mechanical_adrenaline;Adrenaline
arena_card_set_mechanical_bloodthirst;Bloodthirst
arena_card_set_mechanical_charge;Reinforcement
arena_card_set_mechanical_coins;Coins
arena_card_set_mechanical_create;Create
arena_card_set_mechanical_deathwish;Deathwish
arena_card_set_mechanical_discard;Discard
arena_card_set_mechanical_disloyal;Disloyal
arena_card_set_mechanical_harmony;Harmony
arena_card_set_mechanical_intimidate;Intimidate
arena_card_set_mechanical_move;Move
arena_card_set_mechanical_order;Order
arena_card_set_mechanical_patience;Patience
arena_card_set_mechanical_traps;Traps
arena_card_set_mechanical_tribute;Tribute
arena_card_set_offensive_bleeding;Bleeding
arena_card_set_offensive_bounty;Bounty
arena_card_set_offensive_control;Control
arena_card_set_offensive_generic;Offense
arena_card_set_offensive_lock;Lock
arena_card_set_offensive_poison;Poison
arena_card_set_offensive_weather;Weather
arena_card_set_offensive_weather_rain;Weather - Rain
arena_card_set_ships_and_pirates;Ships and Pirates
arena_card_set_special_alchemy;Alchemy
arena_card_set_special_bombs;Bombs
arena_card_set_special_crimes;Crimes
arena_card_set_special_nature;Nature
arena_card_set_special_neutral;Spells
arena_card_set_special_organic;Organic
arena_card_set_special_raid;Raid
arena_card_set_special_tactics;Tactics
arena_card_set_special_warfare;Warfare
arena_card_set_thinning_bluestripes;Blue Stripes
arena_card_set_thinning_brokilonsentinel;Brokilon Sentinels
arena_card_set_thinning_casinobouncers;Casino Bouncers
arena_card_set_thinning_crowmessenger;Crow Messengers
arena_card_set_thinning_dun_banner;Dun Banners
arena_card_set_thinning_foglet;Foglet
arena_card_set_thinning_huntingpack;Hunting Pack
arena_card_set_thinning_imperabrigade;Impera Brigade
arena_card_set_thinning_knickers;Knickers best boy
arena_card_set_thinning_mahakam_volunteers;Mahakam Volunteers
arena_card_set_thinning_queensguard;Queensguards
arena_card_set_thinning_roach;How did Roach get there?
arena_card_set_thinning_sewer_riders;Sewer Raiders
arena_card_set_thinning_shieldmaiden;Shield Maidens
arena_card_set_thinning_vernon_roche;Vernon Roche
arena_card_set_thinning_whriders;Wild Hunt Riders
arena_card_set_thinning_wtrio;Vesemir, Lambert and Eskel
arena_card_set_tribal_aristocrats;Aristocrats
arena_card_set_tribal_beasts;Beasts
arena_card_set_tribal_blindeyes;Blindeyes
arena_card_set_tribal_druids;Druids
arena_card_set_tribal_dryads;Dryads
arena_card_set_tribal_dwarf;Dwarves
arena_card_set_tribal_elves;Elves
arena_card_set_tribal_insectoids;Insectoids
arena_card_set_tribal_mages;Mages
arena_card_set_tribal_relict;Relict
arena_card_set_tribal_siege_engine;Siege Engines
arena_card_set_tribal_soldiers;Soldiers
arena_card_set_tribal_vampire;Vampires
arena_card_set_tribal_warriors;Warriors
arena_card_set_tribal_wild_hunt;Wild Hunt
arena_card_set_tribal_witchers;Witchers
arena_card_set_value_deck_shuffle;Deck Shuffle
arena_card_set_value_firesworn;Firesworn
arena_card_set_value_generic_swarm;Board Swarming
arena_card_set_value_hoard;Hoard
arena_card_set_value_points;High Power
arena_card_set_value_prebuff;Prebuff
arena_card_set_value_self_poison;Self Poison
arena_card_set_value_self_wound;Self Wound
arena_card_set_value_vitality;Vitality
arena_card_set_wombo_combo_armor;Armor juggling
arena_card_set_wombo_combo_borsodi;Borsodi brothers
arena_card_set_wombo_combo_crones;Crones a brewin
arena_card_set_wombo_combo_dulla;Dulla and the Runewright
arena_card_set_wombo_combo_etriel;Etriel and Muirlega
arena_card_set_wombo_combo_geralt;Geralt unleashed
arena_card_set_wombo_combo_kambi;Kambi crows thrice
arena_card_set_wombo_combo_ozzrel;Ozzrel's tasty snack
arena_card_set_wombo_combo_palmerin;Milton and Palmerin
arena_card_set_wombo_combo_unicorns;Unicorn rainbows
arena_card_set_wombo_combo_viper;Letho's Lackeys
arena_deck_completed_text;Deck Completed
arena_event_battle_giants;Battle of Giants\n\nCall on the power of the giants! In this event, only cards with 11+ provision cost may be drafted.
arena_event_desc_blood_n_wine;Blood and Wine\n\nTime for a bloody feast! Only cards from the Blood and Wine - Card Expansion are available during this challenge.
arena_event_desc_bronze;Pawn Takes King\n\nEven a witcher's ploughed when fighting a crowd! Only Bronze cards are available during this challenge.
arena_event_desc_crimson_curse;Crimson Curse\n\nGaunter is quite the admirer of dark magic and bloody rituals. In this challenge, the card pool is limited to cards from the Crimson Curse Expansion.
arena_event_desc_elf;Season of the Elf\n\nThis mode lets you play Seasonal matches outside the limits of ordinary deckbuilding.
arena_event_desc_ep3;Iron Judgment!\n During this event, the card pool is limited to cards only from the Iron Judgment Expansion!
arena_event_desc_full_spectrum;Full Spectrum\n\nWhy limit yourself to a single color? In this challenge, each set you choose from will consist of cards with varying rarities.
arena_event_desc_gold;Gold Rush\n\nThe world's best-known heroes go head to head. Who will emerge victorious? Only Gold cards are available during this challenge.
arena_event_desc_leader_challenge;Lead the way!\n\n Gaunter respects those with true power. In this mode the only available leader is the winner of the leader challenge.
arena_event_desc_leader_first;Lead the way! \n\n In this Special Arena Mode, leaders are chosen at the start of the card draft.
arena_event_desc_magic;Season of the Magic\n\nThis mode lets you play Seasonal matches outside the limits of ordinary deckbuilding.
arena_event_desc_monsters;Law of the Jungle\n\nIt's survival of the fittest. Only Monster cards are available during this challenge.
arena_event_desc_nilfgaard;Entertainment at Court\n\nThe Imperial court harbors more danger than most battlefields. Only Nilfgaard cards are available during this challenge.
arena_event_desc_northern;Clash of Kings\n\nGreedy kings once again at each other's throats. Only Northern Realms cards are available during this challenge.
arena_event_desc_one_life;Sudden Death\n\nFailure is not an option! In this challenge, a single defeat will end your run in the Arena.
arena_event_desc_scoia;War of the Elder Races\n\nBefore the appearance of man, the Elder Races vied for dominance over the Continent. Only Scoia'tael cards are available during this challenge.
arena_event_desc_silver;The Silver Trail\n\nMany heroes have awaited their chance at glory. Now their time has come! Only Silver cards are available during this challenge.
arena_event_desc_skellige;Clan Brawl\n\nThe pugnacity of Skelligers is legendary. Only Skellige cards are available during this challenge.
arena_event_desc_swap;Mimic\n\nTurn your opponent's strength to your advantage! In this challenge, play with your opponent's deck instead of your own.
arena_event_desc_syndicate;Syndicate! \n\nGaunter loves shady figures, organized crime and mischief. In this challenge, the card pool is exclusively limited to the Syndicate Faction.
arena_event_desc_viper;Season of the Viper\n\nThis mode lets you play Seasonal matches outside the limits of ordinary deckbuilding.
arena_event_four_kind;Four of a Kind\n\nThe common rabble have broken into the Arena! In this challenge, only cards with a provision cost of 4 may be drafted.
arena_event_mode_classic_title;STANDARD
arena_event_mode_special_title;SPECIAL
arena_matchmaking_panel_match_found_text;Ah! This should prove interesting!
arena_matchmaking_panel_searching_text;Searching for a worthy rival...
arena_panel_abandon;Break the Contract
arena_panel_abandon_confirmation_text;Are you sure you want to leave the Arena? Once you break the current pact, you will not be able to return to it.
arena_panel_abandon_confirmation_title;Breaking the Pact
arena_panel_build_deck_cards_hint_text;In this mode, you will build a deck from all available cards. There are no faction restrictions. For this reason, it's often best to choose cards that have high value on their own and are not dependent on other cards.
arena_panel_build_deck_cards_hint_title;Which cards should I pick?
arena_panel_build_deck_deck_hint_text;Apart from the total number of cards in the deck, there are no restrictions. Use as many Gold and Silver cards as you like.
arena_panel_build_deck_deck_hint_title;Are there any deck restrictions?
arena_panel_build_deck_title;Build Your Deck
arena_panel_card_select_fail_text;Something went wrong during card selection. Please build your deck again.
arena_panel_card_select_fail_title;Card Selection Error
arena_panel_choose_ability_subtitle;Choose an ability
arena_panel_choose_leader_subtitle;Choose a leader
arena_panel_deck_build_hint_text;In this mode, you will build a deck from all available cards. There are no faction restrictions. For this reason, it's often best to choose cards that have high value on their own and are not dependent on other cards.
arena_panel_deck_create_fail_text;Something went wrong during deckbuilding. Please try again.
arena_panel_deck_create_fail_title;Deckbuilding Error
arena_panel_deck_info_title;Deck details
arena_panel_encounter_info_battle_text;The rules of the game are the same as always: Get more points than your opponent in two out of three rounds to win.
arena_panel_encounter_info_battle_title;Rules
arena_panel_encounter_info_losses;Losses
arena_panel_encounter_info_rules_text;Battle against the other poor souls who have signed a pact with Gaunter O'Dimm. The more opponents you defeat, the greater the rewards that await you. The game is over once you have either lost three times or won nine times.
arena_panel_encounter_info_rules_title;Rules of the Pact
arena_panel_encounter_info_wins;Wins
arena_panel_exit;Exit
arena_panel_intro_requirements_title;Entry Cost
arena_panel_intro_requirements_title_after_closing;New Draft mode coming soon
arena_panel_intro_rules_text;Battle against the other poor souls who have signed a pact with Gaunter O'Dimm. The more opponents you defeat, the greater the awards that await you. The game is over once you have either lost three times or won nine times.
arena_panel_intro_rules_text_after_closing;Arena mode was closed on October 13th. After closure, you received 150 Ore for each unused Mirror Shard you owned, plus additional rewards for any uncompleted Arena runs. For details visit the news section on playgwent.com
arena_panel_intro_rules_text_before_closing;The more opponents you defeat, the greater the rewards!\nThe Arena run is over once you have either lost three times or won nine times.\nArena ends soon™️. For details visit the news section on playgwent.com
arena_panel_intro_rules_title;Rules of the Pact
arena_panel_intro_rules_title_after_closing;Arena is transforming into Draft mode
arena_panel_intro_rules_title_before_closing;Rules of the pact (ends soon™️)
arena_panel_intro_text;So, you're willing to play by my rules? A wise decision! Fame, power, and great riches await you. Only your signature is required. Oh, and pay no mind to the small print. It's really nothing important.
arena_panel_intro_welcome;Welcome to Arena Mode
arena_panel_loading_abandon_popup_text;Gaunter O'Dimm is considering your request...
arena_panel_loading_abandon_popup_title;Breaking Pact
arena_panel_loading_popup_text;Only a few more formalities, then we can begin...
arena_panel_loading_popup_title;Signing the Pact
arena_panel_payment_confirmation_fail_text;There was a problem confirming your payment. Please check your connection and try again.
arena_panel_payment_confirmation_fail_title;Network Error
arena_panel_payment_confirmation_text;Are you sure you want to pay the entry fee?
arena_panel_payment_confirmation_title;Entry Fee
arena_panel_preview;Preview
arena_panel_select;Select
arena_panel_select_card_subtitle;Pick One Card:
arena_panel_sort_cards;Sort
arena_panel_ticket_consume_fail_text;Arena entry was unsuccessful. Your Mirror Shard was not spent.
arena_panel_ticket_consume_fail_title;Oops! Something's Wrong!
arena_panel_title;Arena
arena_popup_not_enough_gold_text;You don't have enough Ore to buy a Mirror Shard!
arena_popup_not_enough_gold_title;Insufficient Ore
arena_rewards_description;The terms of the pact have been fulfilled. The reward is yours. It's been a pleasure doing business!
arena_rewards_description_high;An impressive spectacle. Truly inspiring! I believe you'll find the reward more than satisfactory.
arena_rewards_description_low;Well, I must admit I'd hoped for more. But, have no fear. You'll not leave empty-handed.
arena_rewards_description_medium;The terms of the pact have been fulfilled and the reward is yours. It's been a true pleasure doing business with you!
arena_rewards_play_again;Play Again
arena_rewards_timeout_description;No need to worry. Nothing's been lost. Please connect to the Internet and restart the game. Your rewards should be in your account.
arena_rewards_timeout_title;Oops! Something's Wrong!
arena_rewards_title;Rewards
arena_v2_set_wombo_combo_card_draw;Card Draw
arenav2_abandon_popup_description;Draft a new deck. Your current run will be finished. You will be rewarded based on your run performance.
arenav2_abandon_popup_title;Abandon
arenav2_abandon_tooltip;Abandon
arenav2_battlepicker_play;Play
arenav2_battlepicker_wins_counter;Wins in current draft
arenav2_draft_action_add;Add x {0}\nUnlocked after matches: {1}
arenav2_draft_action_add_remove;Add and Remove x {0}\nUnlocked after matches: {1}
arenav2_draft_actions_group_tooltip;Actions after matches
arenav2_draft_choice_ability_title;Choose ability
arenav2_draft_choice_cardset_title;Choose set
arenav2_draft_choice_corecard_title;Choose card
arenav2_draft_choice_pick;Choose
arenav2_draft_choice_remove;Remove
arenav2_draft_choice_stratagem_title;Choose stratagem
arenav2_draft_deck_group_tooltip;Your Deck
arenav2_draft_error_entry_exception_description;There are some issues getting your draft started, please retry or try again soon.
arenav2_draft_error_entry_exception_title;Let's try again
arenav2_draft_error_invalid_state_description;Something went wrong with your recent draft. Things should be better with the new one.
arenav2_draft_error_invalid_state_title;Let's draft again
arenav2_draft_error_unknown_exception_description;Your draft experienced some issues, please retry or try again soon.
arenav2_draft_error_unknown_exception_title;Some trouble with your draft
arenav2_draft_remove_cardset_title;Remove set
arenav2_draft_remove_corecard_title;Remove card
arenav2_enter_cycle_subtitile;Create an everchanging deck and fight other players
arenav2_enter_cycle_titile;Enter the Cycle
arenav2_entrypopup_button_subtitle;Use your free ticket today!
arenav2_entrypopup_button_title;Play Now!
arenav2_entrypopup_subtitle;Celebrate Draft Mode coming out of Early Access
arenav2_entrypopup_title;Draft Mode
arenav2_error_popup_title;Draft is in an invalid state
arenav2_exitpopup_cancel;Cancel
arenav2_exitpopup_exit;Exit
arenav2_exitpopup_exit_description;Save your draft and go back to the main menu.
arenav2_exitpopup_newdraft;New draft
arenav2_exitpopup_newdraft_description;Draft a new deck. Your current draft will be finished.
arenav2_exitpopup_title;Exit or new draft?
arenav2_force_update_popup_exit_description;Go back to the main menu.
arenav2_force_update_popup_redraft_description;Start a new Draft with the latest version.
arenav2_force_update_popup_title;Your recent draft is outdated
arenav2_mainmenu_subtitle;Early Access
arenav2_mainmenu_title;Draft
arenav2_newdraft_disabled_tooltip;Matches until new draft is unlocked: {0}
arenav2_optin_update_notification_description;New Draft version available! You can continue your current Draft, though the new version may contain balance updates and/or special time-limited mechanics. Current Draft version will soon be scheduled for closing.
arenav2_play_menu_description;Welcome to Draft. Compete with others in this ever-changing deckbuilding game mode.
arenav2_play_menu_title;Draft
arenav2_show_deck_tooltip;Show deck
arenav2_summary_newdraft;Draft again
arenav2_summary_rewards;Your rewards:
arenav2_summary_title;The Cycle is Complete
arenav2_summary_wins;Wins
arenav2_ticket_entry_desc;Use your ticket to enter
arenav2_ticket_purchase_pay_now;Pay now
arenav2_ticket_purchase_title;Get your ticket
available_quantity;Available to buy: x{0}
avatar_bran_s05_r20;Bran Tuirseach Avatar
avatar_bran_s05_r20_additional_description;Reward for attaining Rank 20 in Ranked Play, Season of Mahakam (February).
avatar_bran_s05_r20_description;They say the seas smashing against Skellige’s shores would sooner bow to a ruler than its inhabitants. Yet they bowed to Bran. He united all the clans in the isles behind him, and held them together in an iron fist until his death.
avatar_calveit_s06_r10;Jan Calveit Avatar
avatar_calveit_s06_r10_additional_description;Reward for attaining Rank 10 in Ranked Play, Season of the Bear (March).
avatar_calveit_s06_r10_description;Emperor Jan Calveit had broad intellectual horizons. He dabbled in a variety of scholarly disciplines, medicine and astrology in particular. His critics complained at his hobbies’ lack of practical application, until the time came to realize how very wrong they were...
avatar_ciri;Ciri Avatar
avatar_ciri_additional_description;Available to everyone.
avatar_ciri_description;A woman of many faces. To the public: daughter of Emperor Emhyr var Emreis, witcher of the School of the Wolf, child of the Elder Blood, Lady of Time and Space. To those who truly know her: a defiant troublemaker who lets no mischief pass her by.
avatar_ciri_s02_r10;Ciri (Skellige Garb) Avatar
avatar_ciri_s02_r10_additional_description;Reward for attaining Rank 15 in Ranked Play, Season of the Cat (October).
avatar_ciri_s02_r10_description;A woman of many faces. To the public: daughter of Emperor Emhyr var Emreis, witcher of the School of the Wolf, child of the Elder Blood, Lady of Time and Space. To those who truly know her: a defiant troublemaker who lets no mischief pass her by.
avatar_ciriempress;Empress Ciri Avatar
avatar_ciriempress_additional_description;Special Reward
avatar_ciriempress_description;All in the Nilfgaardian imperial court were shocked by the emperor's sudden abdication. Now the power of the throne fell to his rightful daughter, Cirilla Fiona Elen Riannon.
avatar_cow;Prize-Winning Cow Avatar
avatar_cow_additional_description;Hidden Reward
avatar_cow_description;The most bovine of bovines, ruminator of ruminators, winner of numerous Velen County Fair Blue Ribbons and Miss Congeniality awards, this Prize-Winning Cow feeds on a strict diet of gluten-free grain and distilled water.
avatar_dagon_s05_lvl1;Dagon Avatar
avatar_dagon_s05_lvl1_additional_description;Reward for completing Season of Mahakam (February) with a Ranked Play position from 1 to 10,000.
avatar_dagon_s05_lvl1_description;Deep in the eternal darkness of the abyss, powers older than men and elves lie aslumber, awaiting a time known only to them. When that hour strikes, they will awake and bring an end to the world. One such being bears the name Dagon.
avatar_dandelion;Dandelion Avatar
avatar_dandelion_additional_description;Available to everyone.
avatar_dandelion_description;Officially: Julian Alfred Pankratz, Viscount de Lettenhove. Poet, troubadour, writer and captor of countless maidens' hearts. Privately: dear friend of the witcher Geralt of Rivia with an extraordinary talent for getting himself into trouble.
avatar_dandelion_s01_r15;Dandelion (Witcher 2) Avatar
avatar_dandelion_s01_r15_additional_description;Reward for attaining Rank 15 in Ranked Play, Season of Love (February).
avatar_dandelion_s01_r15_description;Officially: Julian Alfred Pankratz, Viscount de Lettenhove. Poet, troubadour, writer and captor of countless maidens' hearts. Privately: dear friend of the witcher Geralt of Rivia with an extraordinary talent for getting himself into trouble.
avatar_eredin_s03_r20;Eredin (Without Helmet) Avatar
avatar_eredin_s03_r20_additional_description;Reward for attaining Rank 15 in Ranked Play, Season of the Wild Hunt (December).
avatar_eredin_s03_r20_description;King of the Wild Hunt and usurper of the throne of Tir ná Lia. He assassinated the previous king of the Aen Elle, convinced the old ruler was not equipped to face the threat of the White Frost. Eredin is ruthless and will do anything to save his folk.
avatar_eredinghost;Eredin (King of the Wild Hunt) Avatar
avatar_eredinghost_additional_description;Special Reward
avatar_eredinghost_description;At the cavalcade's head rode the King of the Hunt. A rust-eaten bascinet swayed above a skull-like mask with gaping eye sockets aglow in blue flame.
avatar_foltest_s06_lvl1;Foltest Avatar
avatar_foltest_s06_lvl1_additional_description;Reward for completing Season of the Bear (March) with a Ranked Play position from 1 to 10,000.
avatar_foltest_s06_lvl1_description;Adored by his subjects, respected by his nobles and loved passionately by his women, King Foltest had everything a monarch could desire, but gave it all up to pursue his forbidden love for his sister, Adda. He never regretted his decision, not even when the daughter born of their illicit coupling turned out to be a striga...
avatar_foxtriss;Triss (Ball Mask) Avatar
avatar_foxtriss_additional_description;Special Reward
avatar_foxtriss_description;Although the masquerade ball at the Vegelbud Estate served as just a pretext to deliver another unfortunate soul from harm, the sorceress made every effort to present her best self... Especially in Geralt's eyes.
avatar_francessca_s05_r10;Francesca Findabair Avatar
avatar_francessca_s05_r10_additional_description;Reward for attaining Rank 10 in Ranked Play, Season of Mahakam (February).
avatar_francessca_s05_r10_description;Francesca Findabair, known as the Daisy of the Valley, is widely considered the most beautiful woman in the world. Her physical charms are matched only by her enormous magic talent and keen political instincts. During the Second Northern War, she signed a pact with the Nilfgaardian Empire that let the Free Elves rebuild a realm of their own in Dol Blathanna.
avatar_geralt;Geralt (Witcher 3) Avatar
avatar_geralt_additional_description;Available to everyone.
avatar_geralt_classic;Geralt (Witcher 1) Avatar
avatar_geralt_classic_additional_description;Reward for participating in the Closed Beta.
avatar_geralt_classic_description;Pronounced dead, Geralt then returned to the world of living – minus his memories. His brothers of the School of the Wolf nursed him back to health, then he set off on a journey across the Continent in search of stolen witcher secrets – and his lost identity.
avatar_geralt_description;The legendary witcher, Geralt of Rivia, the White Wolf. Famed as the best swordsman in the North and an unmatched monster slayer. It is difficult to say whether more ballads have been written about his battle with bloodthirsty beasts – or his stormy romances with sorceresses...
avatar_geralt_s03_lvl1;Geralt (Intoxicated by Potions) Avatar
avatar_geralt_s03_lvl1_additional_description;Reward for attaining Rank 15 in Ranked Play, Seasons of the Wolf (January).
avatar_geralt_s03_lvl1_description;Many legends are told about witcher Potions and how they grant superhuman strength, cat-like agility and razor-sharp senses. Yet few know they are also extraordinarily toxic - normal men cannot survive their effects and even witchers must watch their dosage carefully.
avatar_harald_s06_r20;Harald the Cripple Avatar
avatar_harald_s06_r20_additional_description;Reward for attaining Rank 20 in Ranked Play, Season of the Bear (March).
avatar_harald_s06_r20_description;As a warrior, Harald was thoroughly unremarkable. Then a bear mangled his leg and the bone healed back crooked. After that, each step caused him agonizing pain… and he fought better than ever before. He claimed the grit of constant suffering had honed an unstoppable edge.
avatar_imlerith;Imlerith Avatar
avatar_imlerith_additional_description;Available to everyone.
avatar_imlerith_description;Living proof that not all Aen Elle elves are refined. Imlerith loves simple pleasures – and simple solutions. Most preferably those that lend him a chance to swing his famous two-handed mace.
avatar_imlerith_s01_lvl1;Imlerith (Without Helmet) Avatar
avatar_imlerith_s01_lvl1_additional_description;Reward for attaining Rank 15 in Ranked Play, Season of the Warrior (September).
avatar_imlerith_s01_lvl1_description;Living proof that not all Aen Elle elves are refined. Imlerith loves simple pleasures – and simple solutions. Most preferably those that lend him a chance to swing his famous two-handed mace.
avatar_iorveth;Iorveth Avatar
avatar_iorveth_additional_description;Available to everyone.
avatar_iorveth_description;Famed fighter for nonhuman freedom and Scoia'tael commando leader. Convinced ends justify means and willing to do anything for the elven cause. Idealist who hides his feelings just as skillfully as he does the ghastly scar on his face.
avatar_iorveth_s02_r20;Iorveth (Without Scar) Avatar
avatar_iorveth_s02_r20_additional_description;Reward for attaining Rank 15 in Ranked Play, Season of the Elves (April).
avatar_iorveth_s02_r20_description;Famed fighter for nonhuman freedom and Scoia'tael commando leader. Convinced ends justify means and willing to do anything for the elven cause. Idealist who hides his feelings just as skillfully as he does the ghastly scar on his face.
avatar_iorwethsquirrel;Iorveth (With Squirrel) Avatar
avatar_iorwethsquirrel_additional_description;Special Reward
avatar_iorwethsquirrel_description;Scoia'tael still prowl the woodlands of the North, ready to strike the unwary on the Royal Route. The most infamous and hated among them is Iorveth, the leader of the last free commando.
avatar_letho_s04_lvl1;Letho of Gulet Avatar
avatar_letho_s04_lvl1_additional_description;Reward for attaining Rank 15 in Ranked Play, Season of the Viper (May).
avatar_letho_s04_lvl1_description;Kingslayer. Freak. Monster. That is how most Northerners view Letho after his role in the assassination of two kings, events that pushed the Northern Realms into chaos. Not many know this mountain of muscle is also a master strategist whose every action had a solitary purpose: to advance the good of the School of the Viper.
avatar_odrin_h01;Odrin Avatar
avatar_odrin_h01_additional_description;Reward for completing Mahakam Ale Festival Challenges in Standard Mode.
avatar_odrin_h01_description;The biggest lush to be found from the Yaruga to the Dragon Mountains. Kaedweni by birth. He did nothing of note as a soldier in King Henselt's service, but made a name for himself as a rogue and a traveler - in a drunken stupor he visited most of the known world and survived numerous outlandish adventures, though he did not remember a thing about them afterwards.
avatar_phoenix_h03;Phoenix Avatar
avatar_phoenix_h03_additional_description;Reward for finishing the Midwinter Hunt Challenges in Expert Mode.
avatar_phoenix_h03_description;Like the sun on its daily circuit, the phoenix dies only to be reborn anew. Even witchers know little else about these mysterious creatures - many even think they are mere figments of human imagination. Though rare, they do in fact exist, and their feathers are items of great worth.
avatar_radovid_s04_r10;King Radovid V Avatar
avatar_radovid_s04_r10_additional_description;Reward for attaining Rank 10 in Ranked Play, Season of the Wolf (January).
avatar_radovid_s04_r10_description;Radovid the Stern, Fifth of His Name, King of Redania, was a polarizing figure. Some considered him a brilliant strategist, a superb general. Others – a bloodthirsty, paranoid madman. The truth lay, as the truth is wont to do, somewhere in the middle.
avatar_regis_h02;Regis Avatar
avatar_regis_h02_additional_description;Reward for finishing Saovine - Holiday of the Dead Challenges in Standard Mode.
avatar_regis_h02_description;Regis - or, for those unenamored with brevity, Emiel Regis Rohellec Terzieff-Godefroy - is a powerful higher vampire and close friend of Geralt of Rivia. At present, his demeanor is calm, almost scholarly - yet in his youth, he delighted in cruelty and bathed in bloodlust, until a certain unfortunate incident convinced him to change his ways...
avatar_saskia;Saskia Avatar
avatar_saskia_additional_description;Reward for attaining Rank 15 in Ranked Play, Season of the Draconid (August).
avatar_saskia_description;Saskia is known to the people of the North by many monikers: the Dragonslayer, the Virgin of Aedirn, the People's Hope. Few know, however, that under this guise of a valiant warrior fighting for the cause of racial coexistence hides a dragon by the name of Saesenthessis.
avatar_shadow;Maerolorn Avatar
avatar_shadow_additional_description;Reward for completing an Arena run where you played Gaunter O'Dimm from hand.
avatar_shadow_description;Outside of our world exist many others. Some are similar to our own - beautiful, fertile. Yet, there exist others a human eye should never witness. Nightmarish landscapes inhabited by vile beings formed from shadow, hungry for human souls and blood. Woe befalls any who stray into these realms...
avatar_skelligegeralt;Geralt (Skellige Style) Avatar
avatar_skelligegeralt_additional_description;Special Reward
avatar_skelligegeralt_description;Geralt happened upon many places in his travels, but nowhere did he feel as content as on the Skellige Isles. The islanders are often considered crude, yet, unlike the people of the continent, they had always had respect for the witcher.
avatar_triss;Triss Merigold Avatar
avatar_triss_additional_description;Available to everyone.
avatar_triss_description;A sorceress who's different than the others: direct, friendly and quick to laugh. Author of unusual spells which even the greatest masters of magic cannot repeat. Her many charms have earned her the esteem of many men — including nearly every witcher in the School of the Wolf.
avatar_triss_s01_r21;Triss Avatar
avatar_triss_s01_r21_additional_description;Reward for attaining Rank 15 in Ranked Play, Season of the Dryad (July).
avatar_triss_s01_r21_description;A sorceress who's different than the others: direct, friendly and quick to laugh. Author of many unusual spells which even the greatest masters of magic cannot repeat. Her many charms have earned her the esteem of many men — including nearly every witcher in the School of the Wolf.
avatar_vernonroche_s04_r20;Vernon Roche Avatar
avatar_vernonroche_s04_r20_additional_description;Reward for attaining Rank 15 in Ranked Play, Season of the Bear (March).
avatar_vernonroche_s04_r20_description;Vernon Roche had a difficult upbringing, forced to make his own way with no help from anyone else. His tale would have surely ended tragically, had he not caught King Foltest's eye one fateful day. From then on, Vernon served Foltest faithfully as Commander of Temerian Special Forces and annihilator of his country's enemies.
avatar_yennefer;Yennefer of Vengerberg Avatar
avatar_yennefer_additional_description;Available to everyone.
avatar_yennefer_description;Legendary sorceress, always dressed in black and white and surrounded by a powerful waft of lilac and gooseberries. Famed for her supreme intelligence —and razor-sharp tongue. The great love of the witcher Geralt of Rivia.
avatar_yennefer_s02_lvl1;Yennefer Avatar
