_inputshopbuymultiple;ACQUISTA
experience_boost;Bonus PE
experience_match_draw;PAREGGIO
experience_match_won;VITTORIA
experience_no_gain;Nessun PE ottenuto
experience_performance;RENDIMENTO
experience_value;PE
exploration_add_card;Nuova carta
exploration_add_card_more;Il tuo esercito cresce di numero! Al tuo mazzo è stata aggiunta una nuova carta. Ora puoi usarla in battaglia.
exploration_continue;Continua
exploration_journal_title;Diario della missione
exploration_no;No
exploration_press_a_to_interact;Interagisci
exploration_quit_confirmation;Vuoi davvero uscire?
exploration_quit_confirmation_title;Uscita...
exploration_remove_card;Carta persa
exploration_remove_card_more;Hai perso una carta. Non potrai più usarla in battaglia.
exploration_unlock_mp_card_description;Hai sbloccato la versione premium di questa carta nella tua collezione multigiocatore. Congratulazioni!
exploration_unlock_mp_card_title;Carta premium sbloccata!
exploration_yes;Sì
faction_challenge_victories;Vittorie sfida tra fazioni
faction_faceoff_reward;Ricompense sfida tra fazioni
faction_invalid_name;Non valida
faction_monster_description;Animati da istinti primitivi, i Mostri non si fermano davanti a niente e non esitano a divorarsi l'un l'altro per diventare più forti.
faction_monster_name;Mostri
faction_monsters_0_desc_name;Domina
faction_monsters_0_desc_text;Carte come <color=#ef7070><link=13231000>Caccia: cavaliere</link></color> raggiungono il massimo potenziale quando controlli l'unità più forte, conferendoti <color=#ef7070><link=dominance>Dominazione</link></color>. Usa l'abilità <color=#ef7070><link=13110101>Carapace</link></color> per aiutarti a ottenere questo risultato.
faction_monsters_1_desc_name;Prospera
faction_monsters_1_desc_text;Metti in gioco carte <color=#ef7070><link=thrive>Prosperità</link></color> come <color=#ef7070><link=13230500>Nekker</link></color> nelle prime fasi del round e guardale potenziarsi quando metti in gioco unità più potenti.
faction_monsters_2_desc_name;Consuma
faction_monsters_2_desc_text;Carte come <color=#ef7070><link=20169800>Ozzrel</link></color> e <color=#ef7070><link=13230600>Ghoul</link></color> possono consumare i mostri del cimitero. Non esitare a mettere in gioco le tue unità più forti nei primi round, dal momento che potranno sempre essere divorate nelle fasi successive della partita.
faction_monsters_description;Non esitare a consumare gli altri per ottenere forza.
faction_neutral_name;Neutrale
faction_nilfgaard_0_desc_name;Imprigionamento
faction_nilfgaard_0_desc_text;Usa <color=#ef7070><link=20016201>Imprigionamento</link></color> per tenere sotto controllo l'andamento della battaglia. Blocca le unità e gli impedisce di utilizzare abilità passive, Ultimo desiderio o Ordine.
faction_nilfgaard_1_desc_name;Manipola il tuo nemico
faction_nilfgaard_1_desc_text;Gioca carte Strategia come <color=#ef7070><link=16310100>Tradimento</link></color> per danneggiare le unità vicine a un'unità nemica di un valore pari alla forza di quest'ultima. Ricorda: prima di attuare questa strategia puoi <color=#ef7070><link=boost>potenziare</link></color> un nemico con carte come <color=#ef7070><link=16231800>Nilfgaard: cavaliere</link></color> per massimizzare l'effetto.
faction_nilfgaard_2_desc_name;Bloccale tutte!
faction_nilfgaard_2_desc_text;Controlla le carte avversarie e usa <color=#ef7070><link=20029600>Cavalleria Alba</link></color> o <color=#ef7070><link=16220801>Auckes</link></color> per <color=#ef7070><link=lock>bloccare</link></color> e disabilitare le unità, impedendo loro di usare l'abilità <color=#ef7070><link=order>Ordine</link></color> o le abilità passive.
faction_nilfgaard_description;Ostacola il nemico con azioni di sabotaggio e spionaggio.
faction_nilfgaard_name;Nilfgaard
faction_northern_description;I Regni Settentrionali vantano potenti maghi e macchine da guerra in grado di far piovere fuoco sui nemici.
faction_northern_name;Regni Settentrionali
faction_northernrealms_0_desc_name;Fervore ispirato
faction_northernrealms_0_desc_text;Gli <color=#ef7070><link=order>Ordini</link></color> non possono essere eseguiti durante il turno in cui una carta viene schierata a meno che non abbiano <color=#ef7070><link=zeal>Fervore</link></color>. <color=#ef7070><link=20016801>Fervore ispirato</link></color> permette di usare subito un'unità qualsiasi dei Regni Settentrionali.
faction_northernrealms_1_desc_name;Potenzia i tuoi soldati
faction_northernrealms_1_desc_text;<color=#ef7070><link=20016801>Fervore ispirato</link></color> può anche <color=#ef7070><link=boost>potenziare</link></color> di 1 le unità dei Regni Settentrionali alleate, creando potenti combinazioni con carte come <color=#ef7070><link=20017100>Tridam: fanteria</link></color> e <color=#ef7070><link=20215200>Anna Strenger</link></color>.
faction_northernrealms_2_desc_name;Tutti per uno!
faction_northernrealms_2_desc_text;<color=#ef7070><link=12221200>Nenneke</link></color> e <color=#ef7070><link=12220800>Principe Stennis</link></color> sono maggiormente efficaci quando ci sono tante unità in campo, in modo che tu abbia bersagli multipli da <color=#ef7070><link=boost>potenziare</link></color>.
faction_northernrealms_description;Riunisci i regni e scatena le loro macchine da guerra.
faction_scoiatael_0_desc_name;Ce n'è per tutti
faction_scoiatael_0_desc_text;<color=#ef7070><link=20158901>Rinvigorimento</link></color> ti permette di <color=#ef7070><link=boost>potenziare</link></color> di 1 tutte le unità che hai in mano. Usa questa abilità quando hai 10 unità in mano per massimizzarne il potenziale!
faction_scoiatael_1_desc_name;È una trappola!
faction_scoiatael_1_desc_text;Schiera <color=#ef7070><link=14330100>Trappola incendiaria</link></color> quando pensi che l'avversario metterà in gioco una carta importante nel suo prossimo turno. È una strategia cruciale nelle fasi finali dell'ultimo round, durante le quali potresti riuscire a contrastare il colpo di grazia del nemico.
faction_scoiatael_2_desc_name;Preparati alla guerra
faction_scoiatael_2_desc_text;Alcune unità funzionano meglio se le <color=#ef7070><link=boost>potenzi</link></color> prima di metterle in gioco. Per esempio, puoi potenziare <color=#ef7070><link=14230600>Difensore di Mahakam</link></color> con <color=#ef7070><link=20029300>Sobillatore nanico</link></color> per sfruttarne l'abilità.
faction_scoiatael_description;Schiera guerriglieri e piazza trappole contro i nemici.
faction_scoiatael_name;Scoia'tael
faction_select_deck_button;Seleziona mazzo
faction_select_popup_warning;Confermi? A breve sbloccherai altri mazzi.
faction_skellige_0_desc_name;Massacro
faction_skellige_0_desc_text;Se <color=#ef7070><link=20016001>Massacro</link></color> non è disponibile, significa che è in fase di recupero per il prossimo attacco. Usa questa abilità ogni volta che ti è possibile.
faction_skellige_1_desc_name;Sete di sangue
faction_skellige_1_desc_text;Per ogni unità nemica <color=#ef7070><link=damaged>danneggiata</link></color>, puoi ottenere di più dalle carte che hanno <color=#ef7070><link=bloodthirst>Sete di sangue</link></color>, come <color=#ef7070><link=20162300>Cinghiale gigante</link></color> e <color=#ef7070><link=15221300>Svanrige Tuirseach</link></color>.
faction_skellige_2_desc_name;Duri a morire
faction_skellige_2_desc_text;Usa carte come <color=#ef7070><link=15231000>Benedizione di Freya</link></color> per riportare in battaglia i soldati caduti oppure <color=#ef7070><link=20008100>Heymaey: erborista</link></color> per curare i feriti.
faction_skellige_description;Trai forza dalla morte e dalle ferite subite in combattimento.
faction_skellige_name;Skellige
faction_syndicate_name;Sindacato
failed_content_text;Ops! Impossibile visualizzare questo contenuto. Riprova in seguito.
failed_download_patch_notes_description;Siamo spiacenti, non è stato possibile visualizzare le note di aggiornamento per questa versione del gioco. Riprova in seguito.
failed_download_patch_notes_title;Impossibile visualizzare le note di aggiornamento
fatigue_warning_title;N/A
filter_card_type_label;Tipo di carta
filter_expansion_all;Tutte
filter_expansion_crimson_curse;Crimson Curse
filter_expansion_ep3;Iron Judgment
filter_expansion_ep4;Merchants of Ofir
filter_expansion_ep5;Master Mirror
filter_expansion_ep6;Way of the Witcher
filter_expansion_homecoming;Set di base
filter_expansion_label;Set di carte
filter_expansion_novigrad;Novigrad
filter_expansion_tb;Thronebreaker
filter_expansion_unmillable;Set iniziale
filter_faction_all;Tutte
filter_faction_label;Fazioni + Neutrali
filter_faction_monster;MOSTRI
filter_faction_neutral;NEUTRALI
filter_faction_nilfgaard;NILFGAARD
filter_faction_northern;REGNI SETTENTRIONALI
filter_faction_scoiatael;SCOIA'TAEL
filter_faction_skellige;SKELLIGE
filter_faction_syndicate;Sindacato
filter_group_all;TUTTE
filter_group_bronze;BRONZO
filter_group_gold;ORO
filter_group_label;COLORE
filter_group_leader;COMANDANTE
filter_group_silver;ARGENTO
filter_loyalty_disloyal;SLEALI
filter_loyalty_label;LEALTÀ:
filter_loyalty_loyal;LEALI
filter_ownership_all;TUTTE
filter_ownership_label;POSSESSO
filter_ownership_new;NUOVE
filter_ownership_owned;POSSEDUTE
filter_ownership_unowned;NON POSSEDUTE
filter_position_agile;AGILI
filter_position_event;EVENTO
filter_position_label;POSIZIONE:
filter_position_melee;CORPO A CORPO
filter_position_ranged;A DISTANZA
filter_position_siege;ASSEDIO
filter_premium_all;TUTTE
filter_premium_label;CARTE PREMIUM
filter_premium_nonpremium;SOLO NORMALI
filter_premium_premium;SOLO PREMIUM
filter_premium_premium_priority;Priorità premium
filter_rarity_common;COMUNI
filter_rarity_epic;EPICHE
filter_rarity_label;RARITÀ:
filter_rarity_legendary;LEGGENDARIE
filter_rarity_rare;RARE
filter_region_af;Africa
filter_region_as;Asia
filter_region_eu;Europa
filter_region_global;Globale
filter_region_na;Nord America
filter_region_oc;Australia e Oceania
filter_region_sa;Sud America
filter_type_artifact;Manufatto
filter_type_special;Speciale
filter_type_stratagem;Stratagemma
filter_type_unit;Unità
friend_match_cancelled;La partita amichevole è stata annullata.
friend_match_error_header;Si è verificato un errore imprevisto
friend_match_error_subheader;Riprova in seguito
friend_match_incoming_notification_action_play;Accetta
friend_match_incoming_notification_text;{0} ti ha invitato a una partita amichevole
friend_match_invite_already_cancelled;Il tuo invito è stato annullato
friend_match_invite_creation_failure;Impossibile creare l'invito
friend_match_invite_from_launch_failure;Impossibile avviare la partita amichevole
friend_match_invite_not_found;Invito non più valido
friend_match_invite_outgoing_pending;Impossibile inviare altri inviti
friend_match_leave_match_button_label;Abbandona partita
friend_match_outgoing_notification_action_play;{0} ha accettato il tuo invito
friend_match_outgoing_notification_action_withdraw;Annulla
friend_match_outgoing_notification_text;In attesa che il giocatore accetti l'invito
friend_match_setup_card_title;Inizia partita
friend_match_setup_card_title_loading;Partita amichevole
friend_match_setup_title;Preparazione partita amichevole
friend_match_waiting_for_game_setup;Attendi...
friend_match_waiting_for_match_start_text;La partita inizierà a breve...
friend_match_waiting_for_opponent_text;L'avversario si sta preparando...
friendmatch_play_menu_description;Preparati per una partita amichevole
friendmatch_play_menu_title;Partita Amichevole
ftux_adda_name;Adda
ftux_adda_title;Principessa strige
ftux_arachas_queen_name;Arachas regina
ftux_arachas_queen_title;Madre della nidiata
ftux_bran_name;Bran
ftux_bran_title;Re di Skellige
ftux_brouver_name;Brouver
ftux_brouver_title;Capo Anziano di Mahakam
ftux_crach_name;Crach
ftux_crach_title;Jarl degli An Craite
ftux_dagon_name;Dagon
ftux_dagon_title;Divinità antica
ftux_eist_name;Eist
ftux_eist_title;Re di Cintra
ftux_eithne_name;Eithné
ftux_eithne_title;Signora di Brokilon
ftux_emhyr_name;Emhyr
ftux_emhyr_title;Imperatore di Nilfgaard
ftux_eredin_name;Eredin
ftux_eredin_title;Re della Caccia Selvaggia
ftux_filavandrel_name;Filavandrel
ftux_filavandrel_title;Protettore di Dol Blathanna
ftux_foltest_name;Foltest
ftux_foltest_title;Re di Temeria
ftux_francesca_name;Francesca
ftux_francesca_title;Regina degli elfi liberi
ftux_harald_name;Harald lo Zoppo
ftux_harald_title;Conquistatore di Ard Skellig
ftux_henselt_name;Henselt
ftux_henselt_title;Re di Kaedwen
ftux_jan_calveit_name;Jan Calveit
ftux_jan_calveit_title;Imperatore di Nilfgaard
ftux_radovid_name;Radovid
ftux_radovid_title;Re di Redania
ftux_unseen_elder_name;L'Invisibile
ftux_unseen_elder_title;Vampiro superiore
ftux_usurper_name;Usurpatore
ftux_usurper_title;Depennato dagli annali
ftux_voorhis_name;Voorhis
ftux_voorhis_title;Comandante della Divisione Alba
gaea_login_accept_text;N/A
gaea_login_accept_warning;N/A
gaea_login_invalid_email;N/A
gaea_login_invalid_password;N/A
gaea_login_invalid_real_id;N/A
gaea_login_invalid_real_name;N/A
gaea_login_invalid_username;N/A
gaea_login_panel_back;N/A
gaea_login_panel_delete_text;N/A
gaea_login_panel_delete_title;N/A
gaea_login_panel_email;N/A
gaea_login_panel_fail_text;N/A
gaea_login_panel_fail_title;N/A
gaea_login_panel_login;N/A
gaea_login_panel_password;N/A
gaea_login_panel_processing;N/A
gaea_login_panel_real_id;N/A
gaea_login_panel_real_name;N/A
gaea_login_panel_remember_me;N/A
gaea_login_panel_sign_in;N/A
gaea_login_panel_sign_up;N/A
gaea_login_panel_success_text;N/A
gaea_login_panel_success_title;N/A
gaea_login_panel_username;N/A
gaea_popup_purchase_error_text;N/A
gaea_popup_purchase_error_title;N/A
game_invite_description;Giocare una partita standard contro <b>{0}</b>?
game_invite_title;INVITO A UNA PARTITA RICEVUTO
game_mode_seasonal_bear_title;Bandito
game_mode_seasonal_cat_title;Scambio equo
game_mode_seasonal_draconid_title;Impeto battagliero
game_mode_seasonal_dryad_title;Altalena
game_mode_seasonal_elf_title;Raddoppio
game_mode_seasonal_griffin_title;Cambio di potere
game_mode_seasonal_love_title;Attrazione irresistibile
game_mode_seasonal_magic_title;Doppio incantesimo
game_mode_seasonal_mahakam_title;Trincea
game_mode_seasonal_more_provision_desc;All'inizio del tuo turno, trasforma tutte le carte nella tua mano in carte casuali che costano 1 di reclutamento in più.
game_mode_seasonal_more_provision_title;La pazienza è una virtù!
game_mode_seasonal_viper_title;Impeto
game_mode_seasonal_wild_hunt_title;Più uno
game_mode_seasonal_wolf_title;Prova delle Erbe
game_saving;Salvataggio...
game_version;Versione del gioco
gameplay_guides_button;Consulta le guide di gioco
get_lobby_fail_message_description;Errore di connessione
get_lobby_fail_message_title;Errore di connessione
gifting_status_locked;ha già sbloccato questo elemento
go_to_bd;Vai alla costruzione del mazzo
go_to_rb;Vai al libro delle ricompense.
gold;Oro
gold_currency;Pepita
gwent_bottom_victory_title;Il blu vince la partita
gwent_controller_disconnect_title_ps4;Controller wireless DUALSHOCK®4 scollegato
gwent_controller_disconnected_desc;Ricollega il controller e premi <sprite="[PC]" name=A> per continuare.
gwent_controller_disconnected_desc_ps4;Ricollega il controller wireless DUALSHOCK®4 e premi <sprite="[PC]" name=A> per continuare.
gwent_controller_disconnected_title;Controller scollegato
gwent_controller_disconnected_title_ps4;Controller wireless DUALSHOCK®4 scollegato
gwent_controller_for_user_is_not_connected_desc;Il controller wireless DUALSHOCK®4 dell'utente {0} non è collegato.
gwent_creating_deck_error_desc;Si è verificato un errore di rete durante la creazione del nuovo mazzo. Verifica lo stato della connessione a Internet e riprova.
gwent_creating_deck_error_title;Errore nella creazione del mazzo
gwent_defeat_title;Sconfitta
gwent_disclaimer_fnf;Placeholder
gwent_disclaimer_pc;<b>Ti diamo il benvenuto alla beta pubblica di\n\nGWENT: The Witcher Card Game</b>\n\nGrazie per aver scelto di aiutarci a testare il gioco! Per quanto sia già divertente allo stato attuale, non è la versione definitiva e mancano ancora alcune modalità e funzioni. Se dovessi imbatterti in problemi, visita il sito playgwent.com/support e segnalaceli. Rimedieremo appena possibile!\n\nTroverai maggiori informazioni sulla beta pubblica e sul gioco nelle domande frequenti disponibili su playgwent.com/faq.\n\nTi invitiamo inoltre a unirti alla community del GWENT sul nostro forum ufficiale e a seguire il nostro account Twitter e la nostra pagina Facebook: così potrai ricevere aggiornamenti, comunicare con gli sviluppatori e darci il tuo feedback.\n\nGrazie ancora per aver scelto di partecipare alla beta pubblica e speriamo che GWENT: The Witcher Card Game ti piaccia.\n\nA presto!\n\nIl team di GWENT
gwent_disclaimer_ps4;<b>Ti diamo il benvenuto alla beta pubblica di\n\nGWENT: The Witcher Card Game</b>\n\nGrazie per aver scelto di aiutarci a testare il gioco! Per quanto sia già divertente allo stato attuale, non è la versione definitiva e mancano ancora alcune modalità e funzioni. Se dovessi imbatterti in problemi, visita il sito playgwent.com/support e segnalaceli. Rimedieremo appena possibile!\n\nTroverai maggiori informazioni sulla beta pubblica e sul gioco nelle domande frequenti disponibili su playgwent.com/faq.\n\nTi invitiamo inoltre a unirti alla community del GWENT sul nostro forum ufficiale e a seguire il nostro account Twitter e la nostra pagina Facebook: così potrai ricevere aggiornamenti, comunicare con gli sviluppatori e darci il tuo feedback.\n\nGrazie ancora per aver scelto di partecipare alla beta pubblica e speriamo che GWENT: The Witcher Card Game ti piaccia.\n\nA presto!\n\nIl team di GWENT
gwent_disclaimer_xbox;<b>Ti diamo il benvenuto alla beta pubblica di\n\nGWENT: The Witcher Card Game\n\n(anteprima per Xbox One)</b>\n\nGrazie per aver scelto di aiutarci a testare il gioco! Per quanto sia già divertente allo stato attuale, non è la versione definitiva e mancano ancora alcune modalità e funzioni. Se dovessi imbatterti in problemi, visita il sito playgwent.com/support e segnalaceli. Rimedieremo appena possibile!\n\nTroverai maggiori informazioni sulla beta pubblica e sul gioco nelle domande frequenti disponibili su playgwent.com/faq.\n\nTi invitiamo inoltre a unirti alla community del GWENT sul nostro forum ufficiale e a seguire il nostro account Twitter e la nostra pagina Facebook: così potrai ricevere aggiornamenti, comunicare con gli sviluppatori e darci il tuo feedback.\n\nGrazie ancora per aver scelto di partecipare alla beta pubblica e speriamo che GWENT: The Witcher Card Game ti piaccia.\n\nA presto!\n\nIl team di GWENT
gwent_draw_title;Pareggio
gwent_duplicate_deck_error_desc;Impossibile duplicare il mazzo. Riprova in seguito.
gwent_duplicate_deck_error_title;Duplicazione fallita
gwent_duplicate_deck_title;Duplica mazzo
gwent_final_round;Round finale
gwent_flipping_coin;Lancio della moneta per decidere chi inizia...
gwent_forfeit_no;NO
gwent_forfeit_question;Vuoi arrenderti?
gwent_forfeit_title;Resa
gwent_forfeit_yes;SÌ
gwent_found_opponent;Avversario trovato!
gwent_gog_galaxy_required;Per giocare online è necessario GOG Galaxy.
gwent_hero;Eroe
gwent_loading_deck;Caricamento mazzo
gwent_login_failed;Accesso non riuscito
gwent_menu_choose_deck;CAMBIA MAZZO
gwent_menu_create_room;Crea una stanza
gwent_menu_join_room;Entra nella stanza
gwent_menu_multiplayer;Multigiocatore
gwent_menu_new_room;Nuova stanza
gwent_menu_options;Opzioni
gwent_menu_room_name;Nome stanza:
gwent_menu_single_player;Giocatore singolo
gwent_menu_tutorial;Tutorial
gwent_message_bottom_player_discarding_cards_main;Il blu sta ripescando
gwent_message_bottom_player_making_decision_main;Il blu sta decidendo
gwent_message_coin_toss_scoiatael_human_lost_main;Abilità fazione Scoia'tael
gwent_message_coin_toss_scoiatael_human_lost_sub;Inizia l'avversario
gwent_message_coin_toss_scoiatael_human_win_main;Abilità fazione Scoia'tael
gwent_message_coin_toss_scoiatael_human_win_sub;Inizi tu
gwent_message_enemy_passed_coin;L'AVVERSARIO HA PASSATO
gwent_message_enemy_passing_coin;L'AVVERSARIO STA PASSANDO
gwent_message_game_disrupted_main;Errore
gwent_message_game_disrupted_sub;Disconnesso
gwent_message_monster_ability_opponent_main;Abilità fazione
gwent_message_monster_ability_opponent_sub;Questa unità rimane sul campo di battaglia.
gwent_message_monster_ability_player_main;Placeholder
gwent_message_monster_ability_player_sub;Placeholder
gwent_message_monster_ability_you_main;Abilità fazione
gwent_message_monster_ability_you_sub;Questa unità rimane sul campo di battaglia.
gwent_message_northern_ability_opponent_main;Abilità fazione
gwent_message_northern_ability_opponent_sub;L'avversario pesca una carta.
gwent_message_northern_ability_player_main;Placeholder
gwent_message_northern_ability_player_sub;Placeholder
gwent_message_northern_ability_you_main;Abilità fazione
gwent_message_northern_ability_you_sub;Pesca una carta.
gwent_message_opp_scoia_chose_himself;L'avversario ha scelto di iniziare
gwent_message_opp_scoia_chose_you;L'avversario ha scelto di farti iniziare
gwent_message_opp_scoia_ignore;L'avversario ha lanciato la moneta
gwent_message_opp_scoia_ignore_round_result;L'avversario non ha usato l'abilità della fazione Scoia'tael.
gwent_message_opp_scoia_title;ABILITÀ FAZIONE SCOIA'TAEL ATTIVATA
gwent_message_opp_scoia_waiting;L'avversario sta scegliendo chi inizierà
gwent_message_opponent_discarding_cards_main;L'avversario sta ripescando le carte
gwent_message_opponent_discarding_cards_sub;L'avversario sta scegliendo quali carte sostituire
gwent_message_opponent_made_decision_main;{{opponentName}} ha scelto questa carta
gwent_message_opponent_made_decision_sub;Placeholder
gwent_message_opponent_making_decision_cards_main;L'avversario sta decidendo
gwent_message_opponent_making_decision_cards_sub;L'avversario sta decidendo quali carte usare.
gwent_message_opponent_making_decision_main;L'avversario sta decidendo
gwent_message_opponent_making_decision_sub;Placeholder
gwent_message_opponent_pass_main;{{opponentName}} ha passato
gwent_message_opponent_pass_sub;Placeholder
gwent_message_opponent_targeting_cards_main;L'avversario sta decidendo
gwent_message_opponent_targeting_cards_sub;L'avversario sta decidendo, attendi.
gwent_message_opponent_turn_coin;TURNO DELL'AVVERSARIO
gwent_message_opponent_turn_main;Turno dell'avversario
gwent_message_opponent_turn_sub;Placeholder
gwent_message_passed_coin;TURNO PASSATO
gwent_message_passing_coin;STA PASSANDO
gwent_message_player_forfeit_main;Ti sei arreso
gwent_message_player_forfeit_sub;Placeholder
gwent_message_player_pass_main;Hai passato
gwent_message_player_pass_sub;Placeholder
gwent_message_player_scoia_chose_himself;Hai deciso di iniziare tu
gwent_message_player_scoia_chose_you;Hai deciso di lasciare iniziare l'avversario
gwent_message_player_scoia_ignore;Hai deciso di conservare l'abilità della fazione Scoia'tael per dopo
gwent_message_player_scoia_ignore_round_result;Hai deciso di non usare l'abilità della fazione Scoia'tael.
gwent_message_round_bottom_won_main;Il blu conquista il round
gwent_message_round_draw_main;Il round è finito in parità
gwent_message_round_draw_sub;Placeholder
gwent_message_round_lost_main;Hai perso il round!
gwent_message_round_lost_nilfgaard_main;Abilità fazione
gwent_message_round_lost_nilfgaard_sub;Hai perso il round con un pareggio!
gwent_message_round_lost_sub;Placeholder
gwent_message_round_start_main;Inizio round
gwent_message_round_start_sub;Placeholder
gwent_message_round_top_won_main;Il rosso conquista il round
gwent_message_round_won_main;Hai vinto il round!
gwent_message_round_won_sub;Placeholder
gwent_message_scoia_desc;Scegli chi inizierà il prossimo round
gwent_message_scoia_desc_timer;Scegli chi inizierà il prossimo round/{0} secondi rimasti
gwent_message_scoia_title;Abilità fazione Scoia'tael attivata
gwent_message_scoiatael_ability_main;Abilità fazione
gwent_message_scoiatael_ability_sub;L'avversario sceglie chi inizierà
gwent_message_skellige_ability_opponent_main;Abilità fazione Skellige attivata
gwent_message_skellige_ability_opponent_sub;L'avversario ripesca una carta dal suo cimitero
gwent_message_skellige_ability_player_main;Placeholder
gwent_message_skellige_ability_player_sub;Placeholder
gwent_message_skellige_ability_you_main;Abilità fazione Skellige attivata
gwent_message_skellige_ability_you_sub;Ripesca una carta dal tuo cimitero
gwent_message_starting_round_three;Inizia il round FINALE!
gwent_message_starting_round_two;Inizia il secondo round!
gwent_message_top_player_discarding_cards_main;Il rosso sta ripescando
gwent_message_top_player_making_decision_main;Il rosso sta decidendo
gwent_message_your_turn_coin;TOCCA A TE
gwent_message_your_turn_main;Tocca a te
gwent_message_your_turn_sub;Placeholder
gwent_monster_ability_opp_main;Abilità fazione Mostri attivata
gwent_monster_ability_opp_sub;Questa unità rimane sul campo di battaglia.
gwent_monster_ability_you_main;Abilità fazione Mostri attivata
gwent_monster_ability_you_sub;Questa unità rimane sul campo di battaglia.
gwent_monster_faction_ability_triggered;Questa unità rimane sul campo di battaglia.
gwent_more_units;Carte unità insufficienti.
gwent_nilfgaard_ability_triggered;Abilità fazione Nilfgaard attivata: Nilfgaard vince in caso di pareggio.
gwent_northern_ability_trig_msg;I Regni Settentrionali pescano una carta in più
gwent_northern_ability_trig_title;Abilità fazione Regni Settentrionali attivata
gwent_northern_ability_triggered;Abilità fazione Regni Settentrionali attivata: il Nord pesca una carta in più.
gwent_ok;OK
gwent_opponent_passed_turn;L'avversario ha passato
gwent_opponent_turn_start_message;Turno dell'avversario
gwent_opponent_will_go_first;Inizia l'avversario
gwent_opponent_won_round;L'avversario ha vinto il round
gwent_pc_closed_beta;Beta pubblica
gwent_player_counter_leader;Il tuo comandante annulla l'abilità del comandante nemico.
gwent_player_passed_element;Passato
gwent_player_passed_turn;Round passato
gwent_player_turn_start_message;Tocca a te!
gwent_player_will_go_first_message;Inizi tu
gwent_player_won_round;Hai vinto il round!
gwent_please_wait;Attendi
gwent_quit_question;Vuoi uscire?
gwent_quit_title;Esci
gwent_rematch_start;Rivincita!
gwent_rewards_intro;BOTTINO DI GUERRA
gwent_round;Round
gwent_round_start;Inizio round
gwent_saving_deck;Salvataggio del mazzo
gwent_saving_deck_error_desc;Errore di rete durante il salvataggio del mazzo. Verifica lo stato della connessione a Internet e riprova.
gwent_saving_deck_error_title;Errore durante il salvataggio del mazzo
gwent_scoiatael_faction_ability_title;Vuoi iniziare tu questo round?
gwent_sharing_deck_error_desc;Impossibile creare un link di condivisione univoco. Riprova in seguito.
gwent_sharing_deck_error_title;Ops! Qualcosa è andato storto.
gwent_sharing_deck_title;Condivisione in corso...
gwent_special_card_limit;Limite carte speciali raggiunto
gwent_top_victory_title;Il rosso vince la partita
gwent_victory_title;Vittoria
gwent_waiting_for_second_player;In attesa dell'altro giocatore
gwent_xbox_one_preview;Preview Xbox One
hero_cards;Placeholder
highest_rank_profile_panel;Più alto
hold_pass;TIENI PREMUTO PER PASSARE
holiday_djenge_name;Djenge Frett
holiday_djenge_title;Cacciatore di taglie
holiday_event_encounter_completed;Sfida completata
holiday_event_ended_popup_text;La birra è terminata e il festival è concluso. Ma non temere, c'è sempre la prossima volta!
holiday_event_panel_easy_mode_description;Vieni a sederti qui con noi!
holiday_event_panel_easy_mode_title;Modalità standard
holiday_event_panel_ends_in;L'evento terminerà tra {0}
holiday_event_panel_hard_mode_description;Cerchi sfide più impegnative? Abbiamo una modalità apposita!
holiday_event_panel_hard_mode_title;Modalità esperto
holiday_event_panel_view_encounter_rewards;Mostra ricompense
holiday_jotun_name;Jotunn
holiday_jotun_title;Re dei giganti
holiday_panel_hardmode_popup_text;Ottimo lavoro! Se cerchi una sfida più impegnativa e altre ricompense, cimentati con la modalità esperto!
holiday_panel_hardmode_popup_title;Modalità esperto sbloccata!
holiday_panel_intro_popup_text;Per festeggiare il solstizio d'inverno, il troll Empørio ha preparato degli speciali sacchi di barili festivi per un periodo limitato.\n\nOgni sacco contiene:\n\n25 barili di carte – Ogni barile contiene 5 carte, di cui almeno una rara o superiore!\n1 carta epica animata – Scegli una fra tre carte epiche animate per aggiungerla alla tua collezione!\n400 unità di polvere meteorica – Usala per trasformare le carte nella rispettiva versione animata!\n\nIl sacco di barili festivo di Empørio è disponibile fino al 4 gennaio.
holiday_panel_intro_popup_title;Sacco di barili festivo di Empørio
holiday_phoenix_name;Fenice
holiday_phoenix_title;Creatura mitica
holiday_popup_continue;Continua
holiday_rewards_panel_title;Ricompense per il completamento della sfida
http_code;Codice di errore:
in_progress;Transazione in corso, in attesa che il fornitore esterno di servizi di pagamento concluda il processo. La transazione verrà finalizzata in background.
in_progress_title;Finalizzazione transazione
input_accept_deck_validation_popup;Accetta
input_accept_error_loading_decks;Accetta
input_accept_forfeit;Arrenditi
input_accept_menu;Accetta
input_accept_name;Imposta nome
input_accept_season_rewards;Placeholder
input_accept_selected_taunt;Seleziona commento
input_accept_selected_transactions;Placeholder
input_accept_settings;Accetta
input_accept_simple_popup;Accetta
input_accept_simple_popup2;SÌ
input_accept_transaction;Gioca
input_accept_transaction_db;Aggiungi carta
input_auto_play_card;Placeholder
input_auto_play_card_on_preview_board;Placeholder
input_back_from_settings;Indietro
input_back_to_deck_picker;Salva ed esci
input_back_to_deck_selecting;Indietro
input_back_to_edit_deck;Torna alla modifica del mazzo
input_back_to_main_menu;Torna al menu principale
input_back_to_settings;Indietro
input_booth_cheat_entered;Placeholder
input_buy_selected_product;ACQUISTA
input_call_leader;Usa l'abilità del comandante
