_inputshopbuymultiple;구매
journey_3_quest_4_extended_title;유명한 천재
journey_3_quest_4_standard_title;변화, 그리고 변화
journey_3_quest_5_extended_title;악명 높은 미치광이
journey_3_quest_5_standard_title;발라드 100곡, 아니 1000곡!
journey_3_quest_6_extended_title;냉정하고 계산적인
journey_3_quest_6_standard_title;본론으로
journey_info_description;진행 상황\n온라인 경기에서 라운드를 따낼 때마다 여정을 진행하고 왕관 조각 1개를 획득할 수 있습니다.\n100레벨에 도달해도 여정을 진행할 수 있으며, 추가 보상을 받을 수 있습니다!\n\n여정의 진행 상황은 메인 메뉴의 여정 카드를 통해 확인할 수 있습니다.\n\n보너스\n<sprite="PopupIcons" name="WellRested"> - 라운드를 따내면 최대 14개의 왕관 조각을 추가로 획득할 수 있습니다. 경기에서 승리하면 왕관 조각 2개와 추가 왕관 조각 2개를 획득하게 됩니다.\n<sprite="PopupIcons" name="WellRested"> - 매일 새롭게 갱신됩니다.\n\n퀘스트\n매주 6개의 새로운 퀘스트가 여정에 추가되며, 각 퀘스트를 통해 20개의 왕관 조각을 획득할 수 있습니다.\n프리미엄 여정을 잠금 해제하지 않고도 프리미엄 퀘스트를 진행할 수 있지만, 추가 왕관 조각을 획득하려면 프리미엄 여정을 잠금 해제해야 합니다.
journey_quest_1_extended_title;목숨을 위한 싸움
journey_quest_1_standard_title;명예를 위한 싸움
journey_quest_28_standard_title;결혼식
journey_quest_34_extended_title;여긴 너무 붐비는군
journey_quest_34_standard_title;현란한 춤사위
journey_quest_35_extended_title;다리 걸기
journey_quest_35_standard_title;영웅은 괴로워
journey_quest_36_extended_title;세상 끝까지!
journey_quest_36_standard_title;끝이 있으면, 시작도 있다
keg_reward_desc;카드통을 열어서 덱을 강화하세요.
keg_reward_title;축하합니다!
kegs_for_spent_money_reward;카드통 구매 보상금:
keyword_exact_copy_cards_count;이 카드와 유형 및 삽화가 같은 카드 수
keyword_total_cards_count;이 카드와 삽화가 같은 카드 수
label_cost;비용:
label_craft;제작:
label_gain;획득:
label_mill;분해:
label_mill_locked;{0}레벨에서 분해하기 잠금 해제됨
label_uncraftable;제작 불가
label_upgrade;변환:
leaderboard_pro_rank;프로 랭크
leaderboard_table_defeats;패배
leaderboard_table_draws;무승부
leaderboard_table_level;레벨
leaderboard_table_mmr;등급 포인트
leaderboard_table_name;이름
leaderboard_table_position;위치
leaderboard_table_victories;승리
leaderboard_window_name;순위표
legal_info_popup_text;Placeholder
legal_info_popup_title;법적 고지
level_bar_progress;/{0} 경험치
liveops_data_ep5_keg_desc;마스터 미러 카드통에는 더욱 강력한 궨트 카드 컬렉션을 완성하기 위한 마스터 미러 확장팩의 추가 카드가 포함되어 있습니다. \n\n\n마스터 미러 카드통에는 총 5장의 확장팩 카드가 들어있습니다. 그중 4장의 카드는 일반 등급 이상의 카드이며, 5번째 카드는 희귀 등급 이상의 카드 3장 중에서 원하는 1장을 선택하여 획득하게 됩니다.
liveops_data_ep5_keg_title;마스터 미러 카드통
liveops_data_ep5_premium_keg_desc;프리미엄 마스터 미러 카드통에는 더욱 강력한 궨트 카드 컬렉션을 완성하기 위한 마스터 미러 확장팩의 추가 애니메이션 카드가 포함되어 있습니다. \n\n\n프리미엄 마스터 미러 카드통에는 총 5장의 마스터 미러 확장팩 프리미엄 카드가 들어있습니다. 그중 4장의 카드는 일반 등급 이상의 카드이며, 5번째 카드는 희귀 등급 이상의 카드 3장 중에서 원하는 1장을 선택하여 획득하게 됩니다.
liveops_data_ep5_premium_keg_title;프리미엄 마스터 미러 카드통
liveops_data_shop_bundle_season_of_cat_desc;<sprite="PopupIcons" name="CardBack">고양이 카드 뒷면\n\n <sprite="PopupIcons" name="Avatar">시즌 전용 아바타 3개: 시리, 키얀, 고양이인간\n\n <sprite="PopupIcons" name="Border">시즌 전용 테두리 장식 4개: 붉은 스라소니, 메티나 흑표범, 닐프가드 호랑이, 살쾡이 그랜드마스터\n\n <sprite="PopupIcons" name="Title">보너스 칭호: "호전적인 고양이"\n\n 이 특별한 번들에는 고양이 시즌 동안 궨트에서 얻을 수 있었던 장식 아이템과 특별한 보너스 아이템까지 들어 있습니다!
liveops_mainmenu_standard_rules_archive;{0}부터 {1}까지 이용할 수 있습니다
loading_combat;불러오는 중
loading_invite_desc;불러오는 중입니다. 잠시만 기다려주십시오...
loading_invite_title;불러오는 중
loading_text;불러오는 중
lobby_initialize_fail_message_description;게임 대기실에 연결하지 못했습니다.
lobby_initialize_fail_message_title;연결 실패
loc_found_destiny_text;흥미로운 대결이 되겠군요!
loc_searching_destiny_text;적절한 상대 검색 중...
local_push_come_back;사령관님, 부대가 동요하고 있습니다. ☁ 전쟁을 벌일 시간입니다! 🚩
local_push_dnf_tutorial;다음 게임을 완료하면 엄청난 보상을 받을 수 있습니다! ✌
local_push_finish_registration;등록을 완료하고 프리미엄 카드통을 받으세요! 🍀🎁
local_push_last_chance_daily;주군, 일일 보상이 기다리고 있습니다. 👑 지금 로그인하세요! 👍
local_push_new_daily_quest;새로운 임무가 기다리고 있습니다! ✊ 지금 확인해 보세요! 💪
local_push_rank;x랭크 달성을 축하드립니다! 👏 멋진 보상을 위해 더욱 노력하세요! 👊
login_already_logged;이미 로그인한 상태입니다! 메인 메뉴로 이동합니다.
login_assets_loading_failed;에셋 불러오기 실패!
login_checking_defs;카드 정보 확인 중...
login_downloading_defs;서버에서 카드 정보 다운로드 중...
login_failed_defs;카드 정보 불러오기 실패!
login_failed_desc;궨트 서버에 연결하지 못했습니다. 인터넷 연결 상태를 확인하고 다시 시도해주십시오.
login_failed_desc_failure_reason_galaxy_service_not_available;로그인하지 않았습니다. 진행하려면 GOG Galaxy 클라이언트를 실행한 후 로그인하십시오.
login_failed_desc_failure_reason_galaxy_service_not_signed_in;로그인하지 않았습니다. 진행하려면 GOG Galaxy 클라이언트를 실행한 후 로그인하십시오.
login_failed_desc_failure_reason_invalid_credentials;잘못된 사용자 이름 또는 암호입니다.
login_failed_desc_failure_reason_no_license;로그인 실패. 라이선스 키를 찾을 수 없습니다.
login_failed_desc_failure_reason_platform_service_not_signed_in;사용자가 로그인하지 않았습니다. 진행하려면 플랫폼 클라이언트를 실행한 후 로그인하십시오.
login_failed_news;이런! 새 소식을 불러오는 과정에서 오류가 발생했습니다. 나중에 다시 시도해주십시오.
login_failed_title;연결 실패
login_failure;연결하지 못했습니다! 로그인으로 돌아갑니다...
login_inventory_loaded;소지품 불러오기 완료!
login_inventory_loading;소지품 불러오는 중...
login_inventory_loading_failed;소지품 불러오기 실패!
login_loaded_cards;카드 불러오기 완료!
login_loaded_defs;카드 정보 불러오기 완료...
login_loaded_news;새 소식 불러오기 완료
login_loading_cards;카드 컬렉션 초기화 중…
login_loading_defs;카드 정보 불러오는 중...
login_loading_news;새 소식 불러오는 중...
login_logging_in;로그인 중...
login_press_confirm;<sprite="[PC]" name=A> 버튼을 눌러 로그인하십시오.
login_press_confirm_japanese_navigation;<sprite="[PC]" name=B> 버튼을 눌러 로그인하십시오.
login_press_confirm_pc;<sprite="[PC]" name=keycode_LC> 버튼을 눌러 로그인하십시오.
login_press_confirm_xbox;<sprite="[PC]" name=A> 버튼을 눌러 로그인하십시오.\n<sprite="[PC]" name=Y> 버튼을 눌러 프로필을 선택하십시오.
login_profile_loading;프로필 불러오는 중...
login_profile_loading_build_access_denied;이 게임 버전은 해당 지역에서 서비스하지 않습니다.
login_profile_loading_build_access_denied_title;액세스 거부됨
login_profile_loading_fail;사용자 프로필을 다운로드할 수 없습니다. 다시 시도해주십시오.
login_profile_loading_fail_title;로그인 오류
login_profile_loading_success;프로필을 찾았습니다!
login_queue_loading;서버 접속자가 많습니다...
login_queue_loading_fail_text;궨트 서버에 연결하지 못했습니다. 인터넷 연결 상태를 확인하고 다시 시도해주십시오.
login_queue_waiting_defined_time_text;대륙 곳곳이 전쟁터입니다. {0}초 후 전장으로 이동하니 잠시만 기다려주십시오...
login_queue_waiting_title;서버 접속자가 많습니다...
login_queue_waiting_undefined_time_text;대륙 곳곳이 전쟁터입니다. 잠시만 기다려주십시오...
login_shop_loaded;상점 불러오기 완료!
login_shop_loading;데이터 불러오는 중...
login_shop_loading_failed;상점 불러오기 실패!
login_success;로그인 완료!
login_sync_failure;콘텐츠를 업데이트하지 못했습니다. 나중에 다시 시도해주십시오. 현재 수정 중이오니 이른 시일 내에 수정하겠습니다.
login_wait;잠시 기다려주십시오...
logout_popup_desc;프로필 변경
logout_popup_title;다른 프로필로 변경하시겠습니까?
lvl_profile_panel;레벨
main_menu_arena_desc;군터 오딤과 계약하시겠습니까?
main_menu_join_as_player;Ignore for now
main_menu_join_as_spectator;Ignore for now
mainmenu_arena_desc;군터 오딤과 계약하시겠습니까?
mainmenu_arena_description;군터 오딤과 계약하시겠습니까?
mainmenu_arena_title;아레나
mainmenu_cards;컬렉션
mainmenu_cards_feed;카드 피드
mainmenu_casual_desc;궨트에서 표준 경기를 치릅니다.
mainmenu_casual_title;표준 경기
mainmenu_challenges_desc;싱글 플레이 도전을 수행하고 리더 카드를 획득합니다.
mainmenu_challenges_title;도전
mainmenu_chinsesenewyearpack_desc;궨트에도 음력 새해가 찾아왔습니다.
mainmenu_chinsesenewyearpack_title;설날 맞이 번들
mainmenu_christmaspack_desc;슙이 준비한 홀리데이 이벤트!
mainmenu_christmaspack_title;홀리데이 카드통 팩
mainmenu_collection_desc;모든 카드를 살펴보거나 새 카드를 제작합니다.
mainmenu_collection_title;컬렉션
mainmenu_cosmeticcollection_desc;아바타, 칭호 등을 변경합니다.
mainmenu_cosmeticcollection_title;장식
mainmenu_credits_desc;궨트를 만든 사람들을 살펴봅니다.
mainmenu_credits_title;만든 사람들
mainmenu_deckbuilder_desc;덱을 생성하거나 편집합니다.
mainmenu_deckbuilder_title;덱 편집기
mainmenu_during_season_transition;시즌이 변경 중입니다! 지금부터 완료한 매치는 랭크에 반영되지 않습니다
mainmenu_feed_closed_beta_msg;궨트 오픈 베타가 시작되었습니다!
mainmenu_holiday;홀리데이 카드통 팩
mainmenu_holidayevent_desc;홀리데이 카드통 팩을 획득할 기회!
mainmenu_home;홈
mainmenu_home_feed;홈 피드
mainmenu_infobar_default;<b>궨트 오픈 베타</b>에 오신 것을 환영합니다! 마음껏 게임을 플레이하고 <b>playgwent.com/support</b>로 의견을 보내주시기 바랍니다.
mainmenu_ingamenews;새 소식 및 이벤트
mainmenu_invite_desc;친구와 대결을 펼칩니다.
mainmenu_invite_title;친선 경기
mainmenu_leaderboard_desc;전 세계 플레이어의 순위를 살펴볼 수 있습니다.
mainmenu_leaderboard_title;순위표
mainmenu_leaderboards_button_tooltip;순위표
mainmenu_login;로그인
mainmenu_matchmaking_panel_canceling_text;매치메이킹 종료하는 중...
mainmenu_matchmaking_panel_error_text;예상치 못한 오류가 발생했습니다.
mainmenu_multiplayer;플레이
mainmenu_multiplayer_feed;멀티플레이 피드
mainmenu_multiplayer_window;플레이
mainmenu_news;새 소식 및 이벤트
mainmenu_no_deck_info;플레이 가능한 덱이어야 합니다!
mainmenu_northernrealmsnewgame_desc;새로운 모험이 시작됩니다.
mainmenu_northernrealmsnewgame_title;새로운 게임
mainmenu_openkeg_desc;보유한 카드통 중 한 개를 엽니다.
mainmenu_openkeg_title;카드통 열기
mainmenu_options;옵션
mainmenu_patch_desc;변경 내용을 살펴봅니다.
mainmenu_patch_title;패치 노트
mainmenu_play_window;플레이
mainmenu_practice_desc;AI 상대와 연습합니다.
mainmenu_practice_title;연습
mainmenu_pro_leaderboard_desc;프로 래더 플레이어 순위를 확인합니다.
mainmenu_pro_leaderboard_title;프로 래더 순위표
mainmenu_pro_ranked_desc;최고의 적수를 상대로 플레이를 펼칩니다.
mainmenu_pro_ranked_title;프로 래더 경기
mainmenu_quick_play;빠른 플레이
mainmenu_quit;종료
mainmenu_ranked_desc;궨트로 다른 플레이어와 경쟁합니다.
mainmenu_ranked_title;경쟁전
mainmenu_rewards_button_tooltip;보상 북
mainmenu_rewards_desc;사용 가능하고 잠금 해제된 보상을 확인할 수 있습니다.
mainmenu_rewards_title;보상
mainmenu_season_transition_timer_x;다음 시즌은 {0}부터 시작합니다
mainmenu_seasonal_bear_2_desc;멀리건이 끝나면 양 플레이어의 덱을 추방합니다. 덱에서 카드가 나올 때마다 그 카드를 추방합니다.
mainmenu_seasonal_bear_desc;양 플레이어는 전장에 무자비한 암컷 곰을 보유한 채 경기를 시작합니다.
mainmenu_seasonal_cat_desc;2턴 후에 양 플레이어가 서로의 손 패를 바꿉니다.
mainmenu_seasonal_draconid_desc;각 플레이어는 8초 내에 턴을 종료해야 하며, 15초 동안 카드를 교체할 수 있습니다.
mainmenu_seasonal_dryad_desc;플레이어의 턴이 끝날 때:\n홀수 전력 유닛에 1 피해를 주고\n짝수 전력 유닛을 1 증폭한다.
mainmenu_seasonal_elf_2_desc;내 손에서 유닛을 낼 때마다, 내 덱에서 유지비가 같은 유닛을 냅니다. 경기를 시작할 때 내 시작 덱의 크기가 2배가 됩니다.
mainmenu_seasonal_elf_desc;내 손에서 유닛을 낼 때마다, 내 덱에서 유지비가 같은 유닛을 냅니다. 경기를 시작할 때 내 시작 덱의 크기가 2배가 됩니다.
mainmenu_seasonal_griffin_desc;경기를 시작할 때 내 시작 덱에 있는 모든 유닛의 전력을 그 유닛의 유지비로 설정합니다.
mainmenu_seasonal_love_desc;첩보원이 아닌 유닛을 낼 때마다, 그 유닛과 전력이 같은 무작위 적을 상대 진영으로 이동시킵니다.
mainmenu_seasonal_magic_desc;한 턴에 한 번, 내가 특수 카드를 내면 그 즉시 동일한 카드를 생성하여 냅니다.
mainmenu_seasonal_mahakham_desc;전장에 있는 모든 유닛이 잔류를 획득합니다.
mainmenu_seasonal_rules;{0}레벨부터 이용할 수 있습니다.
mainmenu_seasonal_title;시즌 전용
mainmenu_seasonal_viper_desc;유닛이 스스로 또는 다른 유닛에 의해 피해를 입을 때마다, 피해를 입은 유닛은 피해량과 동일한 지속 시간 동안 출혈에 걸립니다.\n유닛이 스스로 또는 다른 유닛에 의해 증폭될 때마다, 증폭한 유닛은 증폭량과 동일한 지속 시간 동안 활력을 얻습니다.
mainmenu_seasonal_wild_hunt_desc;유닛을 낼 때마다, 해당 유닛을 복사하여 그 전열의 끝에 1 전력으로 생성합니다.
mainmenu_seasonal_wolf_desc;유닛이 보드에 나올 때마다, 해당 유닛이 2 피해를 받고 4 증폭합니다. 만약 위쳐라면, 피해를 받지 않습니다.
mainmenu_settings_desc;게임 설정을 조정합니다.
mainmenu_settings_title;옵션
mainmenu_shop;상점
mainmenu_shop_desc;카드를 구매하여 더 좋은 덱을 만듭니다.
mainmenu_shop_feed;상점 피드
mainmenu_shop_title;카드통
mainmenu_shopgems_desc;운석 가루를 구매하여 카드를 변환할 수 있습니다.
mainmenu_shopgems_title;운석 가루
mainmenu_singleplayer;쓰론브레이커
mainmenu_standard_button;일반전
mainmenu_standard_title;표준
mainmenu_starterpack_desc;카드 컬렉션을 본격적으로 시작합니다.
mainmenu_starterpack_title;스타터 팩
mainmenu_tb_card_not_bought_title;지금 구매
mainmenu_tb_card_not_installed_title;지금 설치
mainmenu_tryagain_info_text;잠시 후 다시 시도해주십시오.
mainmenu_tutorial_desc;궨트의 기본 플레이 방법을 알아봅니다.
mainmenu_tutorial_title;튜토리얼
mainmenu_tutorialcollection_desc;카드를 살펴보고 제작하는 방법을 알아봅니다.
mainmenu_tutorialcollection_title;컬렉션
mainmenu_tutorialcombat;전투
mainmenu_tutorialcombata_desc;유닛 카드, 보드 구성, 게임 규칙
mainmenu_tutorialcombata_title;기본 정보
mainmenu_tutorialcombatb_desc;라운드와 카드 능력
mainmenu_tutorialcombatb_title;고급 시스템
mainmenu_tutorialcombatc_desc;리더 카드 및 특수 카드
mainmenu_tutorialcombatc_title;특수 시스템
mainmenu_tutorialdeckbuilder_desc;새로운 덱 생성 방법을 알아봅니다.
mainmenu_tutorialdeckbuilder_title;덱 편집기
mainmenu_tutorialmanagement;카드 관리
mainmenu_tutorialshop_desc;콘텐츠 구매 방법을 알아봅니다.
mainmenu_tutorialshop_title;상점
max_level_reached;최대 레벨
message_logout_button;로그아웃
message_logout_desc;정말 로그아웃하시겠습니까?
message_logout_title;로그아웃
message_return_login_desc;변경된 설정을 적용하려면 시작 화면으로 돌아가야 합니다. 계속하시겠습니까?
message_return_login_title;설정 변경 완료
milling_unlocked;분해하기 잠금 해제됨!
missing_gog_overlay_description;이 기능을 사용하려면 GOG Galaxy를 실행해야 합니다. GOG Galaxy를 실행한 후 다시 시도해주십시오.
missing_gog_overlay_title;GOG Galaxy 오류
mmr_score_decay_expired;활동하지 않아서 등급 포인트가 차감되었습니다.
mmr_score_decay_warning;활동하지 않으면 등급 포인트가 차감됩니다.
mon_fluff_description;인간은 스스로를 대륙의 주인이라 생각합니다. 하지만 늘 다니던 길에서 길을 잃거나 달이 차오르는 밤에 귀를 조금만 기울인다면 그것이 얼마나 어리석은 생각인지 알 수 있습니다. 우거진 숲에서, 그늘진 산골짜기에서, 습지에서, 그리고 버려진 집들의 퀴퀴한 지하창고에서 셀 수도 없이 많은 눈이 어둠속에서 빛을 내고 날카로운 송곳니에서 피가 뚝뚝 떨어집니다... 괴물들은 어둠에서 몸을 숨기고 먹이를 사냥할 때만을 기다리고 있습니다. 피에 굶주린 괴물들은 닥치는 대로 공격합니다. 다행이도 이런 마구잡이식의 공격을 막을 수는 있습니다. 하지만 누군가 괴물들을 지휘하여 그들에게 목적 의식을 심어준다면... 어떤 방벽도, 어떤 방패도, 어떤 갑옷도 그들을 막을 수 없을 것입니다. 인간의 피가 강이 되어 흐르고 끔찍한 비명이 밤의 적막을 가를 것입니다.
mon_fluff_title;괴물
monster_preset_deck_name;괴물 스타터 덱
most_popular;인기
mulligan_remaining_count;남은 교체 횟수
network_game_logic_locked_header;게임 진행 불가
network_game_logic_locked_message_both;로컬 및 상대 클라이언트에서 게임 진행을 방해하는 오류가 발생했습니다. 게임을 종료합니다.
network_game_logic_locked_message_bottom;블루 플레이어의 클라이언트에서 게임 진행을 방해하는 오류가 발생했습니다. 게임을 종료합니다.
network_game_logic_locked_message_local;로컬 클라이언트에서 게임 진행을 방해하는 오류가 발생했습니다. 게임을 종료합니다.
network_game_logic_locked_message_opponent;상대 클라이언트에서 게임 진행을 방해하는 오류가 발생했습니다. 게임을 종료합니다.
network_game_logic_locked_message_top;레드 플레이어의 클라이언트에서 게임 진행을 방해하는 오류가 발생했습니다. 게임을 종료합니다.
network_game_player_not_playing_bottom;블루 플레이어가 너무 오랫동안 게임을 지연시켜 게임이 강제 종료되었습니다.
network_game_player_not_playing_header;지연으로 인해 게임이 종료되었습니다.
network_game_player_not_playing_local;너무 오랫동안 게임을 지연시켜 게임이 강제 종료되었습니다.
network_game_player_not_playing_opponent;상대가 너무 오랫동안 게임을 지연시켜 게임이 강제 종료되었습니다.
network_game_player_not_playing_top;레드 플레이어가 너무 오랫동안 게임을 지연시켜 게임이 강제 종료되었습니다.
network_game_state_compromised_header;게임 동기화 정보 불일치
network_game_state_compromised_message_both;서버와 로컬/상대 클라이언트 상태가 일치하지 않습니다. 게임을 종료합니다.
network_game_state_compromised_message_bottom;서버와 블루 플레이어의 클라이언트 상태가 일치하지 않습니다. 게임을 종료합니다.
network_game_state_compromised_message_local;서버와 로컬 클라이언트 상태가 일치하지 않습니다. 게임을 종료합니다.
network_game_state_compromised_message_opponent;서버와 상대 클라이언트 상태가 일치하지 않습니다. 게임을 종료합니다.
network_game_state_compromised_message_top;서버와 레드 플레이어의 클라이언트 상태가 일치하지 않습니다. 게임을 종료합니다.
network_game_state_disconnected_bottom;블루 플레이어의 네트워크 연결이 끊겨 게임을 강제 포기했습니다.
network_game_state_disconnected_local;네트워크 연결이 끊겨 게임을 강제 포기했습니다. 상대가 승리했습니다.
network_game_state_disconnected_opponent;상대의 네트워크 연결이 끊겨 게임을 강제 포기했습니다. 게임에서 승리했습니다.
network_game_state_disconnected_spectator;네트워크 연결이 끊겨 게임을 관전할 수 없습니다.
network_game_state_disconnected_title;연결 끊김
network_game_state_disconnected_top;레드 플레이어의 네트워크 연결이 끊겨 게임을 강제 포기했습니다.
network_game_state_forfeited_opponent;상대가 게임을 포기했습니다.
network_game_state_forfeited_title;게임 종료
network_game_state_overquota_bottom;블루 플레이어의 클라이언트에서 너무 많은 데이터를 전송했습니다. 상대가 게임을 강제 포기했습니다.
network_game_state_overquota_local;클라이언트에서 너무 많은 데이터를 전송했습니다. 게임을 강제 포기했습니다.
network_game_state_overquota_opponent;상대 클라이언트에서 너무 많은 데이터를 전송했습니다. 상대가 게임을 강제 포기했습니다.
network_game_state_overquota_title;패킷 오류
network_game_state_overquota_top;레드 플레이어의 클라이언트에서 너무 많은 데이터를 전송했습니다. 상대가 게임을 강제 포기했습니다.
network_game_state_server_error;서버 오류로 게임이 강제로 조기 종료되었습니다.
network_game_state_server_error_title;서버 오류
network_game_unauthorized_action_header;게임 진행 불가
network_game_unauthorized_action_message_both;로컬 및 상대 클라이언트에서 승인되지 않은 작업을 실행하려 했습니다. 게임을 종료합니다.
network_game_unauthorized_action_message_bottom;블루 플레이어의 클라이언트에서 승인되지 않은 작업을 실행하려 했습니다. 게임을 종료합니다.
network_game_unauthorized_action_message_local;로컬 클라이언트에서 승인되지 않은 작업을 실행하려 했습니다. 게임을 종료합니다.
network_game_unauthorized_action_message_opponent;상대 클라이언트에서 승인되지 않은 작업을 실행하려 했습니다. 게임을 종료합니다.
network_game_unauthorized_action_message_top;레드 플레이어의 클라이언트에서 승인되지 않은 작업을 실행하려 했습니다. 게임을 종료합니다.
networking_login_lost_message;메인 메뉴로 돌아갑니다.
networking_login_lost_title;서버와 연결이 끊겼습니다!
new_update_available_description;최신 데이터를 다운로드하려면 다시 로그인해야 합니다.
new_update_available_title;업데이트 가능
nilf_fluff_description;왼쪽, 오른쪽, 왼쪽, 오른쪽... 닐프가드 중보병의 행진에 대륙 전체가 흔들립니다. 그들의 뒤에는 불을 뿜는 공성 기계와 말주변이 좋은 사절단이 따르고 그 뒤를 따라 독을 바른 구불구불한 단검을 휘두르는 무시무시한 암살병들이 보입니다... 북부 왕국 사람들은 문을 굳게 닫아 잠그고 덧문마저 걸어 잠근 창문 뒤에서 두려움에 떨며 조용히 멜리텔레에게 기도를 바칠 뿐입니다. "자애로운어머니시여... 악의 무리로부터 우리를 보호하소서. 우리의 수확들이 그들의 발에 짓밟히지 않게 하시고, 우리의 아이들을 그들의 족쇄로부터 보호하소서..." 하지만 폰타르 강과 야루가 사이에서 피어오르는 연기를 보고 있자니, 그들의 기도가 멜리텔레에게 닿지 않은 것 같습니다.
nilf_fluff_title;닐프가드
nilfgaard_preset_deck_name;닐프가드 스타터 덱
no_notifications;알림 없음
no_servers_matchmaking_description;당사 서버가 과부하되었습니다!\n\n몇 분 후 다시 시도해주십시오.
no_servers_matchmaking_title;서버 없음
nor_fluff_description;북부 왕국을 정확히 그려 놓은 지도는 어느 궁중에서도 어느 도서관에서도 찾을 수 없습니다. 그도 그럴 것이 지도를 제작하는 이가 북부 지도의 마지막 경계선을 그려넣을때 쯤에는 어느 왕이, 왕자가, 혹은 후작이 주변 국을 침략하여 또다시 북부의 지도가 달라지기 때문입니다. 북부에서는 분쟁과 전쟁이 끊이질 않습니다. 에이단과 케드웬, 테메리아와 리리아... 하지만 이런 광기어린 싸움의 반복 속에서 북부인들은 뛰어난 전사로 성장하고 마을 주민들은 갈등과 희생에 면역이 생깁니다. 북부를 무너뜨리는 것은 결코 쉽지 않습니다. 특히 북부인들이 시덥잖은 싸움을 멈추고 공통의 적을 향해 함께 칼을 겨눌 때는 더더욱 그렇습니다. 하지만 함께 승리를 이루었다는 기쁨도 잠시, 얼마 지나지 않아 북부인들은 서로를 향해 칼을 겨누겠지만 말입니다.
nor_fluff_title;북부 왕국
northern_preset_deck_name;북부 왕국 스타터 덱
not_enough_currency;화폐 부족
not_found;서버 교신 중 오류가 발생했습니다. 나중에 다시 시도해주십시오.
not_found_title;오류
notification_christmas_present_recieved;눈 더미 속에서 신비로운 꾸러미를 발견했습니다. 슙이라면 열 수 있을 겁니다!
notification_craft_cannotafford;이 카드를 제작할 조각이 부족합니다!
notification_craft_maxcopies;이미 해당 카드의 모든 유형을 갖고 있습니다!
notification_deck_create_leader_no_copies;컬렉션에 해당 리더가 없습니다.
notification_event_1_reward;눈 더미 속에서 신비로운 꾸러미를 발견했습니다. 슙이라면 열 수 있을 겁니다!
notification_event_2_reward;지난 전투에서 찾은 먼지투성이 상자입니다. 안에 무엇이 들어있을까요?
notification_event_3_reward;추가 <sprite="PopupIcons" name="Powder"> {0} 획득
notification_ftux_1;연습 모드에서 게임을 완료하십시오.
notification_ftux_2;표준 모드에서 3경기 중 1경기를 완료하십시오.
notification_ftux_3;표준 모드에서 3경기 중 2경기를 완료하십시오.
notification_ftux_4;표준 모드에서 3경기를 완료하십시오.
notification_ftux_three_matches;표준 모드로 3경기를 완료하십시오.
notification_gift_received;{0} 님이 선물을 보냈습니다!
notification_love_event_daily_quest_reward;일일 퀘스트 완료 보상으로 <sprite="PopupIcons" name="Chocolate">{0}개를 얻었습니다. 보상 북에서 보상을 잠금 해제할 때 사용할 수 있습니다.
notification_love_event_login_reward;로그인 보상으로 <sprite="PopupIcons" name="Chocolate">{0}개를 얻었습니다. 보상 북에서 보상을 잠금 해제할 때 사용할 수 있습니다.
notification_love_event_match_reward;경기 승리 보상으로 <sprite="PopupIcons" name="Chocolate">{0}개를 얻었습니다. 보상 북에서 보상을 잠금 해제할 때 사용할 수 있습니다.
notification_mill_card_from_starter_set;스타터 세트에서 카드를 분해할 수 없습니다.
notification_mill_levelnotreached;{0}레벨이 되어야 카드를 분해할 수 있습니다!
notification_mill_nocopies;해당 카드를 갖고 있지 않아 분해할 수 없습니다!
notification_mill_nospares;분해할 남는 카드가 없습니다!
notification_mill_spare_cards;여분의 자원을 얻으려면 남는 카드를 분해하는 것이 좋습니다.
notification_shop_cvv_invalid;유효하지 않은 CVV 코드
notification_upgrade_cannotafford;운석 가루가 부족합니다!
notification_upgrade_cannotpremium;프리미엄 카드는 변환할 수 없습니다!
notification_upgrade_maxcopies;이미 해당 카드의 모든 유형을 갖고 있습니다!
notification_upgrade_nocopies;해당 카드를 갖고 있지 않아 변환할 수 없습니다!
obb_notification_download_complete;다운로드 완료
obb_notification_download_failed;다운로드 실패
obb_state_completed;다운로드 완료
obb_state_connecting;다운로드 서버에 연결 중
obb_state_downloading;리소스 다운로드 중
obb_state_failed;다운로드 실패
obb_state_failed_cancelled;다운로드 취소
obb_state_failed_fetching_url;리소스를 찾을 수 없어서 다운로드 실패
obb_state_failed_sdcard_full;내부 저장소가 가득 차 있어서 다운로드 실패
obb_state_failed_unlicensed;Google Play Store에서 다운로드한 앱이 아닐 수 있기 때문에 다운로드 실패
obb_state_fetching_url;다운로드할 리소스를 찾는 중
obb_state_idle;다운로드 시작 대기 중
obb_state_paused_by_request;다운로드 중지
obb_state_paused_network_setup_failure;다운로드 중지. 브라우저에서 웹사이트를 열어 보십시오
obb_state_paused_network_unavailable;사용 가능한 네트워크가 없어서 다운로드 중지
obb_state_paused_roaming;로밍 중이라서 다운로드 중지
obb_state_paused_sdcard_unavailable;외부 저장소를 사용할 수 없어서 다운로드 중지
obb_state_paused_wifi_disabled;와이파이가 꺼져 있어서 다운로드 중지
obb_state_paused_wifi_unavailable;와이파이를 사용할 수 없어서 다운로드 중지
obb_state_unknown;시작 중...
obb_state_unpacking;압축을 해제하는 중입니다. 잠시 기다려주십시오...
obb_time_remaining;남은 시간: {0}
obb_time_remaining_notification;{0} 남았습니다
