_inputshopbuymultiple;COMPRAR
avatar_iorveth_s02_r20;Avatar de Iorveth (sin cicatriz)
avatar_iorveth_s02_r20_additional_description;Recompensa por alcanzar la posición 15 en partida clasificatoria, temporada de los elfos (abril).
avatar_iorveth_s02_r20_description;Afamado luchador por la libertad de los no humanos y líder de un comando Scoia'tael. Firme defensor de que el fin justifica los medios y dispuesto a hacer cualquier cosa por la causa de los elfos. Un idealista que oculta sus sentimientos con la misma habilidad con la que oculta la horrible cicatriz de su rostro.
avatar_iorwethsquirrel;Avatar de Iorveth (con ardilla)
avatar_iorwethsquirrel_additional_description;Recompensa especial
avatar_iorwethsquirrel_description;Los Scoia'tael aún rondan los bosques del norte, listos para atacar a los incautos en el camino real. El más odiado e infame de todos ellos es Iorveth, líder del último comando libre.
avatar_letho_s04_lvl1;Avatar de Letho de Guleta
avatar_letho_s04_lvl1_additional_description;Recompensa por alcanzar la posición 15 en partida clasificatoria, temporada de la víbora (mayo).
avatar_letho_s04_lvl1_description;Un asesino de reyes. Un bicho raro. Un monstruo. Así es como la mayoría de los norteños ven a Letho después de su papel en el asesinato de dos de sus reyes, hechos que sumieron a los Reinos del Norte en el caos. No muchos saben que esta montaña de músculos también es un maestro estratega que actúa con el único propósito de promover el progreso de la escuela de la Víbora.
avatar_odrin_h01;Avatar de Odrin
avatar_odrin_h01_additional_description;Recompensa por completar los desafíos del Festival de la birra de Mahakam en modo normal.
avatar_odrin_h01_description;El mayor borrachín entre el Yaruga y las Montañas del Dragón. Kaedweni de nacimiento, no hizo nada digno de mención como soldado al servicio del rey Henselt, pero se labró fama como canalla y viajero. Visitó casi todo el mundo conocido y sobrevivió a numerosas y estrafalarias aventuras en completo estado de embriaguez, aunque no recuerda un pimiento de ellas.
avatar_phoenix_h03;Avatar de Fénix
avatar_phoenix_h03_additional_description;Recompensa por completar los desafíos de caza del solsticio de invierno en modo experto.
avatar_phoenix_h03_description;Al igual que el sol en su ciclo diario, el fénix muere para renacer de nuevo. Ni los brujos saben mucho más acerca de estas misteriosas criaturas: algunos incluso creen que son solo producto de la imaginación humana. Aunque son escasos, lo cierto es que sí existen, y sus plumas se consideran objetos de gran valor.
avatar_radovid_s04_r10;Avatar de Rey Radovid V
avatar_radovid_s04_r10_additional_description;Recompensa por alcanzar la posición 10 en partida clasificatoria, temporada del lobo (enero).
avatar_radovid_s04_r10_description;Radovid el Severo, quinto de su nombre, rey de Redania, fue una figura antitética. Algunos lo consideraban un brillante estratega, un general magnífico. Otros, un demente paranoico sediento de sangre. La verdad reside, como suele ser costumbre, en un punto medio.
avatar_regis_h02;Avatar de Regis
avatar_regis_h02_additional_description;Recompensa por completar los desafíos de Saovine: Fiesta de los muertos en modo normal.
avatar_regis_h02_description;Regis, o, para los recelosos de la brevedad, Emiel Regis Rohellec Terzieff-Godefroy, es un poderoso vampiro superior y amigo íntimo de Geralt de Rivia. En la actualidad, su conducta es apacible, casi de erudito, mas en su juventud se regodeaba en su crueldad y se deleitaba con su sed de sangre, hasta que cierto incidente desafortunado lo convenció para cambiar su comportamiento...
avatar_saskia;Avatar de Saskia
avatar_saskia_additional_description;Recompensa por alcanzar la posición 15 en partida clasificatoria, temporada del dracónido (agosto).
avatar_saskia_description;Saskia es conocida en el norte por muchos apodos: la Matadragones, la Virgen de Aedirn, la Esperanza del Pueblo. Sin embargo, pocos saben que, bajo la apariencia de una valiente guerrera que lucha por la coexistencia racial, se esconde una dragona llamada Saesenthessis.
avatar_shadow;Avatar de Maerolorn
avatar_shadow_additional_description;Recompensa por completar un recorrido en la arena en el que hayas jugado a Gaunter O'Dim de tu mano.
avatar_shadow_description;Fuera de nuestro mundo existen muchos otros. Algunos son similares al nuestro, hermosos y fértiles. Sin embargo, hay otros que el ojo humano nunca debería contemplar. Paisajes de pesadilla habitados por seres infames formados a partir de sombras, hambrientos de almas y sangre humanas. Pobre de aquel que acabe en uno de estos mundos...
avatar_skelligegeralt;Avatar de Geralt (Skellige)
avatar_skelligegeralt_additional_description;Recompensa especial
avatar_skelligegeralt_description;Geralt ha visitado muchos lugares durante sus viajes, pero en ninguno se siente tan a gusto como en las islas Skellige. Se suele tildar a los isleños de primitivos, pero, a diferencia de la gente del continente, siempre han mostrado respeto por el brujo.
avatar_triss;Avatar de Triss Merigold
avatar_triss_additional_description;Disponible para todos.
avatar_triss_description;Una hechicera diferente a las demás: franca, amable y propensa a la carcajada. Creadora de multitud de inusuales hechizos, que incluso los grandes maestros de la magia no han sabido replicar. Gracias a sus numerosos encantos, se ha ganado el aprecio de muchos hombres, incluidos casi todos los brujos de la escuela del Lobo.
avatar_triss_s01_r21;Avatar de Triss
avatar_triss_s01_r21_additional_description;Recompensa por alcanzar la posición 15 en partida clasificatoria, temporada de la dríade (julio).
avatar_triss_s01_r21_description;Una hechicera diferente a las demás: franca, amable y propensa a la carcajada. Creadora de multitud de inusuales hechizos, que incluso los grandes maestros de la magia no han sabido replicar. Gracias a sus numerosos encantos, se ha ganado el aprecio de muchos hombres, incluidos casi todos los brujos de la escuela del Lobo.
avatar_vernonroche_s04_r20;Avatar de Vernon Roche
avatar_vernonroche_s04_r20_additional_description;Recompensa por alcanzar la posición 15 en partida clasificatoria, temporada del oso (marzo).
avatar_vernonroche_s04_r20_description;Vernon Roche tuvo una juventud difícil, obligado a forjar su propio camino sin ayuda de nadie. Su historia seguramente habría acabado de forma trágica, si no hubiera llamado la atención del rey Foltest un fatídico día. A partir de entonces, Vernon sirvió a Foltest con lealtad como comandante de las fuerzas especiales temerias y aniquilador de los enemigos de su país.
avatar_yennefer;Avatar de Yennefer de Vengerberg
avatar_yennefer_additional_description;Disponible para todos.
avatar_yennefer_description;Hechicera legendaria, siempre ataviada con ropajes negros y blancos y envuelta en una intensa fragancia de lila y grosellas. Célebre por su inteligencia superlativa... y por su lengua afilada. El gran amor del brujo Geralt de Rivia.
avatar_yennefer_s02_lvl1;Avatar de Yennefer
avatar_yennefer_s02_lvl1_additional_description;Recompensa por alcanzar la posición 15 en partida clasificatoria, temporada de la magia (junio).
avatar_yennefer_s02_lvl1_description;Hechicera legendaria, siempre ataviada con ropajes negros y blancos y envuelta en una intensa fragancia de lila y grosellas. Célebre por su superlativa inteligencia y por su lengua afilada. El gran amor del brujo Geralt de Rivia.
avatar_zoltan_s03_r10;Avatar de Zoltan (domador de animales)
avatar_zoltan_s03_r10_additional_description;Recompensa por alcanzar la posición 15 en partida clasificatoria, temporada de Mahakam (noviembre).
avatar_zoltan_s03_r10_description;Leal amigo de Geralt de Rivia y veterano de la Segunda Guerra Nilfgaardiana. Poseía un loro parlante llamado Mariscal de Campo Duda, al que enseñó los improperios más soeces del acervo enano.
avatars_section;Avatares
back;Atrás
bad_request;Error de protocolo.
bad_request_title;Petición no válida.
battle_results_rewards_timeout_description;No se han podido mostrar las recompensas en el resumen de la partida. Aun así, ten en cuenta que tu progreso y tus recompensas han sido añadidos.
battle_results_rewards_timeout_title;Error al mostrar recompensas
beginner_loading_screen_hint_1;Las cartas que queden en tu mano se mantienen en las siguientes rondas.
beginner_loading_screen_hint_10;Los guerreros de Skellige se crecen con sus propias heridas y con las de sus rivales.
beginner_loading_screen_hint_11;Ten cuidado con las tácticas basadas en trampas y emboscadas de los Scoia'tael.
beginner_loading_screen_hint_12;Trata de encadenar combos gracias a las conexiones particulares entre las cartas.
beginner_loading_screen_hint_13;Puedes editar tus barajas en el creador de barajas.
beginner_loading_screen_hint_14;No te olvides de gastar tus puntos de recompensa en el libro de recompensas.
beginner_loading_screen_hint_15;Las cartas se crean usando restos de cartas. Consigue restos destruyendo las cartas que te sobren.
beginner_loading_screen_hint_16;Se necesita polvo de meteorito para crear las cartas premium (animadas).
beginner_loading_screen_hint_17;Troco te venderá barriles llenos de cartas si le das a cambio algunos minerales.
beginner_loading_screen_hint_18;Cuando abres un barril de cartas, tienes que elegir la última carta entre 3 opciones.
beginner_loading_screen_hint_19;¿Has perdido el rumbo? ¡Descubre nuevas barajas en la biblioteca de Gwent en playgwent.com!
beginner_loading_screen_hint_2;Las cartas solo se atacan entre ellas usando habilidades.
beginner_loading_screen_hint_20;Si te ha gustado la partida que has jugado, no te olvides de enviar un «¡Buena partida!».
beginner_loading_screen_hint_21;Recuerda que tienes que ganar dos rondas de tres. ¡No pasa nada por perder una ronda!
beginner_loading_screen_hint_22;Puedes sacar hasta 3 cartas al comienzo de cada ronda.
beginner_loading_screen_hint_23;Al comienzo de cada partida, puedes cambiar hasta 2 cartas.
beginner_loading_screen_hint_24;No puedes tener más de 10 cartas en la mano.
beginner_loading_screen_hint_25;Ten cuidado a la hora de jugar cartas con restricciones de habilidades según la fila de colocación.
beginner_loading_screen_hint_26;Puedes encontrar información adicional sobre las descripciones en la vista previa grande de las cartas.
beginner_loading_screen_hint_27;No te preocupes demasiado si al principio sueles perder. ¡Hace falta práctica para dominar una baraja!
beginner_loading_screen_hint_28;Gwent es un juego de habilidad. ¡Ten paciencia, ten cuidado y tendrás la victoria en tus manos!
beginner_loading_screen_hint_29;Durante una temporada, nunca perderás tu puesto.
beginner_loading_screen_hint_3;¡No te olvides de usar a tu líder!
beginner_loading_screen_hint_4;Después de haber usado una habilidad de orden, no puedes pasar el turno.
beginner_loading_screen_hint_5;No pongas toda la carne en el asador en las primeras rondas.
beginner_loading_screen_hint_6;No pierdas de vista el número de cartas que te quedan; tener ventaja de cartas suele ganar partidas.
beginner_loading_screen_hint_7;La fuerza de Monstruos reside en la acumulación y en consumirse unos a otros.
beginner_loading_screen_hint_8;Los Reinos del Norte se pueden descontrolar fácilmente si no prestas atención.
beginner_loading_screen_hint_9;Nilfgaard es famoso por emplear tu propia fuerza contra ti.
best_offer;OFERTÓN
beta_participation_kegs_amount_reward;Recompensa por participar en la beta cerrada:
black_sun_seasonal_mode_desc;Haz cola con la facción que elijas. Tu baraja será sustituida por otra creada para la misma facción, que incluirá cartas de la nueva expansión.
black_sun_seasonal_mode_title;Prueba de fuego
board_end_round;FIN DE LA RONDA
board_end_turn;Terminar turno
board_pass;Pasar
booth_block_game_text;¡Gracias por tomarte un tiempo para jugar a GWENT! Esperamos que te hayas divertido probando nuestro juego en desarrollo. Si quieres probar la próxima versión del juego, regístrate para la beta pública y mantén los ojos bien abiertos para enterarte de toda la información. ¡Gracias y que tengas un buen día!
booth_block_game_title;¡Gracias por jugar!
border_arena_description;Recompensa por completar un recorrido en la arena con al menos 3 victorias.
border_arena_title;Borde de Señor Espejo
border_monster_challenge_description;Recompensa especial
border_monster_challenge_title;Borde de Diablo
border_monster_challenge1_description;Recompensa especial.
border_monster_challenge1_title;Borde de Bestia
border_nilfgaard_challenge_description;Recompensa especial
border_nilfgaard_challenge_title;Borde de Nilfgaard
border_nilfgaard_challenge1_description;Recompensa especial.
border_nilfgaard_challenge1_title;Borde de Caballero oscuro
border_northern_challenge_description;Recompensa especial
border_northern_challenge_title;Borde de Rey del Norte
border_northern_challenge1_description;Recompensa especial
border_northern_challenge1_title;Borde de Reinos del Norte
border_scoiatael_challenge_description;Recompensa especial
border_scoiatael_challenge_title;Borde de Ardillas
border_scoiatael_challenge1_description;Recompensa especial
border_scoiatael_challenge1_title;Borde de Scoia'tael
border_skellige_challenge_description;Recompensa especial
border_skellige_challenge_title;Borde de Corsario
border_skellige_challenge1_description;Recompensa especial
border_skellige_challenge1_title;Borde de Skellige
borders_section;Bordes
bottom_player_forfeited;¡Fin del juego! Azul ha abandonado
bottom_player_name;Azul
bronze;Bronce
calculating_your_rank;Calculando tu clasificación…
campaign_app_unavailable;Campaña individual no disponible
cancel_arena_matchmaking;Detener búsqueda
cancelled;Tu transacción ha sido cancelada
cancelled_title;Transacción cancelada
card_allegiance_disloyal;Desleal
card_allegiance_loyal;Leal
card_artist_created;Creada por:
card_artist_illustration;Ilustración de:
card_category_aedirn;Aedirn
card_category_alchemy;Alquimia
card_category_ambush;Emboscada
card_category_an_craite;An Craite
card_category_banish_in_graveyard;Condenado
card_category_bear;Oso
card_category_beast;Bestia
card_category_blitz;Bombardeo
card_category_blue_stripes;Franjas Azules
card_category_boon;Beneficio
card_category_breedable;Enjambre
card_category_brokvar;Brokvar
card_category_cintra;Cintra
card_category_construct;Constructo
card_category_cursed_one;Maldito
card_category_devourer;Devorador
card_category_dimun;Dimun
card_category_double_agent;Agente doble
card_category_draconid;Dracónido
card_category_dragon;Dragón
card_category_drummond;Drummond
card_category_dryad;Dríade
card_category_dwarf;Enano
card_category_elf;Elfo
card_category_harpy;Arpía
card_category_hazard;Peligro
card_category_heymaey;Heymaey
card_category_insectoid;Insectoide
card_category_kaedwen;Kaedwen
card_category_leader;Líder
card_category_mage;Hechicero
card_category_medic;Médico
card_category_necrophage;Necrófago
card_category_non_decoyable;Tenaz
card_category_non_medicable;Irresucitable
card_category_officer;Oficial
card_category_ogroid;Ogroide
card_category_organic;Orgánica
card_category_peasant;Campesino
card_category_potion;Poción
card_category_redania;Redania
card_category_regressing;Regresivo
card_category_relict;Relicto
card_category_shapeshifter;Cambiaformas
card_category_soldier;Soldado
card_category_special;Especial
card_category_specter;Espectro
card_category_spell;Hechizo
card_category_spy;Agente
card_category_support;Apoyo
card_category_svalblod;Svalblod
card_category_tactic;Táctica
card_category_temeria;Temeria
card_category_tordarroch;Tordarroch
card_category_tuirseach;Tuirseach
card_category_vampire;Vampiro
card_category_vodyanoi;Vodyanoi
card_category_war_machine;Máquina
card_category_weather;Peligro
card_category_wild_hunt;Cacería salvaje
card_category_witcher;Brujo
card_count;Cartas: {0}
card_faction_tooltip;HABILIDAD DE FACCIÓN
card_group_bronze;Bronce
card_group_gold;Oro
card_group_leader;Líder
card_group_silver;Plata
card_group_special;Especial
card_group_unknown;Desconocida
card_pack_open_no_valid_cards;No hay cartas válidas. Ponte en contacto con atención al cliente.
card_premium;Premium
card_range;Alcance
card_rarity_common;Común
card_rarity_epic;Épica
card_rarity_legendary;Legendaria
card_rarity_rare;Rara
card_scraps_currency;Restos
card_strength;Poder
card_type_all;Cualquier fila
card_type_melee;Cuerpo a cuerpo
card_type_ranged;A distancia
card_type_siege;Asedio
carousel_mystery_card;Carta misteriosa
challenge_faction_1;Reinos del Norte
challenge_faction_1_leader_1_desc;Radovid el Severo, quinto de su nombre, rey de Redania, fue una figura antitética. Algunos lo consideraban un brillante estratega, un general magnífico. Otros, un demente paranoico sediento de sangre. La verdad reside, como suele ser costumbre, en un punto medio.
challenge_faction_1_leader_1_match_1;Piel de acero
challenge_faction_1_leader_1_match_1_desc;Radovid solía decir que un soldado es tan fuerte como lo es su peto. Al fin y al cabo, incluso el mejor de los espadachines es incapaz de cambiar el curso de una batalla si cae abatido por una flecha perdida o un golpe de fortuna. Es por ello que Radovid nunca escatimaba a la hora de proveer recursos a sus intendentes de infantería para adquirir armaduras robustas.
challenge_faction_1_leader_1_match_1_strategy;Harald inflige mucho daño. Potencia a tus unidades para que no las destruya.
challenge_faction_1_leader_1_match_1_strategy_2;Radovid puede ayudarte a eliminar a los Hacheros del clan.
challenge_faction_1_leader_1_match_2;Superioridad numérica
challenge_faction_1_leader_1_match_2_desc;Los soldados humanos no son tan fuertes como los enanos ni tan diestros como los elfos. Sin embargo, gozan de una clara ventaja respecto a las antiguas razas: su número. Reúne una montonera de humanos, ponles espadas en las manos y un comandante medio decente al frente... y no habrá fuerza que sea capaz de detenerlos.
challenge_faction_1_leader_1_match_2_strategy;Cuidado con Francesca, puede sacar cualquier carta en cualquier momento.
challenge_faction_1_leader_1_match_2_strategy_2;Usa a Radovid para encargarte de las unidades resistentes, como los Defensores de Mahakam.
challenge_faction_1_leader_1_match_3;Muerte a galope
challenge_faction_1_leader_1_match_3_desc;Radovid es conocido por afirmar que no hay problema que una briosa carga de caballería pesada no pueda resolver. Algunos dudan de la certeza de dicha afirmación. Está claro que no han presenciado a los jinetes redanianos en acción.
challenge_faction_1_leader_1_match_3_strategy;Dagón puede generar un peligro en cualquier momento, asegúrate de disponer de Amanecer.
challenge_faction_1_leader_1_match_3_strategy_2;Radovid puede acabar con los Boiras ancianos y los Barbeglaces.
challenge_faction_1_leader_1_title;Radovid
challenge_faction_1_leader_2_desc;El rey Henselt se trastabillaba con desgarbo en los bailes y se le trababa la lengua en los salones de la corte. Sin embargo, en el campo de batalla se movía como pez en el agua. Conocía a todos sus soldados por su nombre y podía recitar el alcance de todas y cada una de sus catapultas al dedillo.
challenge_faction_1_leader_2_match_1;Ejército de madera
challenge_faction_1_leader_2_match_1_desc;Henselt adoraba sus máquinas de guerra. Paseaba por entre sus hileras de catapultas como un padre orgulloso, acariciando con ternura cada balista y trabuquete. Guardaba docenas y docenas de estos artilugios en la reserva, y construía más en cuanto tenía ocasión.
challenge_faction_1_leader_2_match_1_strategy;Cuidado con Calveit, puede sacar una carta adicional de su baraja en cualquier momento.
challenge_faction_1_leader_2_match_1_strategy_2;Henselt puede sacar al tablero todas las copias de algunos aliados de tu baraja. Úsalo para conseguir una ventaja rápida y decisiva.
challenge_faction_1_leader_2_match_2;Codo con codo
challenge_faction_1_leader_2_match_2_desc;Henselt decía a menudo que dos cabezas piensan más que una, y tres todavía más. Por ello, siempre ordenaba a sus tropas marchar a la batalla de tres en tres, tríos de soldados luchando codo a codo. Sus generales se mostraban escépticos ante esta estrategia..., pero cambiaban de opinión al observar los resultados.
challenge_faction_1_leader_2_match_2_strategy;Bran puede llenar rápidamente su cementerio de unidades. Ojo, porque muchas habilidades de Skellige tienen que ver con los muertos.
challenge_faction_1_leader_2_match_2_strategy_2;Henselt puede sacar al tablero todas las copias de algunos aliados de tu baraja. Úsalo para conseguir una ventaja rápida y decisiva.
challenge_faction_1_leader_2_match_3;Franjas Azules
challenge_faction_1_leader_2_match_3_desc;Cuando el rey Foltest respondió a la petición de ayuda por parte de Henselt enviándole veinte soldados de infantería vestidos con uniformes a rayas, Henselt se puso furioso. ¿Cómo podrían marcar la diferencia...? Pues, como acabó por demostrarse, vaya si la marcaron.
challenge_faction_1_leader_2_match_3_strategy;Cuidado con Radovid, intentará eliminar a cualquiera de tus unidades que tenga habilidades pasivas importantes.
challenge_faction_1_leader_2_match_3_strategy_2;Henselt puede sacar al tablero todas las copias de algunos aliados de tu baraja. Úsalo para conseguir una ventaja rápida y decisiva.
challenge_faction_1_leader_2_title;Henselt
challenge_faction_2;Skellige
challenge_faction_2_leader_1_desc;Como guerrero, Harald no fue nada fuera de lo común. Cierto día, un oso le aplastó la pierna y el hueso se le torció al curarse. Después de ello, cada paso que daba le provocaba un dolor insoportable... y le hizo luchar mejor que nunca. Afirmaba que el hecho de aguantar un sufrimiento constante le había conferido una ventaja insuperable.
challenge_faction_2_leader_1_match_1;Curtidos en el dolor
challenge_faction_2_leader_1_match_1_desc;Harald vivió toda su vida bajo un intenso dolor, lo que lo convirtió en todo un experto en la materia. Este conocimiento también se manifestó a la hora de infligir dolor a los demás: sabía dónde atacar para causar el mayor sufrimiento posible, para provocar los gritos más desgarradores. Al cabo, sus enemigos arrojaban sus armas en cuanto escuchaban su nombre.
challenge_faction_2_leader_1_match_1_strategy;Voorhis puede revelar cartas de tu mano para obtener una información valiosa. Además, muchas de sus unidades obtienen algún beneficio por cada carta revelada.
challenge_faction_2_leader_1_match_1_strategy_2;Harald puede infligir mucho daño a tus enemigos. Combínalo con las habilidades de tus unidades para derrotar a tu rival.
challenge_faction_2_leader_1_match_2;Furia de batalla
challenge_faction_2_leader_1_match_2_desc;Los cadetes de la academia de oficiales de Nilfgaard son instruidos bajo la siguiente norma: ataca a un guerrero de Skellige solo si estás seguro de que tu golpe lo matará. Si solo lo hieres..., pronto lo lamentarás.
challenge_faction_2_leader_1_match_2_strategy;Eithné y sus unidades se basan en el uso de cartas especiales. Destruye a sus unidades para cortar esta estrategia de raíz.
challenge_faction_2_leader_1_match_2_strategy_2;Harald puede infligir mucho daño a tus enemigos. Combínalo con las habilidades de tus unidades para derrotar a tu rival.
challenge_faction_2_leader_1_match_3;Sed de sangre
challenge_faction_2_leader_1_match_3_desc;La columna vertebral del ejército de Harald estaba formada por hacheros del clan Tuirseach. Estos guerreros medraban con cada derramamiento de sangre, se hacían más fuertes, más rápidos y más resistentes con cada enemigo que mataban. Los rivales de Harald eran conscientes de que debían incapacitar a los hacheros al comienzo de la batalla o morirían por sus manos.
challenge_faction_2_leader_1_match_3_strategy;El Anciano Oculto y sus secuaces intentarán robar poder a tus unidades. Potencia a tus tropas equitativamente para evitar proporcionarles objetivos suculentos.
challenge_faction_2_leader_1_match_3_strategy_2;Harald puede infligir mucho daño a tus enemigos. Combínalo con las habilidades de tus unidades para derrotar a tu rival.
challenge_faction_2_leader_1_title;Harald el Lisiado
challenge_faction_2_leader_2_desc;Se dice que antes se inclinarían ante un gobernante las olas que rompen frente a las costas de Skellige que sus habitantes. Pero estos se inclinaron ante Bran. Hermanó a todos los clanes de las islas y los mantuvo unidos con puño de hierro hasta su muerte.
challenge_faction_2_leader_2_match_1;Flota de hierro
challenge_faction_2_leader_2_match_1_desc;Cuando un ejército pierde hombres, en teoría se debilita. Es un simple dictado lógico. Pero las Skellige tienen la costumbre de desafiar los dictados, incluso los de la lógica. De hecho, cuantos menos guerreros tiene Bran bajo su mando, con más fiereza luchan. Por ello, cuando sus enemigos ven cómo menguan sus tropas y sus corazones se inflaman... un hacha de Skellige los atraviesa al instante.
challenge_faction_2_leader_2_match_1_strategy;Brouver y sus enanos se centran en potenciarse y fortalecerse los unos a los otros. Destruye a sus unidades para desbaratar esta estrategia.
challenge_faction_2_leader_2_match_1_strategy_2;Usa a Bran para enviar cartas al cementerio y luego resucítalas en el momento oportuno.
challenge_faction_2_leader_2_match_2;Guardia de honor
challenge_faction_2_leader_2_match_2_desc;Decir que la guardia personal de Bran era leal es como afirmar que el invierno en las islas suele ser más bien fresco o que sus aguas se agitan un poco durante las tormentas. Las guerreras de Skellige que servían como protectoras defendían a su rey con ferocidad, luchando tras cada herida hasta el borde de la muerte... y, en ocasiones, después de ella también.
challenge_faction_2_leader_2_match_2_strategy;La Arachas reina trata de reunir un poderoso ejército. Intenta trastocar esta estrategia o céntrate en aumentar tu propio poder.
challenge_faction_2_leader_2_match_2_strategy_2;Usa a Bran para enviar cartas al cementerio y luego resucítalas en el momento oportuno.
challenge_faction_2_leader_2_match_3;Isleños inmortales
challenge_faction_2_leader_2_match_3_desc;Los enemigos del rey Bran jurarían que han cruzado espadas con guerreros a los que ya habían matado en anteriores batallas, no solo una vez, sino dos o incluso más. Muchos piensan que se trata de una absurda superstición, disparatados relatos de soldados aterrados, nada más... Pero quienes conocen bien las Skellige dan mucho más crédito a esas historias. En las islas, la muerte no es algo permanente.
challenge_faction_2_leader_2_match_3_strategy;Cuidado con Henselt, puede sacar muchas unidades al tablero con un solo movimiento.
challenge_faction_2_leader_2_match_3_strategy_2;Usa a Bran para enviar cartas al cementerio y luego resucítalas en el momento oportuno.
challenge_faction_2_leader_2_title;Bran
challenge_faction_3;Monstruos
challenge_faction_3_leader_1_desc;Cualquiera que se haya encontrado con una arachas sabe lo increíblemente letales que son estas criaturas. Sin embargo, pocos se han percatado de que las más despiadadas son las hembras, sobre todo su reina.
challenge_faction_3_leader_1_match_1;Tiranía salvaje
challenge_faction_3_leader_1_match_1_desc;Las reinas de los enjambres de arachas son más grandes y poderosas que sus zánganos. Dominan y comandan no solo a los más débiles de su especie, sino también a otras criaturas que viven cerca de sus nidos. Pobre de aquel que se adentre en su territorio.
challenge_faction_3_leader_1_match_1_strategy;Cuidado con Calveit, puede sacar una carta adicional de su baraja en cualquier momento.
challenge_faction_3_leader_1_match_1_strategy_2;La Arachas reina es inmune a la mayoría de las habilidades, pero puede ser destruida por Conflagración. Ten cuidado de no potenciarla demasiado.
challenge_faction_3_leader_1_match_2;Selección natural
challenge_faction_3_leader_1_match_2_desc;Las Arachas reinas no muestran un amor maternal por sus descendientes. Cierto es que defienden a sus crías, pero, cuando no hay alimento que llevarse a la boca, devoran a sus propios vástagos sin dudarlo un instante. En esos casos, solo sobreviven los que tienen fuerza suficiente para huir del nido.
challenge_faction_3_leader_1_match_2_strategy;Harald inflige mucho daño. Potencia a tus unidades para que no las destruya.
challenge_faction_3_leader_1_match_2_strategy_2;La Arachas reina es inmune a la mayoría de las habilidades, pero puede ser destruida por Conflagración. Ten cuidado de no potenciarla demasiado.
challenge_faction_3_leader_1_match_3;Instinto de supervivencia
challenge_faction_3_leader_1_match_3_desc;Cuando su nido está bajo amenaza, una Arachas reina furiosa se convierte en un enemigo terrorífico. No solo es más rápida y fuerte que las criaturas menores de su especie, sino que también pide ayuda a las que pueden oír sus gritos.
challenge_faction_3_leader_1_match_3_strategy;Foltest se centrará en armar un ejército poderoso. Trata de desbaratar esta estrategia o céntrate en apuntalar tus propias fuerzas.
challenge_faction_3_leader_1_match_3_strategy_2;La Arachas reina es inmune a la mayoría de las habilidades, pero puede ser destruida por Conflagración. Ten cuidado de no potenciarla demasiado.
challenge_faction_3_leader_1_title;Arachas reina
challenge_faction_3_leader_2_desc;Rey de la cacería salvaje y usurpador del trono de Tir ná Lia. Asesinó al anterior rey de los Aen Elle, convencido de que el antiguo gobernante no estaba preparado para afrontar la amenaza del Frío Blanco. Eredin es despiadado y hará lo que sea necesario para salvar a los suyos.
challenge_faction_3_leader_2_match_1;Sangre de elfos
challenge_faction_3_leader_2_match_1_desc;El rey de la cacería salvaje no tiene en gran estima a sus primos elfos, los Aen Seidhe. A sus ojos, son seres débiles que han permitido que razas «inferiores» dominen su mundo. Por eso, cuando la necesidad apremia, Eredin no se lo piensa dos veces a la hora de derramar sangre élfica.
challenge_faction_3_leader_2_match_1_strategy;Cuidado con Francesca, puede sacar cualquier carta en cualquier momento.
challenge_faction_3_leader_2_match_1_strategy_2;Eredin puede generar aliados poderosos. Úsalo en el momento adecuado para sacar provecho.
challenge_faction_3_leader_2_match_2;Traficantes de esclavos
challenge_faction_3_leader_2_match_2_desc;Skellige es uno de los cotos de caza de nuevos esclavos favorito de Eredin. Los guerreros de las islas son fieros y robustos, perfectos para el trabajo físico en Tir ná Lia. Pero ese no es el único motivo: el rey de la cacería obtiene un placer sádico quebrando la resistencia de estos orgullosos hombres y mujeres.
challenge_faction_3_leader_2_match_2_strategy;Los guerreros de Crach pueden acumular mucho poder si se lo permites. Trata de sacarlos del tablero lo más rápido posible.
challenge_faction_3_leader_2_match_2_strategy_2;Eredin puede generar aliados poderosos. Úsalo en el momento adecuado para sacar provecho.
challenge_faction_3_leader_2_match_3;Jinete del apocalipsis
challenge_faction_3_leader_2_match_3_desc;Allá donde va Eredin, lleva consigo la escarcha y la muerte. El rey de la cacería no solo es un experto espadachín, sino también un maestro de la magia arcana. Cada vez que lo necesita, puede invocar a más guerreros de Tir ná Lia. No es de extrañar, pues, que la aparición de la cacería salvaje suscite gritos de terror.
challenge_faction_3_leader_2_match_3_strategy;La Arachas reina trata de reunir un poderoso ejército. Intenta trastocar esta estrategia o céntrate en aumentar tu propio poder.
challenge_faction_3_leader_2_match_3_strategy_2;Eredin puede generar aliados poderosos. Úsalo en el momento adecuado para sacar provecho.
challenge_faction_3_leader_2_title;Eredin
challenge_faction_4;Scoia'tael
challenge_faction_4_leader_1_desc;Incluso los enemigos mortales en ocasiones firman frágiles pactos. Pero Eithné no, ella no. El odio hacia los humanos de la reina de las dríades es absoluto, sin excepciones. No importa cuánto imploren o amenacen, ella siempre les ofrece la misma respuesta: una flecha en la cabeza.
challenge_faction_4_leader_1_match_1;Defensoras de Brokilon
challenge_faction_4_leader_1_match_1_desc;Brokilon no es un bosque corriente. Esta antigua maraña de árboles rezuma magia, una energía primigenia que palpita con sus suaves brisas y los burbujeos de sus arroyos. Las dríades han aprendido a aprovecharla, obteniendo de ella una fuerza por encima de la de cualquier hombre o elfo.
