_inputshopbuymultiple;购买
journey_3_quest_4_extended_title;知名天才
journey_3_quest_4_standard_title;变吧，变吧
journey_3_quest_5_extended_title;臭名昭著的疯子
journey_3_quest_5_standard_title;千百次的传唱！
journey_3_quest_6_extended_title;冷酷与心机
journey_3_quest_6_standard_title;加倍努力
journey_7_extended_week_10_quest_1_title;气若游丝的咒骂
journey_7_extended_week_10_quest_2_title;一群食尸鬼
journey_7_extended_week_10_quest_3_title;天罗地网
journey_7_extended_week_7_quest_1_title;迷信和石头
journey_7_extended_week_7_quest_2_title;祸害百姓
journey_7_extended_week_7_quest_3_title;听令行事
journey_7_extended_week_8_quest_1_title;不该感激吗
journey_7_extended_week_8_quest_2_title;又当又立
journey_7_extended_week_8_quest_3_title;如同贪婪的秃鹰
journey_7_extended_week_9_quest_1_title;良心使然
journey_7_extended_week_9_quest_2_title;翻腾的狂喜
journey_7_extended_week_9_quest_3_title;华丽的匕首
journey_7_standard_week_10_quest_1_title;粗噶的笑声
journey_7_standard_week_10_quest_2_title;饥渴的嚎叫
journey_7_standard_week_10_quest_3_title;猎魔人的工作
journey_7_standard_week_7_quest_1_title;安全港湾
journey_7_standard_week_7_quest_2_title;流浪者营地
journey_7_standard_week_7_quest_3_title;发发慈悲
journey_7_standard_week_8_quest_1_title;恐吓战术
journey_7_standard_week_8_quest_2_title;抢来的财宝
journey_7_standard_week_8_quest_3_title;告别行伍
journey_7_standard_week_9_quest_1_title;开诚布公
journey_7_standard_week_9_quest_2_title;装腔作势的文明
journey_7_standard_week_9_quest_3_title;义不容辞
journey_fast_travel_confirmation_description;确认使用 {0} 个 <sprite="PopupIcons" name="Scraps"> 购买“快速移动” 
journey_info_description;进度\n在线上对局中获得小局胜利即可推进旅程的进度，每赢 1 小局便可以获得 1 个“皇冠碎片”。\n即使到达 100 级，您仍可以继续旅程，并沿途赢取额外奖励！\n\n精力充沛\n<sprite="PopupIcons" name="WellRested"> - 在您赢得小局后，会有总计 14 个额外“皇冠碎片”可供领取。举例说明：您赢得 1 小局，便会获得 2 个“皇冠碎片”和 2 个额外“皇冠碎片”。\n<sprite="PopupIcons" name="WellRested"> - 次日重置。\n\n每周旅程只有<b> 3 个任务</b>每完成一个，会奖励您 20 个“皇冠碎片”\n\n如果您已开启高阶旅程，则完成这些任务<b>奖励翻倍</b>。（如每个任务获得 40 个“皇冠碎片”）\n如果您无法完成某任务或全部任务，您还可以在新一周时，重选之前的旧任务来完成。\n无论选择哪个旅程，任务都会保持不变。完成后奖励的“皇冠碎片”，会添加至当前旅程中。\n\n切换旅程\n您可以随时在旅程之间切换，从进度画面的旅程列表中选择即可。\n
journey_quest_1_extended_title;为性命而战
journey_quest_1_standard_title;为气节而战
journey_quest_28_standard_title;婚礼
journey_quest_34_extended_title;接踵摩肩
journey_quest_34_standard_title;纵情一跃
journey_quest_35_extended_title;扫堂腿
journey_quest_35_standard_title;别逞英雄
journey_quest_36_extended_title;天涯海角
journey_quest_36_standard_title;结束是另一个开始
keg_reward_desc;开启后来加强您的牌组。
keg_reward_title;恭喜！
kegs_for_spent_money_reward;已购牌桶补偿：
keyword_exact_copy_cards_count;同名牌数量（不含异画卡）
keyword_total_cards_count;同名牌数量（含异画卡）
label_cost;花费：
label_craft;合成：
label_gain;获得：
label_mill;分解：
label_mill_locked;达到 {0} 级时解锁卡牌分解功能
label_uncraftable;无法合成
label_upgrade;幻化：
leaderboard_pro_rank;职业天梯排名
leaderboard_table_defeats;败
leaderboard_table_draws;平
leaderboard_table_level;等级
leaderboard_table_mmr;排位分数
leaderboard_table_name;名称
leaderboard_table_position;排名
leaderboard_table_victories;胜
leaderboard_window_name;排行榜
legal_info_popup_text;待定文字
legal_info_popup_title;法律信息
level_bar_progress;/ {0}经验值
limit_weekly_almost_reached_desc;每周可收集皇冠碎片\n{0} / 350！\n重置时间：
limit_weekly_desc;您已达到通过对战所能获得的\n皇冠碎片上限！\n重置时间：
liveops_data_ep5_keg_desc;获取“镜子大师”牌桶，可以帮您获得来自“镜子大师”扩展包的卡牌，进一步扩充您的卡牌收藏。\n\n\n开启牌桶，您将获得 5 张来自该扩展包的卡牌，其中 4 张至少为普通品质，而第 5 张（三选一）则必定为稀有或更高品质。
liveops_data_ep5_keg_title;镜子大师牌桶
liveops_data_ep5_premium_keg_desc;获取“镜子大师”闪卡牌桶，可以帮您获得来自“镜子大师”扩展包的闪卡卡牌，进一步扩充您的卡牌收藏。\n\n\n开启牌桶，您将获得 5 张来自“镜子大师”扩展包的闪卡卡牌，其中 4 张至少为普通品质，而第 5 张（三选一）则必定为稀有或更高品质。
liveops_data_ep5_premium_keg_title;镜子大师闪卡牌桶
liveops_data_ep7_premium_keg_desc;“权力的代价”闪卡牌桶可以帮您获得来自“权力的代价”系列扩展包的卡牌，进一步扩充您的卡牌收藏。\n\n开启牌桶，您将获得 5 张来自该扩展包的闪卡，其中 4 张至少为普通品质，而第 5 张（三选一）则必定为稀有或更高品质。
liveops_data_ep7_premium_keg_title;“权力的代价”闪卡牌桶
liveops_data_mahakam_bundle_title_last_chance_color;白皇后捆绑包
liveops_data_shop_bundle_season_of_cat_desc;<sprite="PopupIcons" name="CardBack">卡背：灵猫\n\n <sprite="PopupIcons" name="Avatar">3 个赛季头像：希里、凯亚恩、猫人\n\n <sprite="PopupIcons" name="Border">4 个赛季边框：山猫、梅廷纳黑豹、尼弗迦德雄狮、百兽之王\n\n <sprite="PopupIcons" name="Title">奖励称号：“战猫”\n\n此特殊捆绑包内含可在《巫师之昆特牌》“灵猫”赛季获取的装饰品，外加一个额外奖励！
liveops_mainmenu_standard_rules_archive;活动时间：{0} 至 {1}
liveops_shop_ultimate_starter_pack_v3_desc;<sprite="PopupIcons" name="Keg">x4 终极闪卡牌桶\n\n<sprite="PopupIcons" name="Keg">x4 终极牌桶\n\n<sprite="PopupIcons" name="Keg">x4 “猩红诅咒”牌桶\n\n <sprite="PopupIcons" name="Keg">x4 “诺诚之火”牌桶\n\n<sprite="PopupIcons" name="Keg">x4 “钢铁审判”牌桶\n\n<sprite="PopupIcons" name="Keg">x4 “异域游商”牌桶\n\n<sprite="PopupIcons" name="Keg">x4 “镜子大师”牌桶\n\n<sprite="PopupIcons" name="Keg">x4 “猎魔人之道”牌桶\n\n<sprite="PopupIcons" name="Keg">x4 “权力的代价”牌桶\n\n获取本礼包后可以让您快速丰富自己的卡牌收藏，构筑一套属于自己的强大牌组，纵横战场。
loading_combat;读取中
loading_invite_desc;读取中，请稍候…
loading_invite_title;读取中
loading_text;加载中
lobby_initialize_fail_message_description;无法连接至游戏大厅。
lobby_initialize_fail_message_title;连接失败
loc_found_destiny_text;哈！这下有意思了！
loc_searching_destiny_text;正在搜索旗鼓相当的对手…
local_push_come_back;指挥官，您的军队开始焦躁了。是时候出兵了！
local_push_dnf_tutorial;完成下一场对局即可获得惊喜奖励！ ✌
local_push_finish_registration;完成注册即可获得一个闪卡牌桶！ 🍀🎁
local_push_last_chance_daily;大人，您的每日奖励正在等待您。登录查看吧！
local_push_new_daily_quest;全新的任务等着您！现在就来看看吧！
local_push_rank;恭喜您升至排位等级 x！现在再努力一把就能获得丰厚奖励！
login_already_logged;用户已登录。跳转至主菜单中。
login_assets_loading_failed;素材读取失败！
login_checking_defs;对照卡牌配置文件…
login_downloading_defs;加载卡牌配置文件…
login_failed_defs;卡牌配置文件加载失败！
login_failed_desc;无法连接至《巫师之昆特牌》服务器。请检查您的网络连接后重试。
login_failed_desc_failure_reason_galaxy_service_not_available;用户未登录。请登录《巫师之昆特牌》客户端并继续。
login_failed_desc_failure_reason_galaxy_service_not_signed_in;用户未登录。请启动《巫师之昆特牌》客户端并登陆账号以继续。
login_failed_desc_failure_reason_invalid_credentials;用户名或密码错误。
login_failed_desc_failure_reason_no_license;登录失败，未发现授权码。
login_failed_desc_failure_reason_platform_service_not_signed_in;用户未登录。请启动平台客户端并登陆账号以继续。
login_failed_news;糟糕！读取动态时出错，请稍后再试一次。
login_failed_title;无法连接
login_failure;无法连接，返回至登录界面中…
login_inventory_loaded;物品栏加载完毕！
login_inventory_loading;加载物品栏…
login_inventory_loading_failed;物品栏加载失败！
login_loaded_cards;卡牌收藏加载完毕！
login_loaded_defs;卡牌配置文件加载完毕！
login_loaded_news;动态消息读取完毕。
login_loading_cards;加载卡牌收藏…
login_loading_defs;读取卡牌配置文件…
login_loading_news;读取动态中…
login_logging_in;登录中…
login_press_confirm;按<sprite="[PC]" name=A>登录
login_press_confirm_japanese_navigation;按<sprite="[PC]" name=B>登录
login_press_confirm_pc;按<sprite="[PC]" name=keycode_LC>登录
login_press_confirm_xbox;按 <sprite="[PC]" name=A> 登录\n按 <sprite="[PC]" name=Y> 选择玩家档案。
login_profile_loading;加载玩家档案…
login_profile_loading_build_access_denied;该地区不支持此游戏版本。
login_profile_loading_build_access_denied_title;读取失败
login_profile_loading_fail;无法下载玩家档案，请稍后再试。
login_profile_loading_fail_title;登录错误
login_profile_loading_success;玩家档案加载完毕！
login_quests_loading_failed;任务加载失败！
login_queue_loading;传送门可能出现故障了……
login_queue_loading_fail_text;无法连接到《巫师之昆特牌》服务器。请检查您的连接…
login_queue_waiting_defined_time_text;猎魔人的世界激战正酣，请稍等 {0} 秒，我们正在为您打扫出一片战场……
login_queue_waiting_title;传送门可能出现故障了……
login_queue_waiting_undefined_time_text;猎魔人的世界激战正酣，请稍等，我们正在为您打扫出一片战场……
login_reward_book_loading_failed;奖励册加载失败！
login_rewards_loading_failed;奖励加载失败！
login_shop_loaded;商店加载完毕！
login_shop_loading;加载数据…
login_shop_loading_failed;商店加载失败！
login_success;登录成功！
login_sync_failure;内容更新失败。请稍后再试。我们可能已经在修正了。
login_wait;请稍候…
logout_popup_desc;切换玩家档案
logout_popup_title;您确定要切换至别的玩家档案吗？
love_event_2023_popup_body;<sprite="PopupIcons" name="Chocolate">巧克力心心的获取方式：\n每日登录 <sprite="PopupIcons" name="Chocolate">x1；旅程任务 <sprite="PopupIcons" name="Chocolate">x5；每日任务 <sprite="PopupIcons" name="Chocolate">x5；向对手发送“打得不错” <sprite="PopupIcons" name="Chocolate">x1；赢得对局 <sprite="PopupIcons" name="Chocolate">x3
love_event_2023_popup_dates;2 月 8 日至 22 日
love_event_2023_popup_shop;用巧克力心心兑换丰厚奖励！前往商店的活动页面，浏览可以解锁的装饰品！\n您也可以在奖励册中使用巧克力心心，获取额外资源！
lvl_profile_panel;等级
main_menu_arena_desc;你敢和镜子大师签订契约吗？
main_menu_join_as_player;Ignore for now
main_menu_join_as_spectator;Ignore for now
mainmenu_arena_desc;你敢和镜子大师签订契约吗？
mainmenu_arena_description;你敢和镜子大师签订契约吗？
mainmenu_arena_title;角斗场
mainmenu_cards;卡牌收藏
mainmenu_cards_feed;卡牌信息
mainmenu_casual_desc;进行一场标准模式对局
mainmenu_casual_title;标准模式
mainmenu_challenges_desc;迎战单人挑战模式，赢取领袖牌
mainmenu_challenges_title;挑战模式
mainmenu_chinsesenewyearpack_desc;《巫师之昆特牌》喜迎新春。
mainmenu_chinsesenewyearpack_title;春节礼包！
mainmenu_christmaspack_desc;巨魔店店，节日包包限定，卖卖！
mainmenu_christmaspack_title;节日牌桶包
mainmenu_collection_desc;查看所有卡牌或合成新卡牌
mainmenu_collection_title;卡牌收藏
mainmenu_cosmeticcollection_desc;更改头像、称号等
mainmenu_cosmeticcollection_title;外观
mainmenu_credits_desc;《巫师之昆特牌》的幕后英雄们
mainmenu_credits_title;制作人员
mainmenu_deckbuilder_desc;创建或调整牌组
mainmenu_deckbuilder_title;牌组编辑器
mainmenu_during_season_transition;赛季更迭进行中…当前的对局不会影响您的排名
mainmenu_feed_closed_beta_msg;欢迎来到《巫师之昆特牌》！
mainmenu_holiday;节日牌桶包
mainmenu_holidayevent_desc;巨魔店店，节日卖卖！
mainmenu_home;主页
mainmenu_home_feed;主页信息
mainmenu_infobar_default;欢迎来到《巫师之昆特牌》，最新资讯请关注新浪微博（@巫师之昆特牌）和微信公众号（@playgwent）。
mainmenu_ingamenews;新闻和活动
mainmenu_invite_desc;和好友对战
mainmenu_invite_title;好友对战
mainmenu_leaderboard_desc;查看全部玩家排名
mainmenu_leaderboard_title;排行榜
mainmenu_leaderboards_button_tooltip;排行榜
mainmenu_login;登录
mainmenu_matchmaking_panel_canceling_text;正在尝试取消匹配…
mainmenu_matchmaking_panel_error_text;发生未知错误
mainmenu_multiplayer;对战
mainmenu_multiplayer_feed;多人游戏信息
mainmenu_multiplayer_window;对战
mainmenu_news;新闻和活动
mainmenu_no_deck_info;无可用牌组！
mainmenu_northernrealmsnewgame_desc;开始新的冒险
mainmenu_northernrealmsnewgame_title;新游戏
mainmenu_openkeg_desc;打开一个牌桶
mainmenu_openkeg_title;打开牌桶
mainmenu_options;选项
mainmenu_patch_desc;查看游戏更新信息
mainmenu_patch_title;补丁说明
mainmenu_play_window;对战
mainmenu_practice_desc;和电脑对手练习对战
mainmenu_practice_title;训练模式
mainmenu_pro_leaderboard_desc;查看职业天梯中的选手排名
mainmenu_pro_leaderboard_title;职业天梯排行榜
mainmenu_pro_ranked_desc;和顶尖玩家一决高下
mainmenu_pro_ranked_title;职业天梯
mainmenu_quick_play;快速游戏
mainmenu_quit;退出
mainmenu_ranked_desc;挑战十足的竞技比赛
mainmenu_ranked_title;排位赛
mainmenu_rewards_button_tooltip;奖励
mainmenu_rewards_desc;查看已拥有或未解锁的奖励
mainmenu_rewards_title;奖励
mainmenu_season_transition_timer_x;新赛季倒计时：{0}
mainmenu_seasonal_bear_2_desc;调度之后放逐双方的牌组。当任意牌组出现一张牌时，将其放逐。
mainmenu_seasonal_bear_desc;对局开始时，双方战场上将各出现一头“无情的母熊”。
mainmenu_seasonal_cat_desc;2 回合后双方互换手牌。
mainmenu_seasonal_draconid_desc;每一方只有 8 秒时间来完成其回合，有 15 秒的时间来完成手牌调度。
mainmenu_seasonal_dryad_desc;在该玩家回合结束时：\n 对该玩家战力为奇数的单位造成 1 点伤害\n使该玩家战力为偶数的单位获得 1 点增益
mainmenu_seasonal_elf_2_desc;您每从手牌中打出 1 张单位牌，则随后会自动从牌组中打出 1 张人口数相同的牌。对局开始之前，您的起始牌组的卡牌数量会翻倍。
mainmenu_seasonal_elf_desc;您每从手牌中打出 1 张单位牌，则随后会自动从牌组中打出 1 张人口数相同的牌。对局开始之前，您的起始牌组的卡牌数量会翻倍。
mainmenu_seasonal_griffin_desc;在对局开始时，使起始牌组中的每个单位战力等同于其人口数。
mainmenu_seasonal_love_desc;己方每打出 1 个非“潜伏”单位，则随机将 1 个相同战力的敌军单位移至战场的另一端。
mainmenu_seasonal_magic_desc;每打出 1 张“特殊”牌，便会立即生成并打出 1 张它的同名牌（每回合仅能触发一次）。
mainmenu_seasonal_mahakham_desc;每个打出的单位都具有“坚韧”
mainmenu_seasonal_rules;达到 {0} 级后解锁。
mainmenu_seasonal_title;赛季
mainmenu_seasonal_viper_desc;每当有一个单位受到伤害时，它将开始重伤，重伤回合数等于此次伤害值。\n每当有一个单位获得增益时，它将获得活力，活力回合数等于此次增益值。
mainmenu_seasonal_wild_hunt_desc;己方每打出 1 个单位，便在所在排的末端生成 1 张 1 点战力的同名牌。
mainmenu_seasonal_wolf_desc;每有 1 个单位出现至战场，便对其造成 2 点伤害，随后使其获得 4 点增益。若其为“猎魔人”牌，则该伤害豁免。
mainmenu_settings_desc;调整游戏各项选项
mainmenu_settings_title;选项
mainmenu_shop;商店
mainmenu_shop_desc;购买碎片以合成选定卡牌
mainmenu_shop_feed;商店信息
mainmenu_shop_title;碎片（赠牌桶）
mainmenu_shopgems_desc;购买星尘以幻化卡牌
mainmenu_shopgems_title;星尘
mainmenu_singleplayer;王权的陨落
mainmenu_standard_button;非排位模式
mainmenu_standard_title;标准模式
mainmenu_starterpack_desc;先人一步，丰富卡牌收藏
mainmenu_starterpack_title;新手包
mainmenu_tb_card_not_bought_title;现在购买
mainmenu_tb_card_not_installed_title;现在安装
mainmenu_tryagain_info_text;请稍后再试
mainmenu_tutorial_desc;了解游戏的基础知识
mainmenu_tutorial_title;教程
mainmenu_tutorialcollection_desc;了解浏览和合成卡牌的方法
mainmenu_tutorialcollection_title;卡牌收藏
mainmenu_tutorialcombat;战斗
mainmenu_tutorialcombata_desc;熟悉单位牌、战场布局和游戏规则
mainmenu_tutorialcombata_title;游戏基础
mainmenu_tutorialcombatb_desc;三局两胜制和卡牌能力
mainmenu_tutorialcombatb_title;进阶规则
mainmenu_tutorialcombatc_desc;领袖牌和特殊牌
mainmenu_tutorialcombatc_title;特殊机制
mainmenu_tutorialdeckbuilder_desc;了解构建新牌组的方法
mainmenu_tutorialdeckbuilder_title;牌组编辑器
mainmenu_tutorialmanagement;卡牌管理
mainmenu_tutorialshop_desc;了解购买卡牌的方法
mainmenu_tutorialshop_title;商店
mainmenu_welcomescreen_button_tooltip;最新消息！
maintenance_mode;我们正在努力修复，请稍后再试！
maintenance_mode_title;啊哦，游戏暂不可用
max_level_reached;最高等级
message_logout_button;退出登录
message_logout_desc;您确定要退出登录吗？
message_logout_title;退出登录
message_return_login_desc;应用这些设置后游戏会回到标题画面，确定要继续吗？
message_return_login_title;设置已更改
milling_unlocked;已解锁卡牌分解功能！
missing_gog_overlay_description;要使用此功能，《巫师之昆特牌》启动器必须保持在后台运行。请启动《巫师之昆特牌》启动器并再试一次。
missing_gog_overlay_title;游戏启动器错误
mmr_score_decay_expired;因长时间不活跃，您的排位赛点数已被扣除。
mmr_score_decay_warning;若您近期不进行排位赛对局，您的排位赛点数将因长时间不活跃被扣除。
mon_fluff_description;人类总以为，自己才是这片大陆的主宰。然而，只要稍稍远离人烟，或是在满月时分竖起耳朵，你便会知道，这种傲慢的态度是多么愚昧。幽暗的密林、昏沉的深谷、潮湿发霉的废屋地窖，无数只眼睛闪着寒光，数不清的尖牙垂涎欲滴……成群的怪物伺机而动，好扑出来大快朵颐。在无尽的疯狂驱使下，它们不顾一切，前赴后继。好在，这种毫无组织可言的进攻，有时还能够抵挡得住。但若是有人指挥起这些怪兽，向它们发号施令，那么……再厚的城墙，再坚固的盾牌，身上穿的板甲再怎么结实，都远远不够。届时，人类必将一败涂地。而恐怖的哀嚎，则会刺破夜空。
mon_fluff_title;怪兽
monster_preset_deck_name;怪兽新手牌组
most_popular;最受欢迎
mulligan_remaining_count;剩余调度次数
network_game_logic_locked_header;游戏中止
network_game_logic_locked_message_both;对战双方的客户端出现问题，导致游戏无法继续。游戏中止。
network_game_logic_locked_message_bottom;蓝方玩家客户端出现问题，导致游戏无法继续。游戏中止。
network_game_logic_locked_message_local;本地客户端出现问题，导致游戏无法继续。游戏中止。
network_game_logic_locked_message_opponent;对手客户端出现问题，导致游戏无法继续。游戏中止。
network_game_logic_locked_message_top;红方玩家客户端出现问题，导致游戏无法继续。游戏中止。
network_game_player_not_playing_bottom;蓝方玩家闲置过久，游戏将强制结束。
network_game_player_not_playing_header;闲置过久，游戏结束
network_game_player_not_playing_local;您闲置的时间过久，游戏将强制结束。
network_game_player_not_playing_opponent;您的对手闲置过久，游戏将强制结束。
network_game_player_not_playing_top;红方玩家闲置过久，游戏将强制结束。
network_game_state_compromised_header;游戏不同步
network_game_state_compromised_message_both;检测到服务器与双方的客户端的状态不一致，游戏将被强制关闭。
network_game_state_compromised_message_bottom;检测到服务器与蓝方玩家客户端的状态不一致，游戏将被强制关闭。
network_game_state_compromised_message_local;检测到服务器与本地客户端的状态不一致，游戏将被强制关闭。
network_game_state_compromised_message_opponent;检测到服务器与对手客户端的状态不一致，游戏将被强制关闭。
network_game_state_compromised_message_top;检测到服务器与红方玩家客户端的状态不一致，游戏将被强制关闭。
network_game_state_disconnected_bottom;由于连接中断，蓝方玩家已被强制判负。
network_game_state_disconnected_local;由于连接中断，您已被强制判负，您的对手获胜。
network_game_state_disconnected_opponent;由于连接中断，您的对手已被强制判负，您获胜。
network_game_state_disconnected_spectator;您的连接中断，您无法再观看对局。
network_game_state_disconnected_title;连接中断
network_game_state_disconnected_top;由于连接中断，红方玩家已被强制判负。
network_game_state_forfeited_opponent;您的对手已投降。
network_game_state_forfeited_title;游戏结束
network_game_state_overquota_bottom;由于蓝方玩家的客户端发送了过多数据，您的对手已被强制判负。
network_game_state_overquota_local;由于您的客户端发送了过多数据，您已被强制判负。
network_game_state_overquota_opponent;由于您对手的客户端发送了过多数据，您的对手已被强制判负。
network_game_state_overquota_title;数据包错误
network_game_state_overquota_top;由于红方玩家的客户端发送了过多数据，您的对手已被强制判负。
network_game_state_server_error;服务器出现问题，导致游戏提前结束。
network_game_state_server_error_title;服务器错误
network_game_unauthorized_action_header;游戏中止
network_game_unauthorized_action_message_both;对战双方的客户端试图执行未授权行为。游戏中止。
network_game_unauthorized_action_message_bottom;蓝方玩家客户端试图执行未授权行为。游戏中止。
network_game_unauthorized_action_message_local;本地客户端试图执行未授权行为。游戏中止。
network_game_unauthorized_action_message_opponent;对手客户端试图执行未授权行为。游戏中止。
network_game_unauthorized_action_message_top;红方玩家客户端试图执行未授权行为。游戏中止。
networking_login_lost_message;您将被跳转回主菜单。
networking_login_lost_title;与服务器的连接断开！
new_update_available_description;请重新登录游戏，下载最新数据。
new_update_available_title;更新可用
nilf_fluff_description;一二一、一二一……在尼弗迦德重步兵整齐划一的步伐下，整个大陆地动山摇。紧随其后的，是火力强劲的攻城器械，摇唇鼓舌的外交使节，手段阴险、匕首淬毒的亡命之徒……北方的人民心怀恐惧，在紧锁的门窗后面看着这一切，绝望地向梅里泰莉喃喃祈祷……“圣母啊，让我们摆脱无比邪恶的灵魂吧。让我们的收成免遭涂炭，让我们的孩子摆脱枷锁吧……”只是，从庞塔尔河和雅鲁加河沿岸滚滚的浓烟可以看出，人们的祈求并没有得到应验。
nilf_fluff_title;尼弗迦德
nilfgaard_preset_deck_name;尼弗迦德新手牌组
no_notifications;当前无消息
no_servers_matchmaking_description;我们的服务器已完全爆满！\n\n请稍候几分钟再试。
no_servers_matchmaking_title;找不到服务器
nor_fluff_description;不论是在宫廷里还是去图书馆，谁都不可能找到一份绘制精确的北方领域地图。因为，每当绘图师画完最后一道边界线，这片土地为数众多的国王、亲王，或是选帝侯便已经向邻国发动了入侵，再一次改变了北方的政治版图。亚甸和科德温、泰莫利亚和莱里亚……国家之间的对抗和纷争无休无止。然而，在周而复始的疯狂下，见惯了冲突和牺牲的北方人，已经锻炼成了老练的战士，不屈不挠的百姓。这些人难以折服。特别是当大家摒弃无谓的成见，团结起来同仇敌忾的时候。只可惜，胜利的果实尚未分享完毕，他们就再度同室操戈……
nor_fluff_title;北方领域
northern_preset_deck_name;北方领域新手牌组
not_enough_currency;货币不足！
not_found;与服务器通讯发生错误，请稍后再试。
not_found_title;错误
notification_christmas_present_recieved;你在雪堆下发现了一个神秘的包裹。店店会帮你开开它！
notification_craft_cannotafford;您需要更多碎片来合成选定卡牌！
notification_craft_maxcopies;选定卡牌的拥有数量已达上限！
notification_deck_create_leader_no_copies;卡牌收藏中没有该领袖牌
notification_event_1_reward;你在雪堆下发现了一个神秘的包裹。店店会帮你开开它！
notification_event_16_reward;店店的大冒险
notification_event_19_reward;您获得了<sprite="PopupIcons" name="Chocolate">x{0}
notification_event_2_reward;上场战斗后，你发现了这个落满灰尘的箱子。这里面究竟是什么呢？
notification_event_3_reward;您已获得额外的 <sprite="PopupIcons" name="Powder"> {0}
notification_ftux_1;在训练模式中完成一场对局。
notification_ftux_2;完成三场标准模式对局中的第一场。
notification_ftux_3;完成三场标准模式对局中的第二场。
notification_ftux_4;完成三场标准模式对局中的第三场。
notification_ftux_three_matches;完成 3 场标准模式对局。
notification_gift_received;玩家 {0} 送给您一件礼物！
notification_love_event_daily_quest_reward;您通过完成日常任务获得了<sprite="PopupIcons" name="Chocolate">x{0}。快去奖励册中用它们解锁奖励吧。
notification_love_event_login_reward;您获得了今日登录奖励的<sprite="PopupIcons" name="Chocolate">x{0}。快去奖励册中用它们解锁奖励吧。
notification_love_event_match_reward;您因上局获胜而得到<sprite="PopupIcons" name="Chocolate">x{0}。快去奖励册中用它们解锁奖励吧。
notification_mill_card_from_starter_set;无法分解核心牌组的卡牌。
notification_mill_levelnotreached;您必须达到 {0} 级才能分解卡牌！
notification_mill_nocopies;您尚未拥有这张卡牌，无法将其分解！
notification_mill_nospares;您没有可分解的多余卡牌！
notification_mill_spare_cards;分解多余卡牌来获得额外资源是非常正确的！
notification_saovine2022_event_daily_quest_reward;您通过完成日常任务获得了<sprite="PopupIcons" name="Pearls">x{0}。快去奖励册中用它们解锁奖励吧。
notification_saovine2022_event_login_reward;您获得了今日登录奖励的<sprite="PopupIcons" name="Pearls">x{0}。快去奖励册中用它们解锁奖励吧。
notification_saovine2022_event_match_reward;您因上局获胜而得到<sprite="PopupIcons" name="Pearls">x{0}。快去奖励册中用它们解锁奖励吧。
notification_saovine2022_event_weekly_quest_reward;您通过完成日常任务获得了<sprite="PopupIcons" name="Pearls"> x{0}。快去奖励册中用它们解锁奖励吧。
notification_shop_cvv_invalid;安全码错误
notification_shupe_event_daily_quest_reward;您通过完成日常任务获得了<sprite="PopupIcons" name="Rocks"> x{0}。在商店中使用它们即可解锁店店亲自收集的装饰品。
notification_shupe_event_login_reward;您今天已经获得了<sprite="PopupIcons" name="Rocks"> x{0}。在商店中使用它们即可解锁店店亲自收集的装饰品。
notification_shupe_event_match_reward;您上场对局胜利，获得了<sprite="PopupIcons" name="Rocks"> x{0}。在商店中使用它们即可解锁店店亲自收集的装饰品。
notification_shupe_event_weekly_quest_reward;您通过完成日常任务获得了<sprite="PopupIcons" name="Rocks"> x{0}。在商店中使用它们即可解锁店店亲自收集的装饰品。
notification_upgrade_cannotafford;星尘不足！
notification_upgrade_cannotpremium;无法幻化闪卡！
notification_upgrade_maxcopies;选定卡牌的拥有数量已达上限！
notification_upgrade_nocopies;您尚未拥有该卡牌，无法将其幻化！
obb_notification_download_complete;下载完成
obb_notification_download_failed;下载未成功
obb_state_completed;下载结束
obb_state_connecting;连接到下载服务器
obb_state_downloading;正在下载资源
obb_state_failed;下载失败
obb_state_failed_cancelled;下载取消
obb_state_failed_fetching_url;资源未找到，下载失败
obb_state_failed_sdcard_full;内部存储已满，下载失败
obb_state_failed_unlicensed;您可能尚未从 应用商店下载该应用，下载失败
obb_state_fetching_url;寻找可下载资源
obb_state_idle;等待下载开始
obb_state_paused_by_request;下载暂停
obb_state_paused_network_setup_failure;下载暂停。请在浏览器中测试网站
obb_state_paused_network_unavailable;无可用网络，下载暂停
obb_state_paused_roaming;您处于漫游状态，下载暂停
obb_state_paused_sdcard_unavailable;外部存储不可用，下载暂停
obb_state_paused_wifi_disabled;无线网络已禁用，下载暂停
obb_state_paused_wifi_unavailable;无线网络不可用，下载暂停
obb_state_unknown;正在启动…
obb_state_unpacking;正在解压缩文件。请稍候…
obb_time_remaining;剩余时间：{0}
obb_time_remaining_notification;剩余： {0} 
oda_big_update_message;游戏正在更新，请多担待！本次的大型更新是为了让未来的更新变得更小。
odr_download_initial_error_desc;更新下载失败。请检查您的互联网连接，以及您是否有足够的存储空间，然后再试一次。
odr_download_uber_desc;您确定要下载 4K 材质包吗？文件大小为 {0} MB。推荐在 Wi-Fi 环境下进行。
odr_download_uber_error_desc;4K 材质包下载失败。请检查您的互联网连接，以及您是否有足够的存储空间，然后再试一次。
odr_remove_uber_desc;您确定要移除 4K 材质包吗？
odr_update_initial_desc;您确定要下载更新包吗？更新文件大小为 {0} MB。推荐在 Wi-Fi 环境下进行。您确定要开始下载吗？
odr_update_uber_desc;4K 材质包更新可用，文件大小为 {0} MB。推荐在 Wi-Fi 环境下进行。您要开始下载吗？您可稍后在设置菜单内开始下载。
open_keg_prompt;打开下一个牌桶
operation_failed;操作失败
