_inputshopbuymultiple;КУПИТЬ
interface_card_choice_0;Выберите карту
interface_card_choice_1;Выберите, какой картой сыграть
interface_card_choice_2;Выберите, какую карту переместить
interface_card_choice_3;Выберите, какую карту сбросить
interface_card_choice_4;Выберите, какую карту вернуть в колоду
interface_card_choice_5;Выберите, какую карту взять
interface_card_choice_6;Выберите, какую карту создать
interface_card_choice_7;Выберите, какую карту скопировать
interface_card_choice_8;Выберите, какую карту вскрыть
interface_card_choice_opponent;Противник делает выбор
interface_challenge_6100_abilities_subtitle;Испытайте себя с новыми способностями года Крысолака!
interface_challenge_6100_abilities_title;Испытание способностей года Крысолака
interface_challenge_acknowledge_button;Помочь другому
interface_challenge_arena_event;Событие арены
interface_challenge_arena_event_desc;Победитель в испытании получит доступ к особому режиму арены, связанному с фракцией.
interface_challenge_arena_event_title;Событие арены
interface_challenge_arena_results;На арене появится новый особый режим.
interface_challenge_available_description;Помогите влюбленным воссоединиться!
interface_challenge_bards_side;Барды
interface_challenge_belleteyn_ornaments_desc;Украшения тематики Беллетэйна, соответствующие победившей стороне, можно будет приобрести со скидкой.
interface_challenge_c_rewards_title;Победитель испытания
interface_challenge_choose_button;Выбрать
interface_challenge_christmas_santa_won;Победил Санта ан Крайт!
interface_challenge_christmas_subtitle;Выберите сторону!
interface_challenge_christmas_title;Йольское испытание
interface_challenge_christmas_wraith_won;Победил Йольский призрак!
interface_challenge_confirmation;Вы уверены, что хотите поддерживать эту сторону во время испытания?
interface_challenge_continue_event;Продолжить событие
interface_challenge_day_shortcut;{0} д.
interface_challenge_ep5_1_title;Главное испытание Гюнтера: 1-й этап
interface_challenge_ep5_2_title;Главное испытание Гюнтера: 2-й этап
interface_challenge_ep5_3_title;Главное испытание Гюнтера: 3-й этап
interface_challenge_ep5_4_title;Главное испытание Гюнтера: 4-й этап
interface_challenge_ep5_5_title;Главное испытание Гюнтера: 5-й этап
interface_challenge_ep5_6_title;Главное испытание Гюнтера: 6-й этап
interface_challenge_ep5_subtitle;Сразитесь с врагами в главном испытании Гюнтера. Испытание состоит из шести этапов, в каждом из которых состязаются три фракции.
interface_challenge_exp_results;Дополнительный опыт в матчах, сыгранных на стороне победившей фракции в любом режиме.
interface_challenge_experience_boost;Дополнительный опыт
interface_challenge_experience_boost_desc;Дополнительный опыт в матчах, сыгранных на стороне победившей фракции в любом режиме.
interface_challenge_experience_boost_reversed_desc;Все фракции получат дополнительный опыт в обратной зависимости от занятого места.
interface_challenge_experience_valentines;В награду за это испытание все получат одинаковый бонус к опыту!
interface_challenge_faction_bundle_desc;Победивший сценарий войдет в выгодный комплект, в который также попадут бочки соответствующей фракции.
interface_challenge_faction_bundle_results;Комплект сценария уже в магазине!
interface_challenge_faction_bundle_title;Комплект сценария
interface_challenge_faction_kegs;Бочки фракции
interface_challenge_faction_kegs_desc;В магазине появятся особые бочки фракции, победившей в испытании.
interface_challenge_helping;Я помогаю:
interface_challenge_hour_shortcut;{0} ч.
interface_challenge_joint_experience_boost_event_desc;Дополнительный опыт, полученный в любом игровом режиме. Зависит от количества заданий, выполненных всеми игроками. Бонус составит не менее <strong>{0}%</strong>.
interface_challenge_joint_experience_boost_postevent_desc;Дополнительный опыт, полученный в любом игровом режиме. Зависит от количества заданий, выполненных всеми игроками. Сейчас бонус составляет <strong>{0}%</strong>.
interface_challenge_joint_experience_boost_prepick_desc;Дополнительный опыт, полученный в любом игровом режиме. Зависит от количества заданий, выполненных всеми игроками.
interface_challenge_kegs_results;В магазине появятся особые бочки для фракции, победившей в испытании.
interface_challenge_leader_arena_event;Победитель в испытании получит доступ к особому режиму арены, связанному с лидером.
interface_challenge_leader_arena_results;Победитель в испытании получит доступ к особому режиму арены, связанному с лидером.
interface_challenge_leader_exp_results;Дополнительный опыт в матчах, сыгранных за победившего лидера в любом режиме.
interface_challenge_leader_experience_boost_desc;Дополнительный опыт в матчах, сыгранных за победившего лидера в любом режиме.
interface_challenge_look_at_rewards;Мои сокровища
interface_challenge_love_2022_acknowledge_button;Теперь все готово
interface_challenge_love_2022_reward_title_0;Награды за помощь всем:
interface_challenge_love_2022_reward_title_0_0;Награды за помощь королю Эйсту:
interface_challenge_love_2022_reward_title_0_1;Награды за помощь королеве Калантэ:
interface_challenge_love_2022_reward_title_0_2;Награды за помощь Дийкстре:
interface_challenge_love_2022_reward_title_0_3;Награды за помощь Филиппе:
interface_challenge_love_2022_rules;Помогите героям вновь обрести друг друга!
interface_challenge_love_2022_rules_completed;Поздравляем! Вы помогли влюбленным воссоединиться, и они наконец очутились в объятиях друг друга!
interface_challenge_love_2022_title;Событие сезона Любви
interface_challenge_min_shortcut;{0} мин.
interface_challenge_neu_arena_event;Победивший в испытании получит доступ к особому режиму арены.
interface_challenge_neu_arena_results;Победивший в испытании получит доступ к особому режиму арены.
interface_challenge_ongoing_subtitle;Текущий счет
interface_challenge_open_event;На страницу события
interface_challenge_outcome_desc;Это испытание завершилось. Награды для победившей стороны будут доступны в течение одной недели.
interface_challenge_percentage_100;+100%
interface_challenge_percentage_25;+25%
interface_challenge_percentage_50;+50%
interface_challenge_percentage_75;+75%
interface_challenge_play_shupe_x;Сыграть карту «Выходной день Лавка» в <strong>{0}</strong> играх
interface_challenge_points_desc;Количество очков, которые вы заработали для выбранной стороны во время этого испытания.
interface_challenge_quest_ardal_1;Захватить 5 вражеских отрядов.
interface_challenge_quest_ardal_2;Выиграть 5 матчей с Ардалем аэп Даги.
interface_challenge_quest_ardal_3;Сыграть 100 карт тактики в матчах за Ардаля аэп Даги.
interface_challenge_quest_arnjolf_1;Создать на поле Арнйольфа Отцеубийцу 5 раз.
interface_challenge_quest_arnjolf_2;Выиграть 5 матчей с Арнйольфом Отцеубийцей.
interface_challenge_quest_arnjolf_3;Сыграть 80 карт со способностью «Жажда крови» в матчах за Арнйольфа Отцеубийцу.
interface_challenge_quest_eldain_1;Создать на поле 15 Эльфских ловчих.
interface_challenge_quest_eldain_2;Выиграть 5 матчей с Эльдайном.
interface_challenge_quest_eldain_3;Сыграть 80 карт ловушек в матчах за Эльдайна.
interface_challenge_quest_gernichora_1;Создать на поле 20 Плодов Гернихоры.
interface_challenge_quest_gernichora_2;Выиграть 5 матчей с Гернихорой.
interface_challenge_quest_gernichora_3;Сыграть 80 отрядов со способностью «Симбиоз» в матчах за Гернихору.
interface_challenge_quest_leaders_1;Победить в 3 играх за каждого из 3 лидеров выбранной фракции, которые не входят в стартовый набор.
interface_challenge_quest_meve_1;Активировать способность королевы Мэвы 20 раз.
interface_challenge_quest_meve_2;Выиграть 5 матчей с королевой Мэвой.
interface_challenge_quest_meve_3;Сыграть 140 карт, усиливающих другие отряды, в матчах за королеву Мэву.
interface_challenge_quest_monsters_1;Провести 6 раундов за фракцию «Чудовища».
interface_challenge_quest_monsters_2;Выиграть 6 раундов за фракцию «Чудовища».
interface_challenge_quest_monsters_3;Сыграть не менее {0} карт из фракции «Чудовища».
interface_challenge_quest_monsters_4;Сыграть 240 карт фракций со способностями «Симбиоз», «Поглотить» или «Завещание».
interface_challenge_quest_monsters_5;Выиграть 5 игр за фракцию «Чудовища», чтобы поддержать выбранную сторону во время этого испытания.
interface_challenge_quest_nilfgaard_1;Провести 6 раундов за фракцию «Нильфгаард».
interface_challenge_quest_nilfgaard_2;Выиграть 6 раундов за фракцию «Нильфгаард».
interface_challenge_quest_nilfgaard_3;Сыграть не менее {0} карт из фракции «Нильфгаард».
interface_challenge_quest_nilfgaard_4;Сыграть 240 карт фракций со способностями «Размещение», «Вскрыть» или с категорией «Агент».
interface_challenge_quest_nilfgaard_5;Выиграть 5 игр за фракцию «Нильфгаард», чтобы поддержать выбранную сторону во время этого испытания.
interface_challenge_quest_northern_realms_1;Провести 6 раундов за фракцию «Королевства Севера».
interface_challenge_quest_northern_realms_2;Выиграть 6 раундов за фракцию «Королевства Севера».
interface_challenge_quest_northern_realms_3;Сыграть не менее {0} карт из фракции «Королевства Севера».
interface_challenge_quest_northern_realms_4;Сыграть 240 карт фракций со способностями «Приказ» или «Рвение».
interface_challenge_quest_northern_realms_5;Выиграть 5 игр за фракцию «Королевства Севера», чтобы поддержать выбранную сторону во время этого испытания.
interface_challenge_quest_scoiatael_1;Провести 6 раундов за фракцию «Скоя'таэли».
interface_challenge_quest_scoiatael_2;Выиграть 6 раундов за фракцию «Скоя'таэли».
interface_challenge_quest_scoiatael_3;Сыграть не менее {0} карт из фракции «Скоя'таэли».
interface_challenge_quest_scoiatael_4;Сыграть 240 карт фракций со способностями «Усилить» или «Засада».
interface_challenge_quest_scoiatael_5;Выиграть 5 игр за фракцию «Скоя'таэли», чтобы поддержать выбранную сторону во время этого испытания.
interface_challenge_quest_shupe_x_hunter;Сыграть карту «Лавк: охотник» в <strong>{0}</strong> играх
interface_challenge_quest_shupe_x_knight;Сыграть карту «Лавк: рыцарь» в <strong>{0}</strong> играх
interface_challenge_quest_shupe_x_mage;Сыграть карту «Лавк: чародей» в <strong>{0}</strong> играх
interface_challenge_quest_skellige_1;Провести 6 раундов за фракцию «Скеллиге».
interface_challenge_quest_skellige_2;Выиграть 6 раундов за фракцию «Скеллиге».
interface_challenge_quest_skellige_3;Сыграть не менее {0} карт из фракции «Скеллиге».
interface_challenge_quest_skellige_4;Сыграть 240 карт фракций со способностями «Сбросить», «Нанести урон» или «Жажда крови».
interface_challenge_quest_skellige_5;Выиграть 5 игр за фракцию «Скеллиге», чтобы поддержать выбранную сторону во время этого испытания.
interface_challenge_results;Результат
interface_challenge_rewards_title;Награды
interface_challenge_rules;Выберите сторону и выполняйте задания во время этого испытания. Победитель и результат, связанный с фракцией, определяется по сумме всех выполненных заданий за ту или иную сторону.
interface_challenge_rules_ongoing;Победит тот лидер, заданий которого будет выполнено больше всего. В течение недели после окончания испытания все смогут воспользоваться связанной с ним наградой.
interface_challenge_saovine_2021_acknowledge_button;Теперь все готово
interface_challenge_saovine_2021_confirmation_0;Помочь Шептухе
interface_challenge_saovine_2021_confirmation_1;Помочь Кухарке
interface_challenge_saovine_2021_confirmation_2;Помочь Пряхе
interface_challenge_saovine_2021_reward_title_0;Награды за помощь Хозяйкам Леса:
interface_challenge_saovine_2021_reward_title_0_0;Награды за помощь Шептухе:
interface_challenge_saovine_2021_reward_title_0_1;Награды за помощь Кухарке:
interface_challenge_saovine_2021_reward_title_0_2;Награды за помощь Пряхе:
interface_challenge_saovine_2021_rules;Хозяйки Леса затеяли подготовку к Саовине. Разве может что-то пойти не так?
interface_challenge_saovine_2021_rules_completed;Вы помогли Хозяйкам Леса приготовить подарок на Саовину! С жителями деревни ничего плохого не станется!
interface_challenge_saovine_2021_title;Саовина
interface_challenge_scenario_equinox_desc;День и ночь неустанно сражаются друг с другом. Зимой господствует ночь, а летом набирает силу день, и лишь дважды в год они почти достигают равновесия. Так помогите же им удержать хрупкий баланс!
interface_challenge_scenario_equinox_title;Равноденствие
interface_challenge_scenario_subtitle;Выберите сценарий
interface_challenge_scenario_title;Испытание сценариев
interface_challenge_scenario_tys_2022_desc;Вот-вот вознесутся летние алтари, чтоб сотворить могучую паутину магических заклятий. Помогите Трисс, Йеннифэр и Шани собирать травы, варить эликсиры и готовить заклинания для празднования летнего Солтыция!
interface_challenge_scenario_winter_2022_desc;Ну? Что там у тебя? Не заставляй меня ждать!
interface_challenge_shop_vanities_discount;Скидка на комплект украшений
interface_challenge_shop_vanities_discount_desc;Лавк снизит цену на комплект украшений победившей стороны!
interface_challenge_shupe_ornaments_desc;В магазине появятся украшения с Лавком, которые будут зависеть от победившей версии карты.
interface_challenge_shupe_subtitle;Выберите приключение
interface_challenge_shupe_title;Испытание Лавка
interface_challenge_sides_rules_ongoing;Победит сторона, игроки которой выполнят больше всего заданий. В течение недели после окончания испытания все смогут получить награду, которая будет зависеть от его результатов.
interface_challenge_skip_button;Пропустить
interface_challenge_spring_festival_rules;Давайте отпразднуем конец весны вместе! Не желаете потанцевать? А послушать баллады о великих подвигах? А может, потравить байки?
interface_challenge_spring_festival_title;Праздник лета
interface_challenge_spring_festival_titles_desc;За выполнение всех заданий вы получите уникальный титул в зависимости от выбранной стороны — «Трубадур», «Бард» или «Сказитель».
interface_challenge_storytellers_side;Сказители
interface_challenge_subtitle;Выберите свою сторону
interface_challenge_subtitle_pick_faction;Выберите фракцию
interface_challenge_support;Я поддерживаю
interface_challenge_title;Борьба фракций
interface_challenge_titles_desc;За выполнение всех заданий вы получите уникальный титул в зависимости от выбранной стороны
interface_challenge_troubadour_side;Трубадуры
interface_challenge_tys_2022_acknowledge_button;Все приготовления к летнему Солтыцию завершены!
interface_challenge_tys_2022_acknowledge_button_social_panel;Помогите следующей стороне
interface_challenge_tys_2022_confirmation_0;Помогите Йеннифэр
interface_challenge_tys_2022_confirmation_1;Помогите Трисс
interface_challenge_tys_2022_confirmation_2;Помогите Шани
interface_challenge_tys_2022_reward_title_0;За помощь Трисс, Йеннифэр и Шани вы получите:
interface_challenge_tys_2022_reward_title_0_0;За помощь Трисс вы получите:
interface_challenge_tys_2022_reward_title_0_1;За помощь Шани вы получите:
interface_challenge_tys_2022_reward_title_0_2;За помощь Йеннифэр вы получите:
interface_challenge_tys_2022_rules;Выполнить все задания за Трисс, Йеннифэр и Шани, чтобы подготовиться к празднику летнего Солтыция!
interface_challenge_tys_2022_rules_completed;Все приготовления к летнему Солтыцию завершены. Пора праздновать!
interface_challenge_tys_2022_title;Летний Солтыций
interface_challenge_ue_title;Неожиданные союзники
interface_challenge_unique_titles;Уникальные титулы
interface_challenge_valentines_rules_ongoing;Трисс или Йеннифер? А может, Шани? Отправляйтесь на поле боя, чтобы раз и навсегда разрешить один из величайших споров в мире Ведьмака!
interface_challenge_valentines_subtitle;Выберите возлюбленную!
interface_challenge_valentines_title;Испытание дня влюбленных
interface_challenge_winner_callout;{0} побеждает!
interface_challenge_winter_2022_acknowledge_button;Подношения приняты
interface_challenge_winter_2022_acknowledge_button_social_panel;Кто следующий?
interface_challenge_winter_2022_confirmation_0;Помочь ополчению крестьян
interface_challenge_winter_2022_confirmation_1;Помочь оруженосцу
interface_challenge_winter_2022_confirmation_2;Помочь двимвеандре
interface_challenge_winter_2022_confirmation_3;Помочь охотнику Школы Грифона
interface_challenge_winter_2022_confirmation_4;Помочь низушку-медвежатнику
interface_challenge_winter_2022_confirmation_5;Помочь чайке
interface_challenge_winter_2022_reward_title_0;Давай, давай своё подношение! А потом ещё одно, и ещё… пока жадный Всебог не будет доволен.
interface_challenge_winter_2022_reward_title_0_0;«О великий Всебог! Смилуйся над нами, бедными и нуждающимися. Наши хлеба поразила гниль, а коров — ящур! Прими наши скромные подношения!»
interface_challenge_winter_2022_reward_title_0_1;«Добрый Всебог, я… у меня столько бед. Понимаешь, я, ну, проиграл в карты фамильный кинжал своего господина и, это, мне помощь нужна. Вот, бобы подойдут?»
interface_challenge_winter_2022_reward_title_0_2;«Доброе утро, великий! Я принесла тебе корзинку замечательных грибов! А за это, пожа-алуйста, подскажи мне кое-что по алхимии, чтобы я смогла удивить наставницу».
interface_challenge_winter_2022_reward_title_0_3;«Мне нужен сильван. Большой и толстый. Ты тут поблизости таких не чуешь? Вот тебе за это гнилая башка накера».
interface_challenge_winter_2022_reward_title_0_4;«Всебог, значит? А чем докажешь, что ты не самозванец? Я бы на твоём месте доказал. Давай так: я тебе медяшку, а ты нашлёшь на Сиги понос».
interface_challenge_winter_2022_reward_title_0_5;*курлы-курлы!*
interface_challenge_winter_2022_rules_completed;Ну что ж! Ваши подношения достаточно щедры. Я снимаю проклятие. До поры до времени.
interface_challenge_winter_2022_title;Жадный бог
interface_current_fmmr;Текущий MMR фракции
interface_daily_quest_new_quest;Новое задание:
interface_daily_quest_time;{0} ч. {1} мин. {2} сек.
interface_defeat_screen_dead;Эта история резко оборвалась.
interface_defeat_screen_defeat;Конец игры
interface_defeat_screen_fluff;Война не прощает ошибок. Один неверный шаг, одно ошибочное решение — и вместо славной победы вас ждет вечный сон...
interface_event_celebration;Празднование
interface_event_ends_in;До окончания:
interface_faction_pick_description;Не волнуйтесь, вы разблокируете все, сыграв 3 матча.
interface_faction_pick_title;Выберите стартовую колоду!
interface_gift_default_description;Вам прислали кое-что особенное.\nНадеемся, подарок вам понравится!
interface_gift_from_title;Подарок от {0}
interface_gift_opened_success_desc;Подарок, который вы послали игроку {0}, был открыт!
interface_gift_recieved_popup_title;Ваш подарок
interface_gift_transaction_success_desc;Подарок отправлен!
interface_gwent_bday_title;День рождения ГВИНТА
interface_gwentsday_title;Gwentsday
interface_highest_fmmr;Наивысший MMR фракции
interface_leader_challenge_title;Испытания лидеров
interface_mainmenu_buy_bundle_now_button;Купить комплект
interface_mainmenu_buy_bundle_now_title;Купить
interface_mainmenu_buy_resources_now_button;Купить дополнительные ресурсы
interface_mainmenu_cancel_board_btn;ОТМЕНА
interface_mainmenu_cancel_leader_skin_btn;ОТМЕНА
interface_mainmenu_choose_board_title;Выбрать игровое поле
interface_mainmenu_choose_cardback_title;Выбрать рубашку
interface_mainmenu_choose_leader_skin_title;Выбрать облик лидера
interface_mainmenu_customize_board_tooltip;Изменить игровое поле
interface_mainmenu_customize_cardback_tooltip;Изменить рубашку
interface_mainmenu_customize_coin_tooltip;Сменить монету
interface_mainmenu_customize_leader_tooltip;Изменить облик лидера
interface_mainmenu_customize_music_tooltip;Сменить музыку
interface_mainmenu_deckselector_invalid_cards;Недостаточно карт в колоде
interface_mainmenu_deckselector_invalid_provisioning;Превышен лимит найма
interface_mainmenu_equip_board_btn;ПРИМЕНИТЬ
interface_mainmenu_equip_leader_skin_btn;ПРИМЕНИТЬ
interface_mainmenu_equipped;Используется
interface_mainmenu_in_reward_book_ftux;Можно открыть после прохождения обучения в книге наград.
interface_mainmenu_preorder;Оформить предзаказ
interface_mainmenu_previous_button;Назад
interface_mainmenu_unlock_in_achievements;Получить за контракты
interface_mainmenu_unlock_in_event;Это украшение можно открыть во время текущего события.
interface_mainmenu_unlock_in_journey;Получить в путешествии
interface_mainmenu_unlock_open_reward_tree_btn;Открыть дерево наград
interface_mainmenu_unlock_reward_book_button;Разблокировать в книге наград
interface_mainmenu_unlock_reward_book_desc;Предмет можно разблокировать при помощи дерева наград
interface_mainmenu_unlock_reward_book_title;Как разблокировать
interface_mainmenu_unlock_vanity_in_event;Получить за событие
interface_mmr_score;MMR
interface_pack_ready_to_open_notification;Набор готов, можно открывать
interface_profile_achievement_claim_btn;Получить
interface_profile_achievement_filter_all;ВСЕ
interface_profile_achievement_filter_done;ВЫПОЛНЕННЫЕ
interface_profile_achievement_filter_todo;Не выполненные
interface_profile_achievement_show_tooltip_btn;Включить/выключить описания контрактов
interface_profile_all_cards;Общее число карт
interface_profile_all_collection_progress_filter;Заполнение коллекции
interface_profile_all_wins;Все победы
interface_profile_all_wins_filter;Все победы
interface_profile_base_set_progress_filter;Карты базового набора
interface_profile_change_showcase_contract;Измените контракт для демонстрации
interface_profile_crimson_curse_progress_filter;Карты «Алого проклятия»
interface_profile_current_level;Текущий уровень
interface_profile_current_rank;Текущий ранг
interface_profile_current_season_wins_filter;Победы в текущем сезоне
interface_profile_daily_progress;Продвижение в путешествии
interface_profile_ep8_filter;Карты «Проклятой жабы»
interface_profile_ep9_filter;Карты «Уробороса»
interface_profile_gg_received;Получено благодарностей
interface_profile_highest_rank;Высший ранг
interface_profile_iron_judgment_progress_filter;КАРТЫ «ЖЕЛЕЗНОЙ ВОЛИ»
interface_profile_leaderboard_data_error;При получении списка лидеров произошла ошибка.
interface_profile_leaderboard_label_draws;Н
interface_profile_leaderboard_label_loses;П
interface_profile_leaderboard_label_lvl;УР.
interface_profile_leaderboard_label_mmr;MMR
interface_profile_leaderboard_label_name;ИМЯ
interface_profile_leaderboard_label_wins;В
interface_profile_master_mirror_progress_filter;Карты «Господина Зеркало»
interface_profile_merchants_of_ofir_progress_filter;КАРТЫ «КУПЦОВ ИЗ ОФИРА»
interface_profile_novigrad_progress_filter;Карты «Новиграда»
interface_profile_player_data_error;При получении данных профиля произошла ошибка.
interface_profile_price_of_power_progress_filter;Карты «Цены могущества»
interface_profile_ranked_score_leaderboard_label;Мое место в списке лидеров.
interface_profile_thronebreaker_progress_filter;Карты «Кровной вражды»
interface_profile_way_of_the_witcher_progress_filter;Карты «Пути ведьмака»
interface_quest_disabled_reroll_tooltip;Изменение задания будет доступно на следующий день.
interface_quest_reroll_tooltip;Сменить задание ({0}/{1})
interface_reach_rank;Для показа вашей статистики в списке лидеров требуется 25-й ранг.
interface_refer_friend_button;Пригласить друга
interface_reward_pop_up_rb_desc;Вы получили награду!
interface_reward_pop_up_shop_desc;Вы можете использовать свои запасы!
interface_reward_pop_up_shop_title;Покупка завершена
interface_rewards_back_btn;Назад
interface_rewards_card_preview;Осмотреть карту
interface_rewards_claim_achievement_btn;Получить следующую
interface_rewards_claim_node;Получить пункт
interface_rewards_claimable_achievement_title;Получить награды по контракту:
interface_rewards_claiming_reward_error;При получении награды произошла ошибка.\nКонтракт: {0}
interface_rewards_claiming_tree_node_error;При открытии пункта произошла ошибка.
interface_rewards_close_btn;Закрыть
interface_rewards_completed_tree_desc;Разблокировано!
interface_rewards_enter_tree;Начать дерево
interface_rewards_event_starting_node_desc;Это начальный пункт в дереве наград. Вы можете потратить валюту события, чтобы получить награды из любых пунктов, связанных с этим, или из ранее открытого пункта.
interface_rewards_faction_tree_type_title;Дерево фракции
interface_rewards_incompleted_tree_desc;Награда за завершение всего дерева
interface_rewards_leader_node_desc;Открыв этот пункт, вы получите доступ к дереву наград, связанных с этим лидером. Кроме того, сам лидер будет добавлен в вашу коллекцию (если вы еще его не создали).
interface_rewards_leader_node_subtitle;Пункт лидера
interface_rewards_leader_tree_type_title;Дерево лидера
interface_rewards_locked_by;Доступно при покупке определенного пункта в этом дереве
interface_rewards_node_claimed;Получено!
interface_rewards_node_cost;Не хватает очков награды
interface_rewards_node_currency;Цена: {0} {1} {2}
interface_rewards_node_not_enough_currency;Не хватает {0}!
interface_rewards_node_not_enough_rp;Нужно очков награды: {0}
interface_rewards_recieved_popup_title;Ваши награды
interface_rewards_reward_book_title;Книга наград
interface_rewards_reward_point_summary;Доступные очки награды:
interface_rewards_seasonal_tree_type_title;Дерево сезона
interface_rewards_starting_node_desc;Это начальный пункт в дереве наград. Вы можете потратить очки награды, чтобы получить награды из любых пунктов, связанных с этим, или из ранее открытого пункта.
interface_rewards_starting_node_subtitle;Начальный пункт
interface_rewards_story_node_desc;Улучшены награды за каждый открытый сюжетный пункт.
interface_rewards_story_node_title;Сюжетный пункт
interface_rewards_story_text_unlock_desc;Открывайте сюжетные пункты, чтобы узнать больше о мире игры.
interface_rewards_story_tree_type_title;Дерево дополнения
interface_rewards_thronebreaker_cards;Карты из «Кровной вражды».
interface_rewards_tracked_achievement_limit;Нельзя выбрать более 5 контрактов одновременно.
interface_rewards_tracked_achievement_notif_title;Выполнен контракт:
interface_rewards_tracking_achievement_error;При отслеживании контракта произошла ошибка.
interface_rewards_tree_expiration;Деревья доступны до:
interface_seasonal_trees_in_transition;Сезонные деревья недоступны во время смены сезонов. Они снова активируются с началом нового сезона.
interface_send_gg;Поблагодарите противника за игру, чтобы он получил награду
interface_shop_agreement_buy;Нажимая «Купить», вы соглашаетесь на немедленную доставку материалов и тем самым не сможете в дальнейшем отказаться от этого заказа. На эту покупку распространяются условия Пользовательского соглашения GOG.
interface_shop_agreement_buy_key;Пользовательское соглашение
interface_shop_coming_soon;Скоро
interface_shop_how_many;Сколько?
interface_shop_pack;Наборы
interface_shop_pick;Выберите пятую карту
interface_shop_pick_pack;Выбрать одну
interface_shop_promo_expired;Срок действия предложения истек
interface_shop_reveal;Вскройте четыре карты
interface_shop_summary;Ваши карты!
interface_shop_summary_pack;Ваши запасы!
interface_show_tooltips;ПОКАЗАТЬ ОПИСАНИЯ КАРТ
interface_social_homecoming_ptr_news_title;Homecoming Closed PTR
interface_ui_max;МАКС.
interface_welcome_daily_quests;Ежедневные задания
interface_welcome_end_of_season_close_button;Закрыть
interface_welcome_end_of_season_next_button;Вперед
interface_welcome_end_of_season_title;Конец сезона
interface_welcome_start_of_season_close_button;Закрыть
interface_welcome_start_of_season_title;Начало сезона
internal_error;Ой. Произошла неизвестная ошибка. Пожалуйста, обратитесь в службу поддержки.
internal_error_title;Ошибка
invalid_currency_amount;У нас возникла проблема со списанием денег для этой транзакции. Мы обновим данные вашего кошелька в самое ближайшее время.
invalid_currency_amount_title;Ошибка синхронизации
invalid_price;При вычислении цены произошла ошибка. Пожалуйста, попробуйте еще раз.
invalid_price_title;Ой!
invited_players_declined_message;Ваше приглашение отклонено.
invited_players_declined_title;Приглашение отклонено
ios_local_network_usage_description;Это приложение сможет искать устройства в вашей сети и подключаться к ним, чтобы расширить возможности многопользовательского режима.
ios_user_tracking_usage_description;Ваши данные потребуются, чтобы изучить ваше поведение в игре и подобрать подходящую рекламу.
item_arena_ticket;Oсколок зеркала
item_description_armor;Легендарный облик лидера, который можно дополнить деталями на экране выбора лидера.
item_description_board;Поле на ваш выбор!
item_description_card_premium;Пополнит вашу коллекцию случайной анимированной картой из любого набора.
item_description_card_standard;Пополнит вашу коллекцию случайной картой из любого набора.
item_description_music;Музыка на ваш выбор!
item_description_profile_ornament;Это украшение можно найти в профиле.
item_description_rp;Чтобы получить ресурсы и украшения, тратьте очки награды в книге наград.
item_description_trinket;Украшение для легендарного облика лидера, которое можно выбрать на экране выбора лидера.
join_pro_league;Перейти в режим Pro Ladder
joining_invite_desc;Присоединяемся к игре, пожалуйста, подождите...
joining_invite_title;Присоединение
journey_1_story_extended_1;Ignore
journey_1_story_extended_12;Геральт не плясал.\nВо всяком случае, старался всеми силами этого избегать. Впрочем, чтобы сделать хоть два шага в таком столпотворении, без прыжков и тычков было не обойтись. Ведьмак искал Лютика: толпа поглотила барда, как только объявили начало традиционных танцев (вот уж дурацкая традиция). Лютика он нигде не видел, зато сразу обнаружил того самого купца — богатого седого дурака, которому, похоже, забыли сообщить, что в женихах его нынче подвинули...\nГеральт шел вперед, расталкивая толпу. Танцующие то и дело пытались заловить его и увлечь в свой круг — конечно, без особых успехов. Музыканты со всем рвением старались скрыть неумение играть за громкостью исполнения. Наконец, несмотря на суматоху, ведьмак различил в толпе знакомую шапочку с пером цапли. А также четверых громил, окруживших ее владельца.\nНе желая более тратить ни минуты, Геральт навалился на первого брата и оттолкнул его в толпу, подальше от Лютика. Затем как следует врезал второму — тот обмяк и упал прямо Лютику под ноги. Взялся за третьего — но тут Лютик решил подключиться к борьбе и принялся мельтешить перед носом, выписывая странные коленца. Чтобы прекратить это бессмысленное действо, Геральт пнул третьего брата по ногам, да так ловко, что тот повалился навзничь. Вот с четвертым, стараниями Лютика, пришлось гораздо сложнее. Поэт все вертелся и паясничал, видимо, надеясь сбить противника с толку, а потом вдруг рванул бежать со всех ног. Громила уже было приготовился к погоне, но его остановил вопль сестры — девицу поймал и радостно стиснул в объятиях ничего не подозревающий прежний жених. С отчаянием, исказившим прелестное личико, Кора искала в толпе вероломного поэта — но поэта и след простыл. Ведьмак, по горло сытый необходимостью вмешиваться в чужие дела, развернулся и зашагал к конюшне.\nЛютик, конечно, уже был там — стоял на коленях с видом полной покорности судьбе. Ведьмак не мог не улыбнуться. Если б Лютик на секунду отвлекся от своих театральных страданий и поднял глаза, он увидел бы в седельной сумке Плотвы лютню — свою роковую потерю. Достав злосчастный инструмент, Геральт велел барду взять себя в руки и прекратить трагедию.\nСпустя некоторое время, уже приближаясь к городским воротам верхом на верной Плотве, он оглянулся. Что ж, видимо, таково предназначение Лютика — тащиться за ним, как хвост за волком...\nХоть на край света.
