_inputshopbuymultiple;KAUFEN
gaea_login_panel_fail_text;N/A
gaea_login_panel_fail_title;N/A
gaea_login_panel_login;N/A
gaea_login_panel_password;N/A
gaea_login_panel_processing;N/A
gaea_login_panel_real_id;N/A
gaea_login_panel_real_name;N/A
gaea_login_panel_remember_me;N/A
gaea_login_panel_sign_in;N/A
gaea_login_panel_sign_up;N/A
gaea_login_panel_success_text;N/A
gaea_login_panel_success_title;N/A
gaea_login_panel_username;N/A
gaea_popup_purchase_error_text;N/A
gaea_popup_purchase_error_title;N/A
game_invite_description;Möchtest du eine Standardpartie gegen <b>{0}</b> spielen?
game_invite_title;SPIELEINLADUNG ERHALTEN
game_mode_seasonal_april_title;April-Saison
game_mode_seasonal_august_title;August-Saison
game_mode_seasonal_bear_title;Verbannt
game_mode_seasonal_cat_title;Täuschung
game_mode_seasonal_december_title;Dezember-Saison
game_mode_seasonal_didnt_sign_up_desc;Verwandle zu Beginn der Partie all deine Karten in Karten, die einheitlich einer Fraktion und Seltenheitsstufe angehören und die sich nicht in deinem Startdeck befinden.
game_mode_seasonal_didnt_sign_up_title;Dafür hab ich mich nicht gemeldet
game_mode_seasonal_draconid_title;Schlachtenrausch
game_mode_seasonal_dryad_title;Wippe
game_mode_seasonal_elf_title;Bloß nicht nachgeben
game_mode_seasonal_even_fight_desc;Erhöhe zu Beginn der Partie die Basisstärke von allen Einheiten in deinem Deck um 14, abzüglich ihrer Rekrutierungskosten.
game_mode_seasonal_even_fight_title;Ausgeglichener Kampf
game_mode_seasonal_february_title;Februar-Saison
game_mode_seasonal_griffin_title;Stärkeverlagerung
game_mode_seasonal_january_title;Januar-Saison
game_mode_seasonal_july_title;Juli-Saison
game_mode_seasonal_june_title;Juni-Saison
game_mode_seasonal_legendary_battle_desc;Für diesen Modus erhalten die Spieler Decks, die komplett mit den legendären Karten ihrer Fraktionen gefüllt sind.
game_mode_seasonal_legendary_battle_title;Unser Kampf wird legendär!
game_mode_seasonal_love_title;Unwiderstehliche Anziehung
game_mode_seasonal_magic_title;Doppelzauber
game_mode_seasonal_mahakam_title;Verschanzung
game_mode_seasonal_march_title;März-Saison
game_mode_seasonal_may_title;Mai-Saison
game_mode_seasonal_more_provision_desc;Verwandle alle Karten auf deiner Hand zu Beginn der Runde und am Ende deines Zuges in zufällige Karten, deren Rekrutierungskosten um 1 höher sind.
game_mode_seasonal_more_provision_title;Geduld ist eine Tugend!
game_mode_seasonal_november_title;November-Saison
game_mode_seasonal_october_title;Oktober-Saison
game_mode_seasonal_poor_man_gwent_desc;Verwandle zu Beginn der Partie alle Goldkarten in zufällige Bronzekarten deiner Fraktion.
game_mode_seasonal_poor_man_gwent_title;Gwent des armen Mannes
game_mode_seasonal_rogue_mage_desc;Beide Spieler starten mit einer Krone. Verbanne zu Beginn der Partie die fünf Karten mit den niedrigsten Kosten aus deinem Deck.\nZiehe am Ende deines Zugs eine Karte.
game_mode_seasonal_rogue_mage_title;Abtrünniger Magier
game_mode_seasonal_september_title;September-Saison
game_mode_seasonal_sign_up_desc;Verwandle zu Beginn der Partie all deine Karten in Karten, die einheitlich einer Fraktion und Seltenheitsstufe angehören und die sich nicht in deinem Startdeck befinden.
game_mode_seasonal_sign_up_title;Dafür hab ich mich nicht gemeldet
game_mode_seasonal_two_for_one_desc;Wenn du in einem Zug das erste Mal eine Karte von deiner Hand ausspielst, spiele eine weitere Karte von deiner Hand aus.
game_mode_seasonal_two_for_one_title;Zwei zum Preis von einer
game_mode_seasonal_viper_title;Schwung
game_mode_seasonal_wild_hunt_title;Plus Eins
game_mode_seasonal_wolf_title;Kräuterprobe
game_saving;Speichern ...
game_version;Spielversion
gameplay_guides_button;Gameplay-Leitfäden einsehen
get_lobby_fail_message_description;Verbindungsfehler
get_lobby_fail_message_title;Verbindungsfehler
gifting_status_locked;Gegenstand bereits freigeschaltet
go_to_bd;Geh zur Deckschmiede
go_to_rb;Öffne das Belohnungsbuch.
gold;Gold
gold_currency;Erz
gwent_bottom_victory_title;Blau gewinnt die Partie
gwent_controller_disconnect_title_ps4;DUALSHOCK®4 Wireless-Controller getrennt
gwent_controller_disconnected_desc;Stelle die Verbindung des Controllers erneut her und drücke auf <sprite="[PC]" name=A>, um fortzufahren.
gwent_controller_disconnected_desc_ps4;Stelle die Verbindung des DUALSHOCK®4 Wireless-Controllers erneut her und drücke auf <sprite="[PC]" name=A>, um fortzufahren.
gwent_controller_disconnected_title;Controller getrennt
gwent_controller_disconnected_title_ps4;DUALSHOCK®4 Wireless-Controller getrennt
gwent_controller_for_user_is_not_connected_desc;Der DUALSHOCK®4 Wireless-Controller von Spieler {0} ist nicht verbunden.
gwent_creating_deck_error_desc;Netzwerkfehler beim Erstellen des neuen Decks. Überprüfe die Internetverbindung und versuche es erneut.
gwent_creating_deck_error_title;Fehler beim Erstellen des Decks
gwent_defeat_title;Niederlage
gwent_disclaimer_fnf;Placeholder
gwent_disclaimer_pc;<b>Willkommen bei\n\nGWENT: The Witcher Card Game\n\nPublic Beta</b>\n\nVielen Dank, dass du uns beim Testen des Spiels hilfst! Diese Version befindet sich noch in der Entwicklung, und obwohl es bereits eine Menge Spaß macht, funktionieren manche Bereiche und Modi möglicherweise noch nicht. Wenn du irgendwelche Fehler findest, besuche bitte playgwent.com/support und melde sie. Wir tun dann unser Bestes, um dir zu helfen!\n\nGenauere Informationen zur Public Beta und dem Spiel findest du im FAQ unter playgwent.com/faq.\n\nAußerdem laden wir dich ein, dich der GWENT-Community in unseren offiziellen Foren anzuschließen oder uns auf Twitter und Facebook zu folgen -- so bleibst du am besten auf dem Laufenden, kannst mit den Entwicklern sprechen und uns direktes Feedback geben.\n\nVor allem wollen wir dir aber für die Teilnahme an der Public Beta danken und hoffen, dass du Spaß mit The Witcher Card Game hast.\n\nViele Grüße\n\ndas GWENT-Team
gwent_disclaimer_ps4;<b>Willkommen bei\n\nGWENT: The Witcher Card Game\n\nPublic Beta</b>\n\nVielen Dank, dass du uns beim Testen des Spiels hilfst! Diese Version befindet sich noch in der Entwicklung, und obwohl es bereits eine Menge Spaß macht, funktionieren manche Bereiche und Modi möglicherweise noch nicht. Wenn du irgendwelche Fehler findest, besuche bitte playgwent.com/support und melde sie. Wir tun dann unser Bestes, um dir zu helfen!\n\nGenauere Informationen zur Public Beta und dem Spiel findest du im FAQ unter playgwent.com/faq.\n\nAußerdem laden wir dich ein, dich der GWENT-Community in unseren offiziellen Foren anzuschließen oder uns auf Twitter und Facebook zu folgen -- so bleibst du am besten auf dem Laufenden, kannst mit den Entwicklern sprechen und uns direktes Feedback geben.\n\nVor allem wollen wir dir aber für die Teilnahme an der Public Beta danken und hoffen, dass du Spaß mit The Witcher Card Game hast.\n\nViele Grüße\n\ndas GWENT-Team
gwent_disclaimer_xbox;<b>Willkommen bei\n\nGWENT: The Witcher Card Game\n\nPublic Beta\n\n(Spielvorschau für die Xbox One-Edition)</b>\n\nVielen Dank, dass du uns beim Testen des Spiels hilfst! Diese Version befindet sich noch in der Entwicklung, und obwohl es bereits eine Menge Spaß macht, funktionieren manche Bereiche und Modi möglicherweise noch nicht. Wenn du irgendwelche Fehler findest, besuche bitte playgwent.com/support und melde sie. Wir tun dann unser Bestes, um dir zu helfen!\n\nGenauere Informationen zur Public Beta und dem Spiel findest du im FAQ unter playgwent.com/faq.\n\nAußerdem laden wir dich ein, dich der GWENT-Community in unseren offiziellen Foren anzuschließen oder uns auf Twitter und Facebook zu folgen -- so bleibst du am besten auf dem Laufenden, kannst mit den Entwicklern sprechen und uns direktes Feedback geben.\n\nVor allem wollen wir dir aber für die Teilnahme an der Public Beta danken und hoffen, dass du Spaß mit The Witcher Card Game hast.\n\nViele Grüße\n\ndas GWENT-Team
gwent_draw_title;Unentschieden
gwent_duplicate_deck_error_desc;Das Deck konnte nicht dupliziert werden. Versuch es später noch einmal.
gwent_duplicate_deck_error_title;Duplizierung fehlgeschlagen
gwent_duplicate_deck_title;Deck duplizieren
gwent_final_round;Letzte Runde
gwent_flipping_coin;Entscheiden wir per Münzwurf, wer beginnt ...
gwent_forfeit_no;NEIN
gwent_forfeit_question;Möchtest du das Spiel abbrechen?
gwent_forfeit_title;Abbrechen
gwent_forfeit_yes;JA
gwent_found_opponent;Gegner gefunden!
gwent_gog_galaxy_required;Um online zu spielen, ist GOG Galaxy erforderlich.
gwent_hero;Held
gwent_loading_deck;Deck wird geladen ...
gwent_login_failed;Anmelden fehlgeschlagen
gwent_menu_choose_deck;DECK WECHSELN
gwent_menu_create_room;Raum erstellen
gwent_menu_join_room;Raum betreten
gwent_menu_multiplayer;Mehrspieler
gwent_menu_new_room;Neuer Raum
gwent_menu_options;Optionen
gwent_menu_room_name;Raumname:
gwent_menu_single_player;Einzelspieler
gwent_menu_tutorial;Tutorial
gwent_message_bottom_player_discarding_cards_main;Blau zieht neu
gwent_message_bottom_player_making_decision_main;Blau trifft eine Entscheidung
gwent_message_coin_toss_scoiatael_human_lost_main;Scoia'tael-Fraktionsfähigkeit
gwent_message_coin_toss_scoiatael_human_lost_sub;Dein Gegner beginnt.
gwent_message_coin_toss_scoiatael_human_win_main;Scoia'tael-Fraktionsfähigkeit
gwent_message_coin_toss_scoiatael_human_win_sub;Du beginnst.
gwent_message_enemy_passed_coin;GEGNER GEPASST
gwent_message_enemy_passing_coin;DER GEGNER PASST
gwent_message_game_disrupted_main;Fehler
gwent_message_game_disrupted_sub;Keine Verbindung
gwent_message_monster_ability_opponent_main;Fraktionsfähigkeit
gwent_message_monster_ability_opponent_sub;Diese Einheit bleibt auf dem Schlachtfeld.
gwent_message_monster_ability_player_main;Placeholder
gwent_message_monster_ability_player_sub;Placeholder
gwent_message_monster_ability_you_main;Fraktionsfähigkeit
gwent_message_monster_ability_you_sub;Diese Einheit bleibt auf dem Schlachtfeld.
gwent_message_northern_ability_opponent_main;Fraktionsfähigkeit
gwent_message_northern_ability_opponent_sub;Dein Gegner zieht eine Karte.
gwent_message_northern_ability_player_main;Placeholder
gwent_message_northern_ability_player_sub;Placeholder
gwent_message_northern_ability_you_main;Fraktionsfähigkeit
gwent_message_northern_ability_you_sub;Ziehe eine Karte.
gwent_message_opp_scoia_chose_himself;Dein Gegner beginnt den ersten Zug.
gwent_message_opp_scoia_chose_you;Dein Gegner überlässt dir den ersten Zug.
gwent_message_opp_scoia_ignore;Dein Gegner hat eine Münze geworfen.
gwent_message_opp_scoia_ignore_round_result;Dein Gegner setzt die Fähigkeit der Scoia'tael-Fraktion nicht ein.
gwent_message_opp_scoia_title;SCOIA'TAEL-FRAKTIONSFÄHIGKEIT AUSGELÖST
gwent_message_opp_scoia_waiting;Dein Gegner bestimmt, wer beginnt.
gwent_message_opponent_discarding_cards_main;Dein Gegner ersetzt Karten.
gwent_message_opponent_discarding_cards_sub;Dein Gegner wählt aus, welche Karten er ersetzt.
gwent_message_opponent_made_decision_main;{{opponentName}} hat diese Karte ausgewählt.
gwent_message_opponent_made_decision_sub;Placeholder
gwent_message_opponent_making_decision_cards_main;Dein Gegner trifft eine Entscheidung.
gwent_message_opponent_making_decision_cards_sub;Dein Gegner wählt die auszuspielende Karte.
gwent_message_opponent_making_decision_main;Dein Gegner trifft eine Entscheidung.
gwent_message_opponent_making_decision_sub;Placeholder
gwent_message_opponent_pass_main;{{opponentName}} hat gepasst.
gwent_message_opponent_pass_sub;Placeholder
gwent_message_opponent_targeting_cards_main;Dein Gegner trifft eine Entscheidung.
gwent_message_opponent_targeting_cards_sub;Dein Gegner trifft eine Entscheidung. Bitte warte.
gwent_message_opponent_turn_coin;GEGNERISCHER ZUG
gwent_message_opponent_turn_main;Dein Gegner ist am Zug.
gwent_message_opponent_turn_sub;Placeholder
gwent_message_passed_coin;GEPASST
gwent_message_passing_coin;PASSEN
gwent_message_player_forfeit_main;Du hast das Spiel abgebrochen.
gwent_message_player_forfeit_sub;Placeholder
gwent_message_player_pass_main;Du hast gepasst.
gwent_message_player_pass_sub;Placeholder
gwent_message_player_scoia_chose_himself;Du hast dich entschieden, den ersten Zug zu übernehmen
gwent_message_player_scoia_chose_you;Du hast dich entschieden, dem Gegner den ersten Zug zu überlassen
gwent_message_player_scoia_ignore;Du hast dich entschieden, die Fähigkeit der Scoia'tael-Fraktion später einzusetzen
gwent_message_player_scoia_ignore_round_result;Du hast dich entschieden, die Fähigkeit der Scoia'tael-Fraktion nicht einzusetzen.
gwent_message_round_bottom_won_main;Blau gewinnt die Runde
gwent_message_round_draw_main;Die Runde endet unentschieden.
gwent_message_round_draw_sub;Placeholder
gwent_message_round_lost_main;Du hast die Runde verloren!
gwent_message_round_lost_nilfgaard_main;Fraktionsfähigkeit
gwent_message_round_lost_nilfgaard_sub;Du hast die Runde trotz Unentschieden verloren!
gwent_message_round_lost_sub;Placeholder
gwent_message_round_start_main;Rundenbeginn
gwent_message_round_start_sub;Placeholder
gwent_message_round_top_won_main;Rot gewinnt die Runde
gwent_message_round_won_main;Du hast die Runde gewonnen!
gwent_message_round_won_sub;Placeholder
gwent_message_scoia_desc;Wähle, wer die nächste Runde eröffnet.
gwent_message_scoia_desc_timer;[DBG]Wähle, wer die nächste Runde eröffnet/noch {0} Sekunden.
gwent_message_scoia_title;Scoia'tael-Fraktionsfähigkeit ausgelöst
gwent_message_scoiatael_ability_main;Fraktionsfähigkeit
gwent_message_scoiatael_ability_sub;Dein Gegner bestimmt, wer beginnt.
gwent_message_skellige_ability_opponent_main;Skellige-Fraktionsfähigkeit ausgelöst
gwent_message_skellige_ability_opponent_sub;Dein Gegner zieht eine Karte vom Friedhof.
gwent_message_skellige_ability_player_main;Placeholder
gwent_message_skellige_ability_player_sub;Placeholder
gwent_message_skellige_ability_you_main;Skellige-Fraktionsfähigkeit ausgelöst
gwent_message_skellige_ability_you_sub;Ziehe eine Karte vom Friedhof.
gwent_message_starting_round_three;Start der LETZTEN Runde!
gwent_message_starting_round_two;Start von Runde 2!
gwent_message_top_player_discarding_cards_main;Rot zieht neu
gwent_message_top_player_making_decision_main;Rot trifft eine Entscheidung
gwent_message_your_turn_coin;DEIN ZUG
gwent_message_your_turn_main;Dein Zug
gwent_message_your_turn_sub;Placeholder
gwent_monster_ability_opp_main;Fähigkeit der Monsterfraktion ausgelöst
gwent_monster_ability_opp_sub;Diese Einheit bleibt auf dem Schlachtfeld.
gwent_monster_ability_you_main;Fähigkeit der Monsterfraktion ausgelöst
gwent_monster_ability_you_sub;Diese Einheit bleibt auf dem Schlachtfeld.
gwent_monster_faction_ability_triggered;Diese Einheit bleibt auf dem Schlachtfeld.
gwent_more_units;Nicht genügend Einheitenkarten.
gwent_nilfgaard_ability_triggered;Fähigkeit der Nilfgaardfraktion ausgelöst - Nilfgaard gewinnt das Unentschieden.
gwent_northern_ability_trig_msg;Die Nördlichen Königreiche ziehen eine zusätzliche Karte.
gwent_northern_ability_trig_title;Fraktionsfähigkeit der Nördlichen Königreiche ausgelöst
gwent_northern_ability_triggered;Fraktionsfähigkeit der Nördlichen Königreiche ausgelöst - der Norden zieht eine zusätzliche Karte.
gwent_ok;OK
gwent_opponent_passed_turn;Dein Gegner passt.
gwent_opponent_turn_start_message;Dein Gegner ist am Zug.
gwent_opponent_will_go_first;Dein Gegner beginnt
gwent_opponent_won_round;Dein Gegner hat die Runde gewonnen.
gwent_pc_closed_beta;Public Beta
gwent_player_counter_leader;Dein Anführer hebt die Fähigkeit des gegnerischen Anführers auf.
gwent_player_passed_element;Gepasst
gwent_player_passed_turn;Runde gepasst
gwent_player_turn_start_message;Du bist am Zug!
gwent_player_will_go_first_message;Du beginnst
gwent_player_won_round;Du hast die Runde gewonnen!
gwent_please_wait;Bitte warten ...
gwent_quit_question;Möchtest du das Spiel verlassen?
gwent_quit_title;Verlassen
gwent_rematch_start;Rückpartie!
gwent_rewards_intro;KRIEGSBEUTE
gwent_round;Runde
gwent_round_start;Rundenbeginn
gwent_saving_deck;Das Deck wird gespeichert ...
gwent_saving_deck_error_desc;Netzwerkfehler beim Speichern des neuen Decks. Überprüfe die Internetverbindung und versuche es erneut.
gwent_saving_deck_error_title;Fehler beim Speichern des Decks
gwent_scoiatael_faction_ability_title;Möchtest du diese Runde eröffnen?
gwent_sharing_deck_error_desc;Ein einzigartiger Link zum Teilen konnte nicht generiert werden. Versuche es später erneut.
gwent_sharing_deck_error_title;Ups! Es ist was schiefgelaufen.
gwent_sharing_deck_title;Teilen läuft ...
gwent_special_card_limit;Sonderkartenlimit erreicht
gwent_top_victory_title;Rot gewinnt die Partie
gwent_victory_title;Gewonnen
gwent_waiting_for_second_player;Warten auf anderen Spieler ...
gwent_xbox_one_preview;Xbox One-Vorschau
hero_cards;Placeholder
highest_rank_profile_panel;Höchster
hold_pass;ZUM PASSEN HALTEN
holiday_djenge_name;Djenge Frett
holiday_djenge_title;Kopfgeldjäger
holiday_event_encounter_completed;Herausforderung abgeschlossen
holiday_event_ended_popup_text;Das Ale geht aus und das Fest ist vorbei. Aber keine Sorge! Das nächste Fest findet bestimmt bald wieder statt!
holiday_event_panel_easy_mode_description;Hol dir 'nen Stuhl und feier mit!
holiday_event_panel_easy_mode_title;Standardmodus
holiday_event_panel_ends_in;Das Ereignis endet in {0}
holiday_event_panel_hard_mode_description;Die Herausforderungen sind nicht herausfordernd genug? Dann haben wir den richtigen Modus für dich!
holiday_event_panel_hard_mode_title;Expertenmodus
holiday_event_panel_view_encounter_rewards;Belohnungen anzeigen
holiday_jotun_name;Jotunn
holiday_jotun_title;König der Riesen
holiday_panel_hardmode_popup_text;Gut gemacht! Wenn du nach größeren Herausforderungen und weiteren Belohnungen suchst, solltest du dich am Expertenmodus versuchen.
holiday_panel_hardmode_popup_title;Expertenmodus freigeschaltet!
holiday_panel_intro_popup_text;Um den Beginn von Mittwinter zu feiern, hat Shøp der Troll einen besonderen Feiertags-Fässersack vorbereitet, den er für kurze Zeit in seinem Laden verkauft.\n\nJeder Sack enthält:\n\n25x Kartenfässer – Jedes enthält 5 Karten, davon eine selten oder besser!\n1x animierte epische Karte – Wähle eine von drei zufälligen, animierten epischen Karten für deine Sammlung!\n400x Meteoritenstaub – Transmutiere damit Karten in eine animierte Variante!\n\nDer Feiertags-Fässersack ist bis zum 4. Januar erhältlich.
holiday_panel_intro_popup_title;Shøps Feiertags-Fässersack
holiday_phoenix_name;Phönix
holiday_phoenix_title;Sagenumwobenes Geschöpf
holiday_popup_continue;Fortfahren
holiday_rewards_panel_title;Belohnungen für das Abschließen der Herausforderung
http_code;Fehlercode:
in_progress;Transaktion wird abgewickelt. Warten auf Bestätigung des externen Zahlungsanbieters. Die Transaktion wird im Hintergrund abgeschlossen.
in_progress_title;Transaktion wird abgeschlossen
infinite_journey_common_quest;Leicht
infinite_journey_epic_quest;Schwer
infinite_journey_rare_quest;Mittel
infinity_journey_name_alzur;Alzur
infinity_journey_name_aretuza;Aretusa
infinity_journey_name_ciri;Ciri
infinity_journey_name_dandelion;Rittersporn
infinity_journey_name_geralt;Geralt
infinity_journey_name_regis;Regis
infinity_journey_name_triss;Triss
infinity_journey_name_yennefer;Yennefer
input_accept_deck_validation_popup;Annehmen
input_accept_error_loading_decks;Annehmen
input_accept_forfeit;Abbrechen
input_accept_menu;Annehmen
input_accept_name;Namen festlegen
input_accept_season_rewards;Placeholder
input_accept_selected_taunt;Wähle eine Verspottung
input_accept_selected_transactions;Placeholder
input_accept_settings;Annehmen
input_accept_simple_popup;Annehmen
input_accept_simple_popup2;JA
input_accept_transaction;Spielen
input_accept_transaction_db;Karte hinzufügen
input_auto_play_card;Placeholder
input_auto_play_card_on_preview_board;Placeholder
input_back_from_settings;Zurück
input_back_to_deck_picker;Speichern und zurück
input_back_to_deck_selecting;Zurück
input_back_to_edit_deck;Zurück zum Bearbeiten des Decks
input_back_to_main_menu;Zurück zum Hauptmenü
input_back_to_settings;Zurück
input_back_without_saving;Ohne Speichern verlassen
input_booth_cheat_entered;Placeholder
input_buy_selected_product;KAUFEN
input_call_leader;Anführerfähigkeit einsetzen
input_cancel_choice;Abbrechen
input_cancel_find_opponent;Abbrechen
input_cancel_matchmaking;Abbrechen
input_cancel_menu;Abbrechen
input_cancel_name;Abbrechen
input_cancel_p_w_f_get_lobby;Placeholder
input_cancel_selection_with_no_valid_transaction;Abbrechen
input_cancel_settings;Abbrechen
input_cancel_settings_popup;Abbrechen
input_cancel_simple_popup;Abbrechen
input_cancel_simple_popup2;NEIN
input_cancel_taunting;Schließen
input_cancel_transaction;Abbrechen
input_card_management_bought_kegs;Anzahl an gekauften Kartenfässern: {0}.
input_card_management_bought_kegs_open;Möchtest du jetzt ein Kartenfass öffnen?
input_card_management_bought_kegs_open_desc;Möchtest du jetzt ein Kartenfass öffnen?
input_card_management_bought_kegs_open_title;Fass öffnen?
input_card_management_collection_accept;Annehmen
input_card_management_collection_cancel;Abbrechen
input_card_management_enter_cvv;Bitte eingeben – CVV: XXX
input_card_management_go_to_purchase_confirmation;KAUFEN
input_card_management_open_pack_accept;Ja
input_card_management_open_pack_cancel;Nicht jetzt
input_card_management_open_pack_change_menu_left;Laden
input_card_management_open_pack_change_menu_right;Kartensammlung
input_card_management_pay;Jetzt zahlen
input_card_management_processing_buy_transaction;Transaktion wird bearbeitet, bitte warten ...
input_card_management_shop;<b>LADEN</b>
input_card_management_shop_accept;Annehmen
input_card_management_shop_back_to_previous_panel;ZURÜCK
input_card_management_shop_cancel;Abbrechen
input_card_management_shop_cancel_purchase;NEIN
input_card_management_shop_card_barrels;KARTENFÄSSER
input_card_management_shop_card_barrels_back;ZURÜCK
input_card_management_shop_card_barrels_buy;KAUFEN
input_card_management_shop_card_barrels_tooltip;Jedes Fass enthält 5 Karten. Mindestens eine Karte der Stufe Selten, Episch oder Legendär.
input_card_management_shop_card_reveal;ENTHÜLLE DEINE ERSTEN VIER KARTEN
input_card_management_shop_card_reveal_desc;Enthülle jede Karte. Sobald du alle vier Karten enthüllt hast, kannst du deine fünfte Karte wählen.
input_card_management_shop_change_menu_left;Kartensammlung
input_card_management_shop_change_menu_open_pack;Fassöffnung
input_card_management_shop_change_menu_right;Kartensammlung
input_card_management_shop_confirm_product_purchase;JA
input_card_management_shop_confirm_purchase;JA
input_card_management_shop_cost;KOSTEN
input_card_management_shop_decline_product_purchase;NEIN
input_card_management_shop_decrease_quantity;Anzahl verringern
input_card_management_shop_gems;Meteoritenstaub
input_card_management_shop_gems_tooltip;Mit Meteoritenstaub kannst du Karten in deiner Sammlung zu ihren Premium-Versionen transmutieren.
input_card_management_shop_gems_tooltip_sieja;Mit Meteoritenstaub kannst du Karten in deiner Sammlung zu ihren Premium-Versionen transmutieren. Meteoritenstaub, den du kaufst, verfällt nach 6 Monaten Echtzeit. Gib ihn also unbedingt in diesem Zeitraum aus!
input_card_management_shop_go_to_pack_opening;FASS ÖFFNEN
input_card_management_shop_go_to_purchase_panel;Auswählen
input_card_management_shop_increase_quantity;Anzahl erhöhen
input_card_management_shop_legal_info;Information
input_card_management_shop_loading;Transaktion wird bearbeitet, bitte warten ...
input_card_management_shop_open_barrel_no;FÜR SPÄTER AUFHEBEN
input_card_management_shop_open_barrel_pick_one;WÄHLE DEINE FÜNFTE KARTE
input_card_management_shop_open_barrel_pick_one_confirm;BESTÄTIGE DEINE WAHL
input_card_management_shop_open_barrel_pick_one_confirm_desc;Möchtest du diese Karte wirklich behalten? Die anderen beiden werden deiner Sammlung nicht hinzugefügt.
input_card_management_shop_open_barrel_pick_one_desc;Wähle <b>EINE</b> der Karten unten aus.
input_card_management_shop_open_barrel_summary;DEINE NEUEN KARTEN!
input_card_management_shop_open_barrel_summary_open_next;Möchtest du ein weiteres Kartenfass öffnen?
input_card_management_shop_open_barrel_window_desc;Möchtest du ein Kartenfass öffnen?
input_card_management_shop_open_barrel_window_title;Fass öffnen
input_card_management_shop_open_barrel_yes;JA
input_card_management_shop_other_payments;Zahlungsmethode ändern
input_card_management_shop_previous_menu;ZURÜCK
input_card_management_shop_select_category;Auswählen
input_card_management_shop_select_category_tooltip;Kategorie wählen
input_card_management_transaction_complete;Transaktion abgeschlossen.
input_card_pack_buy_multiple_desc;Du bist dabei, {0} Kartenfass/Kartenfässer zu kaufen. Jedes Fass enthält fünf Karten. Mindestens eine Karte davon gehört der Stufe Selten oder besser an. Dir werden drei Karten dieser Stufe gezeigt, aus denen du dann eine wählen kannst.
input_card_pack_buy_multiple_title;KARTENFÄSSER KAUFEN
input_card_pack_confirm_purchase_desc;Du bist dabei, {0} Kartenfass/Kartenfässer zu kaufen. Jedes Fass enthält fünf Karten. Mindestens eine Karte davon gehört der Stufe Selten oder besser an. Dir werden drei Karten dieser Stufe gezeigt, aus denen du dann eine wählen kannst.
input_card_pack_confirm_purchase_title;KARTENFÄSSER KAUFEN
input_card_pack_reveal_card;Karte enthüllen
input_card_pack_to_shop;Zurück zum Laden
input_card_pollen_carousel_accept;Annehmen
input_card_pollen_carousel_button_pressed;Placeholder
input_card_pollen_carousel_cancel;Abbrechen
input_card_pollen_carousel_drag_end;Placeholder
input_card_pollen_carousel_drag_start;Placeholder
input_card_pollen_carousel_drag_update;Placeholder
input_card_pollen_carousel_edit_deck_name;Namen bearbeiten
input_card_pollen_carousel_mouse_clicked;Annehmen
input_card_pollen_carousel_mouse_double_clicked;Doppelklicken
input_card_pollen_carousel_mouse_moved;Placeholder
input_card_pollen_carousel_mouse_scroll;Scrollen
input_card_pollen_carousel_remove_item;Löschen
input_card_pollen_carousel_reveal_all;ALLE ENTHÜLLEN
input_card_pollen_carousel_reveal_card;KARTE ENTHÜLLEN
input_card_pollen_carousel_reveal_mouse_clicked;Karte enthüllen
input_card_pollen_carousel_right_click;Löschen
input_card_pollen_carousel_right_drag_end;Placeholder
input_card_pollen_carousel_right_drag_start;Placeholder
input_card_pollen_carousel_right_drag_update;Placeholder
input_card_previw_connected_cards_pad_scroll;Placeholder
input_card_selection_hide_view;Karten verbergen
input_card_selection_show_view;Karten zeigen
input_carousel_button_pressed;Placeholder
input_carousel_click_on_card;Placeholder
input_carousel_double_click;Placeholder
input_carousel_drag_ended;Placeholder
input_carousel_drag_started;Placeholder
input_carousel_drag_updated;Placeholder
input_carousel_right_drag_ended;Placeholder
input_carousel_right_drag_started;Placeholder
input_carousel_right_drag_updated;Placeholder
input_carousel_scroll;Placeholder
input_carousel_select_card_on_left;Placeholder
input_carousel_select_card_on_right;Placeholder
input_change_leader;Fähigkeit wechseln
input_choose_all;Alle wählen
input_choose_current_card;Auswählen
input_choose_selected;Auswahl abschließen
input_clear_preview_board;Deck löschen
input_close_choice;Auswahl bestätigen
input_close_choice_click;Auswählen
input_close_credits;Zurück
input_close_current_preview;Zurück
input_close_game_results;Schließen
input_close_game_results_rewards;Weiter
input_close_mulligan;Neuziehen abschliessen
input_close_mulligan_click;Klicken
input_close_replay_window;Placeholder
input_close_reward_screen_preview;Zurück
input_close_single_card_description;Vorschau schließen
input_collection_accept;Herstellen
input_collection_cancel;Zurück
input_collection_card_preview_cancel;Placeholder
input_collection_card_preview_craft;Herstellen
input_collection_card_preview_mill;Mahlen
input_collection_card_preview_undo;Placeholder
input_collection_card_preview_upgrade;Transmutieren
input_collection_card_upgrade_premium;Auf Premium verbessern
input_collection_change_faction_accept;Placeholder
input_collection_change_faction_cancel;Placeholder
input_collection_close_filters;Filter schließen
input_collection_craft_accept;Placeholder
input_collection_craft_cancel;Placeholder
input_collection_is_scrolled_by_wheel;Placeholder
input_collection_mill_spares;Überzählige Karten mahlen
input_collection_open_card_preview;Herstellung/Vorschau
input_collection_open_change_faction;Fraktion wechseln
input_collection_open_filters;Filter
input_collection_preview_is_scrolled_by_wheel;Placeholder
input_collection_reset_filters;Filter zurücksetzen
input_collection_scroll_by_stick;Placeholder
input_collection_scroll_mouse_move;Placeholder
