arena_event_desc_crimson_curse;Maldição Carmesim\n\nGaunter é um grande admirador de magia negra e rituais sangrentos. Neste desafio, sua reserva de cartas está limitada às cartas da expansão Crimson Curse.
arena_event_desc_elf;Temporada do Elfo\n\nEste modo permite que você jogue partidas de temporada fora dos limites comuns de construção de baralho.
arena_event_desc_ep3;Iron Judgment!\n Durante este evento, a seleção de cartas é limitada a somente cartas da expansão Iron Judgment!
arena_event_desc_full_spectrum;Espectro total\n\nPor que se limitar a uma só cor? Neste desafio, cada conjunto que você escolher consistirá em cartas de raridades variadas.
arena_event_desc_gold;Febre do ouro\n\nOs heróis mais conhecidos do mundo se enfrentam. Quem vai levar a vitória? Apenas cartas de ouro estão disponíveis durante este desafio.
arena_event_desc_leader_challenge;Lidere o caminho!\n\n Gaunter respeita aqueles com verdadeiro poder. Neste modo, o único líder disponível e o vencedor do desafio de líder.
arena_event_desc_leader_first;Lidere o caminho! \n\n Neste Modo de Arena Especial, os líderes são escolhidos no início da seleção de cartas.
arena_event_desc_magic;Temporada da Magia\n\nEste modo permite que você jogue partidas de temporada fora dos limites comuns de criação de baralho.
arena_event_desc_monsters;Lei da selva\n\nSó o mais forte sobrevive. Apenas cartas de Monstros estão disponíveis durante este desafio.
arena_event_desc_nilfgaard;Entretenimento na corte\n\nA corte imperial abriga mais perigo que a maioria dos campos de batalha. Apenas cartas de Nilfgaard estão disponíveis durante este desafio.
arena_event_desc_northern;Confronto de reis\n\nReis gananciosos se atacando de novo. Apenas cartas de Reinos do Norte estão disponíveis durante este desafio.
arena_event_desc_one_life;Morte súbita\n\nFalhar não é uma opção! Neste desafio, basta uma derrota para acabar com a sua série na Arena.
arena_event_desc_scoia;Guerra das Raças Ancestrais\n\nAntes do surgimento dos homens, as Raças Ancestrais lutaram para dominar o continente. Apenas cartas de Scoia'tael estão disponíveis durante este desafio.
arena_event_desc_silver;A trilha de prata\n\nMuitos heróis esperaram pela chance de glória. Agora a hora deles chegou! Apenas cartas de prata estão disponíveis durante este desafio.
arena_event_desc_skellige;Clã Encrenca\n\nA combatividade dos Skelligers é lendária. Apenas cartas de Skellige estão disponíveis durante este desafio.
arena_event_desc_swap;Mímica\n\nTransforme a força do seu oponente em vantagem para você! Neste desafio, jogue com o baralho do seu oponente, em vez do seu.
arena_event_desc_syndicate;Sindicato!\n\nGaunter adora figuras estranhas, crime organizado e desordem. Neste desafio, as cartas disponíveis estão limitadas exclusivamente à facção do Sindicato.
arena_event_desc_viper;Temporada da Víbora\n Este modo permite que você jogue partidas de temporada fora dos limites comuns de construção de baralho.
arena_event_four_kind;Quarteto Bombástico\n\nAs massas vulgares entraram na Arena! Neste desafio, só cartas com custo de recrutamento de 4 podem ser usadas.
arena_event_mode_classic_title;PADRÃO
arena_event_mode_special_title;ESPECIAL
arena_matchmaking_panel_match_found_text;Ah! Isso deve ser interessante!
arena_matchmaking_panel_searching_text;Buscando um rival digno...
arena_panel_abandon;Quebrar o contrato
arena_panel_abandon_confirmation_text;Tem certeza de que deseja sair da Arena? Após quebrar o pacto atual, você não poderá voltar a ele.
arena_panel_abandon_confirmation_title;Quebrando o pacto
arena_panel_build_deck_cards_hint_text;Neste modo, você montará um baralho com todas as cartas disponíveis. Não há restrições de facção. Por isso, é aconselhável escolher cartas que possuam valor alto por si mesmas e que não dependam de outras cartas.
arena_panel_build_deck_cards_hint_title;Quais cartas eu devo escolher?
arena_panel_build_deck_deck_hint_text;Tirando o número total de cartas no baralho, não há restrições. Use quantas cartas de ouro e de prata você quiser.
arena_panel_build_deck_deck_hint_title;Existe alguma restrição de baralho?
arena_panel_build_deck_title;Construa seu baralho
arena_panel_card_select_fail_text;Ocorreu um erro durante a seleção de carta. Construa seu baralho novamente.
arena_panel_card_select_fail_title;Erro na seleção da carta
arena_panel_choose_ability_subtitle;Escolha uma habilidade
arena_panel_choose_leader_subtitle;Escolha um líder
arena_panel_deck_build_hint_text;Neste modo, você montará um baralho com todas as cartas disponíveis. Não há restrições de facção. Por isso, é aconselhável escolher cartas que possuam valor alto por si mesmas e que não dependam de outras cartas.
arena_panel_deck_create_fail_text;Ocorreu um erro durante a construção de baralho. Tente novamente.
arena_panel_deck_create_fail_title;Erro na construção de baralho
arena_panel_deck_info_title;Detalhes do baralho
arena_panel_encounter_info_battle_text;As regras do jogo são as mesmas de sempre: para vencer, obtenha mais pontos do que o seu oponente em duas das três rodadas.
arena_panel_encounter_info_battle_title;Regras
arena_panel_encounter_info_losses;Derrotas
arena_panel_encounter_info_rules_text;Lute contra as outras pobres almas que fizeram um pacto com Gaunter O'Dim. Quanto mais oponentes você derrotar, melhores serão as recompensas. O jogo termina quando você tiver perdido três vezes ou vencido nove vezes.
arena_panel_encounter_info_rules_title;Regras do pacto
arena_panel_encounter_info_wins;Vitórias
arena_panel_exit;Sair
arena_panel_intro_requirements_title;Custo de participação
arena_panel_intro_requirements_title_after_closing;Novo modo de seleção em breve
arena_panel_intro_rules_text;Lute contra as outras pobres almas que fizeram um pacto com Gaunter O'Dimm. Quanto mais oponentes você derrotar, melhores serão as recompensas. O jogo termina quando você tiver perdido três vezes ou vencido nove vezes.
arena_panel_intro_rules_text_after_closing;O modo de arena foi fechado no dia 13 de outubro. Após o seu fechamento, você recebeu 15 de minério para cada fragmento de espelho em posse, além de recompensas adicionais para qualquer arena não concluída. Para obter detalhes, acesse a seção de notícias em playgwent.com
arena_panel_intro_rules_text_before_closing;Quanto mais adversários você derrota, melhores são as recompensas!\nA arena termina quando você perde três vezes ou ganha nove vezes.\nA arena acaba em breve™️. Para obter detalhes, confira a seção de notícias em playgwent.com
arena_panel_intro_rules_title;Regras do pacto
arena_panel_intro_rules_title_after_closing;A arena virará modo de seleção
arena_panel_intro_rules_title_before_closing;Regras do pacto (acaba em breve™️)
arena_panel_intro_text;Então você quer jogar com as minhas regras? Sábia decisão! Fama, poder e riqueza aguardam você. Você só precisa assinar aqui. Ah, e pode ignorar as letrinhas miúdas. Não é nada importante, não.
arena_panel_intro_welcome;Bem-vindo ao modo Arena
arena_panel_loading_abandon_popup_text;Gaunter O'Dim está considerando seu pedido...
arena_panel_loading_abandon_popup_title;Quebrando o pacto
arena_panel_loading_popup_text;Só mais algumas formalidades e podemos começar...
arena_panel_loading_popup_title;Assinando o pacto
arena_panel_payment_confirmation_fail_text;Houve um problema ao confirmar seu pagamento. Verifique sua conexão e tente novamente.
arena_panel_payment_confirmation_fail_title;Erro de rede
arena_panel_payment_confirmation_text;Tem certeza de que deseja pagar a taxa de inscrição?
arena_panel_payment_confirmation_title;Taxa de inscrição
arena_panel_preview;Visualizar
arena_panel_select;Selecionar
arena_panel_select_card_subtitle;Escolha uma carta:
arena_panel_sort_cards;Ordenar
arena_panel_ticket_consume_fail_text;A entrada na Arena não deu certo. Seu Estilhaço de Espelho não foi gasto.
arena_panel_ticket_consume_fail_title;Ops! Há algo errado!
arena_panel_title;Arena
arena_popup_not_enough_gold_text;Você não tem minério o bastante para comprar um Estilhaço de Espelho!
arena_popup_not_enough_gold_title;Minério insuficiente
arena_rewards_description;Os termos do pacto foram cumpridos. A recompensa é sua. Foi um prazer fazer negócios com você!
arena_rewards_description_high;Um espetáculo impressionante. Inspirador! Acredito que você achará a recompensa mais do que satisfatória.
arena_rewards_description_low;É, eu admito que esperava mais. Mas não tema. Você não sairá de mãos abanando.
arena_rewards_description_medium;Os termos do pacto foram cumpridos e a recompensa é sua. Foi um grande prazer fazer negócios com você!
arena_rewards_play_again;Jogar novamente
arena_rewards_timeout_description;Não se preocupe, você não perdeu nada. Conecte-se à internet e reinicie o jogo. As recompensas estarão na sua conta.
arena_rewards_timeout_title;Ops! Há algo errado!
arena_rewards_title;Recompensas
arena_v2_set_wombo_combo_card_draw;Comprar carta
arenav2_abandon_popup_description;Elabore um novo baralho. Sua sessão atual será concluída. Você receberá uma recompensa com base no seu desempenho na sessão.
arenav2_abandon_popup_title;Abandonar
arenav2_abandon_tooltip;Abandonar
arenav2_battlepicker_play;Jogar
arenav2_battlepicker_wins_counter;Ganha na seleção atual
arenav2_draft_action_add;Adicionar x {0}\nDesbloqueado após {1} partidas
arenav2_draft_action_add_remove;Adicionar e remover x {0}\nDesbloqueado após {1} partidas
arenav2_draft_actions_group_tooltip;Ações após partidas
arenav2_draft_choice_ability_title;Escolher habilidade
arenav2_draft_choice_cardset_title;Escolher conjunto
arenav2_draft_choice_corecard_title;Escolher carta
arenav2_draft_choice_pick;Escolher
arenav2_draft_choice_remove;Remover
arenav2_draft_choice_stratagem_title;Escolher estratégia
arenav2_draft_deck_group_tooltip;Seu baralho
arenav2_draft_error_entry_exception_description;Ocorreram alguns problemas ao iniciar a seleção, repita ou tente mais tarde.
arenav2_draft_error_entry_exception_title;Vamos tentar novamente
arenav2_draft_error_invalid_state_description;Aconteceu algo de errado na sua última seleção. As coisas devem ficar melhor com esta nova. 
arenav2_draft_error_invalid_state_title;Vamos selecionar novamente
arenav2_draft_error_unknown_exception_description;Houve algum erro na sua seleção. Repita ou tente em breve.
arenav2_draft_error_unknown_exception_title;Problema na seleção
arenav2_draft_remove_cardset_title;Remover conjunto
arenav2_draft_remove_corecard_title;Remover carta
arenav2_enter_cycle_subtitile;Crie um baralho em constante mudança e lute contra outros jogadores
arenav2_enter_cycle_titile;Entrar no ciclo
arenav2_entrypopup_button_subtitle;Use seu ingresso grátis hoje!
arenav2_entrypopup_button_title;Jogue agora!
arenav2_entrypopup_subtitle;Comemore o modo Seleção saindo do acesso antecipado
arenav2_entrypopup_title;Modo Seleção
arenav2_error_popup_title;A seleção estava em um estado inválido
arenav2_exitpopup_cancel;Cancelar
arenav2_exitpopup_exit;Sair
arenav2_exitpopup_exit_description;Salve a seleção e volte para o menu principal.
arenav2_exitpopup_newdraft;Nova seleção
arenav2_exitpopup_newdraft_description;Selecione um novo baralho. A seleção atual será encerrada.
arenav2_exitpopup_title;Sair ou escolher nova seleção?
arenav2_force_update_popup_exit_description;Volte para o menu principal.
arenav2_force_update_popup_redraft_description;Inicie uma nova seleção com a versão mais recente.
arenav2_force_update_popup_title;Sua seleção atual está desatualizada.
arenav2_mainmenu_subtitle;Acesso antecipado
arenav2_mainmenu_title;Seleção
arenav2_newdraft_disabled_tooltip;Partidas até desbloquear uma nova seleção: {0}
arenav2_optin_update_notification_description;A nova versão de seleção está disponível! É possível continuar com a seleção atual, apesar da nova versão oferecer atualizações de balanceamento e/ou mecânicas limitadas especiais. A versão de seleção atual será encerrada em breve.
arenav2_play_menu_description;Boas-vindas à Seleção. Dispute com outros jogadores neste modo de construção de baralho em constante mudança.
arenav2_play_menu_title;Seleção
arenav2_rewards_timeout_description;Falha ao exibir as recompensas
arenav2_rewards_timeout_title;Erro ao exibir recompensas
arenav2_show_deck_tooltip;Mostrar baralho
arenav2_summary_newdraft;Selecionar novamente
arenav2_summary_rewards;Suas recompensas:
arenav2_summary_title;O ciclo está completo
arenav2_summary_wins;Vitórias
arenav2_ticket_entry_desc;Use o seu bilhete para entrar
arenav2_ticket_purchase_pay_now;Pagar agora
arenav2_ticket_purchase_title;Pegar seu bilhete
available_quantity;Disponível para compra: {0}x
avatar_bran_s05_r20;Avatar Bran Tuirseach
avatar_bran_s05_r20_additional_description;Recompensa por alcançar o ranking 20 no jogo classificatório, temporada de Mahakam (fevereiro).
avatar_bran_s05_r20_description;Dizem que seria mais fácil o mar furioso na costa dos Skellige se curvar a um governante do que seus habitantes o fazerem. Mas eles se curvaram para Bran. Ele uniu todos os clãs das ilhas sob seu poder e os manteve unidos com punho de ferro até a sua morte.
avatar_calveit_s06_r10;Avatar Jan Calveit
avatar_calveit_s06_r10_additional_description;Recompensa por alcançar o ranking 10 no jogo classificatório, temporada do Urso (março).
avatar_calveit_s06_r10_description;O Imperador Jan Calveit tinha um vasto horizonte intelectual. Ele se envolveu com diversas disciplinas acadêmicas, sobretudo medicina e astrologia. Seus críticos reclamavam que seus hobbies não tinham aplicação prática, até a hora em que perceberam como estavam errados...
avatar_ciri;Avatar Ciri
avatar_ciri_additional_description;Disponível a todos.
avatar_ciri_description;Uma mulher de muitas faces. Para o público era a filha do Imperador Emhyr var Emreis, treinada na Escola do Lobo, filha do Sangue Ancestral e Dama do Espaço e do Tempo. Para aqueles que a conhecem de verdade, uma encrenqueira provocadora que não deixava travessuras passarem despercebidas.
avatar_ciri_s02_r10;Avatar Ciri (Traje de Skellige)
avatar_ciri_s02_r10_additional_description;Recompensa por alcançar o ranking 15 no jogo classificatório, temporada do Gato (outubro).
avatar_ciri_s02_r10_description;Uma mulher de muitas faces. Para o público era a filha do Imperador Emhyr var Emreis, treinada na Escola do Lobo, filha do Sangue Ancestral e Dama do Espaço e do Tempo. Para aqueles que a conhecem de verdade, uma encrenqueira provocadora que não deixava travessuras passarem despercebidas.
avatar_ciriempress;Avatar Imperatriz Ciri
avatar_ciriempress_additional_description;Recompensa especial
avatar_ciriempress_description;A corte imperial de Nilfgaard ficou surpresa com a renúncia repentina do imperador. Agora, o poder do trono passou para a sua filha legítima, Cirilla Fiona Elen Riannon.
avatar_cow;Avatar Vaca Premiada
avatar_cow_additional_description;Recompensa oculta
avatar_cow_description;A mais bovina dos bovinos, ruminante dos ruminantes, ganhadora de numerosas Fitas Azuis da feira do Condado de Velen e prêmios Miss Simpatia. Esta Vaca Premiada se alimenta de uma dieta rigorosa de grão sem glúten e água destilada.
avatar_dagon_s05_lvl1;Avatar Dagon
avatar_dagon_s05_lvl1_additional_description;Recompensa por completar a temporada de Mahakam (fevereiro) na posição de 1 a 10.000 do jogo classificatório.
avatar_dagon_s05_lvl1_description;Entranhados na escuridão eterna do abismo, poderes mais antigos que os homens e elfos jazem adormecidos, aguardando um momento conhecido apenas por eles. Quando essa hora chegar, eles despertarão e trarão fim ao mundo. Um desses seres leva o nome de Dagon.
avatar_dandelion;Avatar Dandelion
avatar_dandelion_additional_description;Disponível a todos.
avatar_dandelion_description;Oficialmente: Julian Alfred Pankratz, Visconde de Lettenhove. Poeta, trovador, escritor e conquistador dos corações das donzelas. Em particular: caro amigo do bruxo Geralt de Rívia, com um talento extraordinário para se meter em encrenca.
avatar_dandelion_s01_r15;Avatar Dandelion (The Witcher 2)
avatar_dandelion_s01_r15_additional_description;Recompensa por alcançar o ranking 15 no jogo classificatório, temporada do Amor (fevereiro).
avatar_dandelion_s01_r15_description;Oficialmente: Julian Alfred Pankratz, Visconde de Lettenhove. Poeta, trovador, escritor e conquistador dos corações das donzelas. Em particular: caro amigo do bruxo Geralt de Rívia, com um talento extraordinário para se meter em encrenca.
avatar_eredin_s03_r20;Avatar Eredin (Sem Elmo)
avatar_eredin_s03_r20_additional_description;Recompensa por alcançar o ranking 15 no jogo classificatório, temporada da Caçada Selvagem (dezembro)
avatar_eredin_s03_r20_description;Rei da Caçada Selvagem e usurpador do trono de Tir ná Lia. Ele assassinou o rei anterior dos Aen Elle, convencido de que o antigo governante não estava preparado para enfrentar a ameaça da Geada Branca. Eredin é implacável, e fará de tudo para salvar seu povo.
avatar_eredinghost;Avatar Eredin (Rei da Caçada Selvagem)
avatar_eredinghost_additional_description;Recompensa especial
avatar_eredinghost_description;À frente da cavalgada, vinha o Rei da Caçada. Um bacinete enferrujado balança sobre uma máscara de esqueleto com as covas dos olhos queimando um fogo azul.
avatar_foltest_s06_lvl1;Avatar Foltest
avatar_foltest_s06_lvl1_additional_description;Recompensa por completar a temporada do Urso (março) na posição de 1 a 10.000 do jogo classificatório.
avatar_foltest_s06_lvl1_description;Adorado por seus súditos, respeitado por seus nobres e amado por suas mulheres, o Rei Foltest tinha tudo o que um monarca poderia desejar, mas abriu mão de tudo pelo amor proibido por sua irmã, Adda. Ele nunca se arrependeu da decisão, nem quando a filha resultante dessa relação ilícita acabou sendo uma estrige...
avatar_foxtriss;Avatar Triss (Máscara de Baile)
avatar_foxtriss_additional_description;Recompensa especial
avatar_foxtriss_description;Apesar do baile de máscaras na residência dos Vegelbud ter sido apenas um pretexto para livrar mais uma alma infeliz do perigo, a feiticeira fez o possível para ficar bem apresentável... Principalmente para o Geralt.
avatar_francessca_s05_r10;Avatar Francesca Findabair
avatar_francessca_s05_r10_additional_description;Recompensa por alcançar o ranking 10 no jogo classificatório, temporada de Mahakam (fevereiro).
avatar_francessca_s05_r10_description;Francesca Findabair, conhecida como a Margarida do Vale, é amplamente considerada a mulher mais bela do mundo. Seus charmes físicos são comparáveis apenas ao seu enorme talento mágico e instintos políticos afiados. Durante a Segunda Guerra do Norte, ela assinou um pacto com o Império Nilfgaardiano que deixou os elfos livres reconstruírem um reino próprio em Dol Blathanna.
avatar_geralt;Avatar Geralt (The Witcher 3)
avatar_geralt_additional_description;Disponível a todos.
avatar_geralt_classic;Avatar Geralt (The Witcher 1)
avatar_geralt_classic_additional_description;Recompensa pela participação no Beta fechado.
avatar_geralt_classic_description;Tido como morto, Geralt voltou ao mundo dos vivos – sem memória. Seus irmãos da Escola do Lobo cuidaram dele para que voltasse à saúde e, então, ele saiu em uma jornada pelo continente em busca dos segredos de bruxo roubados – e de sua identidade perdida.
avatar_geralt_description;O lendário bruxo, Geralt de Rívia, o Lobo Branco. Ficou famoso como o melhor espadachim do norte e matador de monstros sem igual. É difícil dizer se foram escritas mais baladas sobre suas batalhas contra feras sedentas por sangue, ou sobre seus romances tempestuosos com feiticeiras...
avatar_geralt_s03_lvl1;Avatar Geralt (Intoxicado com Poções)
avatar_geralt_s03_lvl1_additional_description;Recompensa por alcançar o ranking 15 no jogo classificatório, temporada do Lobo (janeiro).
avatar_geralt_s03_lvl1_description;Muitas lendas são contadas sobre as poções de bruxo e como elas concedem força sobre-humana, agilidade felina e sentidos aguçados. Mas poucos sabem que elas também são extraordinariamente tóxicas - homens comuns são incapazes de sobreviver aos seus efeitos, e os próprios bruxos devem ficar atentos à sua dosagem.
avatar_harald_s06_r20;Avatar Harald, o Aleijado
avatar_harald_s06_r20_additional_description;Recompensa por alcançar o ranking 20 no jogo classificatório, temporada do Urso (março).
avatar_harald_s06_r20_description;Como guerreiro, Harald era absurdamente pouco notável. E então, um urso destroçou a perna dele e o osso se curou torto. Depois disso, cada passo causava a ele uma dor agonizante... e ele passou a lutar melhor que antes. Ele alegou que a garra do sofrimento constante se afiou de modo imbatível.
avatar_imlerith;Avatar Imlerith
avatar_imlerith_additional_description;Disponível a todos.
avatar_imlerith_description;Prova viva de que nem todos os elfos Aen Elle são refinados. Imlerith adora prazeres simples – e soluções simples. De preferência as que dão a ele a chance de empunhar a sua maça de duas mãos.
avatar_imlerith_s01_lvl1;Avatar Imlerith (Sem Elmo)
avatar_imlerith_s01_lvl1_additional_description;Recompensa por alcançar o ranking 15 no jogo classificatório, temporada do Guerreiro (setembro).
avatar_imlerith_s01_lvl1_description;Prova viva de que nem todos os elfos Aen Elle são refinados. Imlerith adora prazeres simples – e soluções simples. De preferência as que dão a ele a chance de empunhar a sua maça de duas mãos.
avatar_iorveth;Avatar Iorveth
avatar_iorveth_additional_description;Disponível a todos.
avatar_iorveth_description;Famoso lutador da liberdade dos não humanos e líder do comando Scoia'tael. Convencido de que os fins justificam os meios e disposto a fazer qualquer coisa pela causa dos elfos. É um idealista que esconde seus sentimentos tão bem quanto esconde a terrível cicatriz em seu rosto.
avatar_iorveth_s02_r20;Avatar Iorveth (Sem Cicatriz)
avatar_iorveth_s02_r20_additional_description;Recompensa por alcançar o ranking 15 no jogo classificatório, temporada dos Elfos (abril).
avatar_iorveth_s02_r20_description;Famoso lutador da liberdade dos não humanos e líder do comando Scoia'tael. Convencido de que os fins justificam os meios e disposto a fazer qualquer coisa pela causa dos elfos. É um idealista que esconde seus sentimentos tão bem quanto esconde a terrível cicatriz em seu rosto.
avatar_iorwethsquirrel;Avatar Iorveth (com esquilo)
avatar_iorwethsquirrel_additional_description;Recompensa especial
avatar_iorwethsquirrel_description;Scoia'tael ainda rondam as matas do norte, prontos para atacar desavisados na Estrada Real. O mais infame e odiado entre eles é Iorveth, o líder do último comando livre.
avatar_letho_s04_lvl1;Avatar Letho
avatar_letho_s04_lvl1_additional_description;Recompensa por alcançar o ranking 15 no jogo classificatório, temporada da Víbora (maio).
avatar_letho_s04_lvl1_description;Regicida. Aberração. Monstro. É essa a visão da maioria dos nortenhos em relação a Letho depois do seu papel no assassinato de dois reis, eventos que mergulharam os Reinos do Norte no caos. Não são muitos os que sabem que essa montanha de músculos também é um mestre estrategista cujas ações resultaram em um propósito solitário: promover o bem da escola da víbora.
avatar_odrin_h01;Avatar Odrin
avatar_odrin_h01_additional_description;Recompensa por completar Desafios do Festival da Cerveja de Mahakam no modo Padrão.
avatar_odrin_h01_description;O maior beberrão que há do Yaruga até as Montanhas do Dragão. Kaedweni nativo. Ele não fez nada notável como um soldado a serviço do Rei Henselt, mas ganhou fama como bandido e andarilho - entorpecido de álcool ele visitou a maior parte do mundo conhecido e sobreviveu a diversas aventuras estranhas, embora ele não se lembrasse de nada delas depois de acordar.
avatar_phoenix_h03;Avatar Fênix
avatar_phoenix_h03_additional_description;Recompensa por concluir desafios de caçada de Solstício de Inverno no modo Especialista.
avatar_phoenix_h03_description;Como o sol diariamente, a fênix morre apenas para renascer. Até os bruxos sabem pouco a respeito dessas criaturas misteriosas - muitos até acreditam que elas são apenas fantasias da imaginação humana. Embora sejam raras, elas existem de fato e suas penas são itens de enorme valor.
avatar_radovid_s04_r10;Avatar Rei Radovid
avatar_radovid_s04_r10_additional_description;Recompensa por alcançar o ranking 10 no jogo classificatório, temporada do Lobo (janeiro).
avatar_radovid_s04_r10_description;Radovid, o Inflexível, Quinto de Seu Nome, Rei da Redânia, foi uma figura polêmica. Alguns o consideravam um estrategista brilhante e general soberbo. Outros, um louco sanguinário e paranoico. A verdade, como de costume, está entre os dois extremos.
avatar_regis_h02;Avatar Regis
avatar_regis_h02_additional_description;Recompensa por completar os Desafios de Saovine: Festa dos Mortos no modo Padrão.
avatar_regis_h02_description;Regis (ou, para aqueles que não gostam de brevidade, Emiel Regis Rohellec Terzieff-Godefroy) é um vampiro superior poderoso e amigo próximo de Geralt de Rívia. Atualmente, seu comportamento é calmo, quase acadêmico. Mas, na juventude, ele se deliciava em crueldade e se banhava em sangue para saciar sua sede, até que um certo incidente infeliz o convenceu a mudar...
avatar_saskia;Avatar Saskia
avatar_saskia_additional_description;Recompensa por alcançar o ranking 15 no jogo classificatório, temporada do Draconídeo (agosto).
avatar_saskia_description;Saskia é conhecida pelo povo do Norte por muitos nomes: a Matadora de Dragões, Virgem de Aedirn, Esperança do Povo. Poucos sabem, no entanto, que sob o disfarce de guerreira valente que luta pela causa da coexistência racial esconde-se um dragão de nome Saesenthessis.
avatar_shadow;Avatar Maerolorn
avatar_shadow_additional_description;Recompensa por concluir uma série na Arena usando Gaunter O'Dim de sua mão.
avatar_shadow_description;Além do nosso mundo, existem muitos outros. Alguns são parecidos com o nosso: lindos, férteis. Contudo, há outros que os olhos humanos jamais deveriam testemunhar. Paisagens apavorantes habitadas por seres vis formados nas sombras, sedentos por almas e sangue humano. O infortúnio segue aqueles que entram nesses domínios...
avatar_skelligegeralt;Avatar Geralt (à la Skellige)
avatar_skelligegeralt_additional_description;Recompensa especial
avatar_skelligegeralt_description;Geralt passou por vários lugares em suas viagens, mas em nenhum se sentia tão contente quanto nas ilhas Skellige. Os ilhéus eram frequentemente considerados brutos, mas, diferente dos povos do continente, eles sempre respeitaram o bruxo.
avatar_triss;Avatar Triss Merigold
avatar_triss_additional_description;Disponível a todos.
avatar_triss_description;Uma feiticeira diferente das outras: direta, amigável e de riso fácil. Autora de muitos feitiços incomuns que nem os grandes mestres da magia conseguem repetir. Seus muitos charmes lhe renderam a estima de vários homens – incluindo quase todos os bruxos da Escola do Lobo.
avatar_triss_s01_r21;Avatar de Triss
avatar_triss_s01_r21_additional_description;Recompensa por alcançar o ranking 15 no jogo classificatório, temporada da Dríade (julho).
avatar_triss_s01_r21_description;Uma feiticeira diferente das outras: direta, amigável e de riso fácil. Autora de muitos feitiços incomuns que nem os grandes mestres da magia conseguem repetir. Seus muitos charmes lhe renderam a estima de vários homens – incluindo quase todos os bruxos da Escola do Lobo.
avatar_vernonroche_s04_r20;Avatar Vernon Roche
avatar_vernonroche_s04_r20_additional_description;Recompensa por alcançar o ranking 15 no jogo classificatório, temporada do Urso (março).
avatar_vernonroche_s04_r20_description;Vernon Roche teve uma criação difícil, forçado a trilhar o seu próprio caminho sem a ajuda de ninguém. Sua história teria certamente acabado de modo trágico, se não tivesse chamado a atenção do Rei Foltest em um dia fatídico. A partir desse momento, Vernon serviu fielmente a Foltest como comandante das forças especiais temerianas e aniquilador dos inimigos de seu país.
avatar_yennefer;Avatar Yennefer de Vengerberg
avatar_yennefer_additional_description;Disponível a todos.
avatar_yennefer_description;Feiticeira lendária, sempre vestida de preto e branco e envolta numa névoa de lavanda e groselha. Famosa pela sua suprema inteligência – e sua língua afiada. O grande amor do bruxo Geralt de Rívia.
avatar_yennefer_s02_lvl1;Avatar de Yennefer
avatar_yennefer_s02_lvl1_additional_description;Recompensa por alcançar o ranking 15 no jogo classificatório, temporada da Magia (junho).
avatar_yennefer_s02_lvl1_description;Feiticeira lendária, sempre vestida de preto e branco e envolta numa névoa de lavanda e groselha. Famosa pela sua suprema inteligência – e sua língua afiada. O grande amor do bruxo Geralt de Rívia.
avatar_zoltan_s03_r10;Avatar Zoltan (Domador de Animais)
avatar_zoltan_s03_r10_additional_description;Recompensa por alcançar o ranking 15 no jogo classificatório, temporada de Mahakam (novembro).
avatar_zoltan_s03_r10_description;Um amigo leal de Geralt de Rívia e veterano da 2ª Guerra de Nilfgaard. Ele era dono de um papagaio falante chamado Marechal de Campo Duda, a quem ensinou os mais criativos expletivos anões.
avatars_section;Avatares
back;Voltar
bad_request;Protocolo de erro.
bad_request_title;Erro de solicitação
battle_results_rewards_timeout_description;Falha ao exibir recompensas no resumo da partida. Repare que seu progresso e recompensas foram adicionados mesmo assim.
battle_results_rewards_timeout_title;Exibir erro de recompensas
bearly_balanced_seasonal_mode_desc;Seu baralho é substituído por 16 Ursos Anciãos com poder diferente. As habilidades do líder são desativadas.
bearly_balanced_seasonal_mode_title;Equilíbrio Ursino
beginner_loading_screen_hint_1;As cartas na sua mão são passadas para as próximas rodadas.
beginner_loading_screen_hint_10;Os guerreiros de Skellige prosperam com as feridas próprias e dos inimigos!
beginner_loading_screen_hint_11;Tome cuidado com as estratégias de emboscada e as armadilhas de Scoia'tael!
beginner_loading_screen_hint_12;Tente construir combinações ao redor de ligações e cartas específicas.
beginner_loading_screen_hint_13;Você pode editar os baralhos no construtor de baralhos.
beginner_loading_screen_hint_14;Lembre-se de gastar seus pontos de recompensa no Livro de Recompensas!
beginner_loading_screen_hint_15;As cartas são feitas com restos. Obtenha restos destruindo cartas adicionais.
beginner_loading_screen_hint_16;As cartas Premium (animadas) exigem pó de meteorito para serem fabricadas.
beginner_loading_screen_hint_17;Lojø venderá barris repletos de cartas, se você levar um pouco de minério.
beginner_loading_screen_hint_18;Ao abrir um barril de cartas, você recebe uma carta final dentre 3 opções!
beginner_loading_screen_hint_19;Está perdido? Descubra novos baralhos na Biblioteca de Gwent em playgwent.com!
beginner_loading_screen_hint_2;As cartas só se atacam usando habilidades
beginner_loading_screen_hint_20;Se você gostou do jogo, não se esqueca de avisar que gostou!
beginner_loading_screen_hint_21;Lembre-se, você precisa ganhar duas das três rodadas. Não tem problema perder uma delas!
beginner_loading_screen_hint_22;Você compra até 3 cartas no início de cada rodada.
beginner_loading_screen_hint_23;No início de cada partida, você pode recomprar até 2 cartas.
beginner_loading_screen_hint_24;Você não pode ter mais do que 10 cartas na mão.
beginner_loading_screen_hint_25;Tome cuidado ao usar cartas com restrições de uso de fileira em suas habilidades!
