_inputshopbuymultiple;ACHETER
challenge_faction_5_leader_2_match_1;Arts de la diplomatie
challenge_faction_5_leader_2_match_1_desc;Morvran Voorhis aimait se tenir informé des activités de ses ennemis. À cette fin, il leur écrivait de nombreuses lettres interminables. Leur contenu n'était que formulations pompeuses et sornettes sans intérêt, mais les émissaires mandatés pour les remettre gardaient les yeux grand ouverts…
challenge_faction_5_leader_2_match_1_strategy;Les guerriers de Crach peuvent devenir très puissants si vous les laissez faire. Tentez de les éliminer du plateau dès que possible.
challenge_faction_5_leader_2_match_1_strategy_2;Voorhis vous permet de révéler des cartes dans la main de votre adversaire. Utilisez-le pour prédire ses coups. N'oubliez pas que vous pouvez aussi révéler vos propres cartes pour déclencher les capacités de vos unités.
challenge_faction_5_leader_2_match_2;Loyauté discutable
challenge_faction_5_leader_2_match_2_desc;Morvran Voorhis entretenait un vaste réseau d'espions doués travaillant pour l'empire… mais possédait aussi des officiers spéciaux au sein de la brigade Nausicaa chargés d'éliminer les agents assez bêtes pour trahir l'empire.
challenge_faction_5_leader_2_match_2_strategy;Brouver et ses nains se focalisent sur leur amélioration et leur renforcement mutuels. Détruisez ses unités pour déjouer cette stratégie.
challenge_faction_5_leader_2_match_2_strategy_2;Voorhis vous permet de révéler des cartes dans la main de votre adversaire. Utilisez-le pour prédire ses coups. N'oubliez pas que vous pouvez aussi révéler vos propres cartes pour déclencher les capacités de vos unités.
challenge_faction_5_leader_2_match_3;Agents doubles
challenge_faction_5_leader_2_match_3_desc;Voorhis ne respectait aucune règle à la guerre. Pour vaincre, il était prêt à faire cause commune avec n'importe qui, qu'il s'agisse de renégats d'écoles de sorceleurs, de criminels de guerre ou de mages rebelles. Une seule chose importait : la victoire.
challenge_faction_5_leader_2_match_3_strategy;Le Doyen des Invisibles et ses serviteurs tenteront de voler la force de vos unités. Améliorez vos troupes équitablement pour éviter de leur fournir des cibles juteuses.
challenge_faction_5_leader_2_match_3_strategy_2;Voorhis vous permet de révéler des cartes dans la main de votre adversaire. Utilisez-le pour prédire ses coups. N'oubliez pas que vous pouvez aussi révéler vos propres cartes pour déclencher les capacités de vos unités.
challenge_faction_5_leader_2_title;Voorhis
challenge_fundamentals;Didacticiel
challenge_fundamentals_1_desc;Apprenez les bases de Gwent : conditions de victoire, dynamique des manches, capacités des cartes, chefs, etc.
challenge_fundamentals_1_match_1;Mécaniques de base
challenge_fundamentals_1_match_2;Mécaniques avancées
challenge_fundamentals_1_match_3;Mécaniques spéciales
challenge_fundamentals_1_title;Didacticiel
challenge_intermediate;Gestion des cartes
challenge_intermediate_1_desc;Apprenez à gérer vos cartes : créer des jeux, fabriquer des cartes pour les ajouter dans votre collection, transmuter des cartes et acheter des cartes dans l'échoppe.
challenge_intermediate_1_match_1;Création d'un jeu
challenge_intermediate_1_match_2;Échoppe
challenge_intermediate_1_match_3;Fabrication de cartes
challenge_intermediate_1_title;Gestion des cartes
challenge_reward_completed;Défi terminé
challenges_back;Retour
challenges_select;Sélectionner
challenges_title;Défis
change_favourite_card;Modifier la carte
character_cards;Placeholder
character_name_gascon;Gascon
character_name_meve;Placeholder
character_title_gascon;Duc des chiens
character_title_meve;Reine de Lyrie et de Riv
chat_type_message;Saisir le message…
check_internet_connection;Connexion impossible. Vérifiez votre connexion Internet.
check_internet_connection_title;Erreur de connexion
check_last_transactions_not_finished;Nous finalisons vos transactions précédentes. Si ce message apparaît encore, veuillez contacter notre assistance technique.
check_last_transactions_not_finished_title;Transactions inachevées
chest_node_prompt_1_title;Vous accusez le katakan d'être le meurtrier.
chest_node_prompt_2_title;Vous accusez Syanna d'être la meurtrière.
chest_node_prompt_3_title;Vous accusez l'artiste de la Mandragore d'être le meurtrier.
chest_node_prompt_desc;Confirmez-vous ?\nDes perles seront utilisées si vous confirmez.
chinese_new_year_pack_card_text;Carte légendaire
chinese_new_year_pack_description;GWENT se met à l'heure du Nouvel An lunaire. Pour fêter l'événement, un lot du Nouvel An lunaire est maintenant disponible dans l'échoppe !
chinese_new_year_pack_title_begin;Lot du Nouvel An lunaire
chinese_new_year_title_summary;Lot du Nouvel An lunaire
chineseny_notification_buy;Le lot du Nouvel An lunaire est maintenant disponible à la vente !
chineseny_notification_open;Votre lot du Nouvel An lunaire n'attend plus que vous l'ouvriez !
chocolate_candies_currency_name;Cœur(s) en chocolat
christmaspack_card_text;Carte épique
christmaspack_description;Pour célébrer l'arrivée du solstice d'hiver, le troll Échøp met en vente un sac festif de cadeaux pour une durée limitée.
christmaspack_title_begin;Sac festif de cadeaux d'Échøp
christmaspack_title_summary;Sac festif de cadeaux d'Échøp
close;Fermer
close_game_rewards_warning_message;Passer le résumé des récompenses ?
close_game_rewards_warning_title;Passer les récompenses
collection;Collection de cartes
collection_summary_profile_panel;Collection
coming_soon;Prochainement
confirm_invite_fail_message;Impossible de confirmer la partie « Jouer avec un ami ».
confirm_invite_fail_title;Erreur de confirmation
conflict;La transaction a déjà été mise à jour.
conflict_title;Erreur de transaction
connection_lost;Service interrompu. Veuillez vérifier votre connexion.
connection_lost_title;Connexion perdue
contact_action_accept_challenge_to_duel;Accepter le défi
contact_action_accept_invite_friend;Accepter l'invitation
contact_action_cancel_challenge_to_duel;Annuler
contact_action_challenge_to_duel;Défier
contact_action_chat;Discuter
contact_action_decline_challenge_to_duel;Refuser le défi
contact_action_invite_friend;Inviter un ami
contact_action_invite_to_duel;Invitation
contact_action_remove_friend;Supprimer des amis
contact_action_remove_invite_friend;Décliner l'invitation
contact_action_view_profile;Voir le profil
contact_not_found;Contact introuvable.
contact_searching;Recherche en cours…
contact_status_in_collection;Parcourt la collection
contact_status_in_deck_builder;En train de construire son jeu
contact_status_in_main_menu;Dans le menu principal
contact_status_in_shop;En train de visiter l'Échoppe
contact_status_in_tutorial;En train de s'entraîner
contact_status_offline;Hors ligne
contact_status_online_not_in_gwent;GOG Galaxy
contact_status_playing_match;Joue à GWENT
contact_status_tb_browsing_camp;En train de parcourir le camp
contact_status_tb_exploring_aedirn;En train d'explorer Aedirn
contact_status_tb_exploring_aldersberg;En train d'explorer Aldersberg
contact_status_tb_exploring_angren;En train d'explorer Angren
contact_status_tb_exploring_lyria;En train d'explorer la Lyrie
contact_status_tb_exploring_mahakam;En train d'explorer Mahakam
contact_status_tb_exploring_rivia;En train d'explorer Riv
contact_status_tb_playing_thronebreaker;En train de jouer à Thronebreaker
contact_status_unknown;Inconnu
contacts_accept_invite_description;Voulez-vous vraiment accepter une invitation de {0} ?
contacts_accept_invite_description_key;Voulez-vous vraiment accepter une invitation de {0} ?
contacts_accept_invite_title;Accepter l'invitation
contacts_decline_invite_description;Voulez-vous vraiment refuser une invitation de {0} ?
contacts_decline_invite_title;Décliner l'invitation
contacts_remove_friend_description;Voulez-vous vraiment supprimer « {0} » de votre liste d'amis ?
contacts_remove_friend_title;Supprimer l'ami
contacts_section_friends;Amis
contacts_section_pending;En attente
contacts_section_recent;Récent
content_failed;Erreur
cosmetic_accept;Accepter
cosmetic_cancel;Quitter
cosmetic_collection_title;Babioles
cosmetic_locked;Verrouillé
cosmetic_unlocked;Déverrouillé
could_not_deserialize_error;Désérialisation des données du réseau impossible.
could_not_deserialize_error_title;Erreur de désérialisation
could_not_load_products;Désolés, nous ne sommes pas en mesure de charger les produits requis.
could_not_load_products_title;Aucun produit
couldnt_add_user_to_season_message;Désolés,  nous ne sommes pas en mesure d'ajouter votre profil à la saison en cours. Merci de réessayer plus tard !
couldnt_add_user_to_season_title;Impossible d'ajouter le joueur à la saison !
create_invite_fail_message;Impossible de créer une nouvelle invitation « Jouer avec un ami ».
create_invite_fail_title;Erreur de création de l'invitation
credits_group_gwent;ÉQUIPE DE GWENT
crossplay_back;Retour
crossplay_continue;Continuer
crossplay_off;JEU MULTIPLATEFORME DÉSACTIVÉ
crossplay_on;JEU MULTIPLATEFORME ACTIVÉ
crossplay_toggle;ACTIVER/DÉSACTIVER
current_rank_profile_panel;Rang
custom_deck_key;Jeu personnalisé
daily_login_bonus_description_android_celebration;Obtenez <size=120%><sprite="PopupIcons" name="RewardPoint"></size><color=#3ddc84>x1 BONUS</color> quotidien pour {0}
daily_login_bonus_information_android_celebration;Pour fêter l'arriver du jeu sur la plateforme Android, nous organisons un événement spécial pour cette première semaine depuis le lancement. \n\nChaque jour où vous vous connecterez, vous recevrez <size=120%><sprite="PopupIcons" name="RewardPoint"></size> <b><color=#3ddc84>x1 BONUS</color></b> en plus de la récompense quotidienne que vous recevez habituellement. \n\nVous pouvez utiliser <size=120%><sprite="PopupIcons" name="RewardPoint"></size> des points de récompense pour progresser dans le Livre des récompenses, obtenir des ressources utiles et débloquer de nouveaux skins !
daily_login_bonus_information_gwent_bday;Pour célébrer le 5e anniversaire de Gwent, vous recevrez en vous connectant chaque jour <[Reward_Point_Sprite]> <b><#3ddc84>x<Amount_of_Reward_Points> BONUS</color></b> en plus de la récompense quotidienne normale.\nVous pouvez utiliser les points de récompense <[Reward_Point_Sprite]> pour progresser dans le livre des récompenses et obtenir ainsi des ressources utiles ou déverrouiller de magnifiques tenues !
daily_login_bonus_title_android_celebration;SEMAINE DE CÉLÉBRATION ANDROID
daily_login_counter;Jour {0}
daily_login_new_week_subtitle;Nouvelles récompenses déverrouillées
daily_login_new_week_title;Félicitations
daily_login_title;Voici votre récompense quotidienne
daily_quest_action_abandon;Échanger
daily_quest_complete_arena_run;Terminer une série de parties en arène en mode Standard.
daily_quest_completed;Terminée
daily_quest_play_1_match;Jouer 1 partie.
daily_quest_play_a_match;Jouer une partie en ligne dans n'importe quel mode.
daily_quest_play_x_cards;Jouer {0} cartes
daily_quest_play_x_maches;Terminer {0} parties en ligne dans n'importe quel mode
daily_quest_play_x_ranked_matches;Jouer {0} parties classées
daily_quest_win_1_match;Gagner 1 partie.
daily_quest_win_1_match_monsters;Gagner 1 partie avec les Monstres.
daily_quest_win_1_match_nilf;Gagner 1 partie avec le Nilfgaard.
daily_quest_win_1_match_north;Gagner 1 partie avec les Royaumes du Nord.
daily_quest_win_1_match_skell;Gagner 1 partie avec Skellige.
daily_quest_win_1_match_socia;Gagner 1 partie avec les Scoia'tael.
daily_quest_win_1_match_syn;Gagner 1 partie avec le Syndicat.
daily_quest_win_x_arena_matches;Remporter {0} parties dans l'arène
daily_quest_win_x_games_as_faction_y;Gagner {0} parties avec la faction « {1} »
daily_quest_win_x_maches;Gagner {0} parties
daily_quest_win_x_ranked_matches;Gagner {0} parties classées
data_achievements_avatar_reward_prefix;{0}
data_achievements_border_reward_prefix;{0}
data_achievements_reward_point_prefix;{0} Point(s) de récompense
data_achievements_title_reward_prefix;Titre : {0}
data_achievements_user_perk_desc;Avantage de l'utilisateur
data_wererat_year_bundle_desc_sale;<sprite="PopupIcons" name="Board"> Plateau des égouts\n\n<sprite="PopupIcons" name="CardBack"> Dos de carte du roi des rats\n\n<sprite="PopupIcons" name="Skin"> Tenue d'esprit agité\n\nIl est temps de laisser la peur s'installer. Profitez de -30 % sur ce lot durant l'événement de Saovine ! Il a d'abord été proposé durant l'année du Rat-garou.
db_filter_card_type_all;Tous les types de carte
db_filter_card_type_label;Type de carte
db_filter_crafting_cost;Coût de fabrication
db_filter_expansion_all;Tous les ensembles de carte
db_filter_expansion_label;Ensemble de cartes
db_filter_faction_all;Toutes les factions
db_filter_faction_label;Faction 
db_filter_multiple_selection;Multiple
db_filter_ouroboros_label;Cartes de cycle
db_filter_ownership_all;Toutes les cartes obtenues
db_filter_premium_all;Cartes standards/premium
db_filter_provision;Coût de recrutement
db_filter_tier_all;Cartes Bronze/Or
db_filter_tooltip_alphabethic_sort_ascending;Trier les cartes par ordre alphabétique
db_filter_tooltip_alphabethic_sort_descending;Trier les cartes par ordre alphabétique inversé
db_filter_tooltip_expansion_all;Toutes les cartes.
db_filter_tooltip_expansion_crimson_curse;Crimson Curse : cartes incluses dans l'ensemble de Crimson Curse.
db_filter_tooltip_expansion_ep3;Iron Judgment : cartes incluses dans l'ensemble d'Iron Judgment.
db_filter_tooltip_expansion_ep4;Merchants of Ofir : cartes incluses dans l'ensemble de Merchants of Ofir.
db_filter_tooltip_expansion_ep5;Cartes incluses dans l'ensemble de Master Mirror.
db_filter_tooltip_expansion_ep6;Cartes incluses dans l'ensemble de Way of the Witcher.
db_filter_tooltip_expansion_ep7;Cartes incluses dans l'ensemble de Price of Power.
db_filter_tooltip_expansion_ep8;Cartes incluses dans l'ensemble de l'Année du Crapaud maudit.
db_filter_tooltip_expansion_ep9;Cartes incluses dans l'ensemble Uroboros
db_filter_tooltip_expansion_homecoming;Cartes de l'ensemble de base.
db_filter_tooltip_expansion_novigrad;Cartes de l'ensemble de Novigrad.
db_filter_tooltip_expansion_tb;Cartes de l'ensemble de Thronebreaker. Remarque : il n'est possible d'obtenir les versions premium qu'en jouant à la campagne de Thronebreaker.
db_filter_tooltip_expansion_unmillable;Cartes de l'ensemble de démarrage. Remarque : les versions standard de ces cartes sont toujours disponibles pour tous les comptes de joueur et ne peuvent pas être fragmentées ou transmutées. Les versions premium doivent être fabriquées séparément.
db_filter_tooltip_faction;Faction
db_filter_tooltip_new;Nouvelle
db_filter_tooltip_new_all;Toutes
db_filter_tooltip_new_new;Nouvelle
db_filter_tooltip_ownership;Possession
db_filter_tooltip_ownership_all;Toutes
db_filter_tooltip_ownership_owned;Obtenue
db_filter_tooltip_ownership_unowned;Non obtenue
db_filter_tooltip_premium;Qualité
db_filter_tooltip_premium_all;Toutes
db_filter_tooltip_premium_premium;Premium
db_filter_tooltip_premium_priority;Afficher uniquement la version premium des cartes si elle est disponible, ou leur version standard autrement.
db_filter_tooltip_premium_standard;Normale
db_filter_tooltip_sort;Trier
db_filter_tooltip_sort_ascending;Bas
db_filter_tooltip_sort_descending;Haut
db_filter_tooltip_tier;Couleur
db_filter_tooltip_type_artifact;Artefact : carte sans valeur de force jouée sur le champ de bataille.
db_filter_tooltip_type_special;Carte spéciale : carte envoyée au cimetière après son utilisation.
db_filter_tooltip_type_stratagem;Stratagème : carte sans valeur de force, disposée de votre côté en début de partie, si vous jouez en premier, et disparaissant après utilisation.
db_filter_tooltip_type_unit;Unité : carte ayant une valeur de force jouée sur le champ de bataille.
db_tooltip_cards;Vous devez avoir au moins {0} cartes dans un jeu.
db_tooltip_provision;Votre jeu ne peut pas avoir un coût de recrutement supérieur à {0}.
db_tooltip_units;Vous devez avoir au moins {0} unités dans un jeu.
deck_invalid_reason_cards;Pour être valide, un jeu doit contenir au moins 25 cartes.
deck_invalid_reason_provisions;Le coût de recrutement total de votre jeu dépasse la limite de recrutement de votre chef.
deck_invalid_reason_units;Pour être valide, un jeu doit contenir au moins 13 unités.
deck_label_maximum;MAX
deck_label_minimum;MIN
deck_ready_invalid;Jeu non valide
deck_ready_to_play;PRÊT À JOUER !
deck_ready_valid;Prêt à jouer
deck_reward_desc;Vous avez déverrouillé tous les jeux de démarrage des factions !
deckbuilder_custom_decks;Jeux du joueur
deckbuilder_max_copies;COPIES MAX. : {0}
deckbuilder_milling_popup_confirmation;Génial !
deckbuilder_milling_popup_customize;Modifier les paramètres de fragmentation
deckbuilder_milling_popup_gain;Gain
deckbuilder_milling_popup_notification_settings;Afficher un message avant la fragmentation
deckbuilder_milling_popup_settings_shortcut;Cliquer pour afficher les paramètres de message <settings_icon>
deckbuilder_milling_popup_title;Cartes en excédent à fragmenter
deckbuilder_milling_settings_choose;Choisir
deckbuilder_milling_settings_deck_limits;Limite de jeu : votre jeu ne peut contenir que deux exemplaires de chaque carte Bronze et un exemplaire de chaque carte Or. Les cartes utilisées dans un jeu ne sont pas fragmentées.
deckbuilder_milling_settings_recommended;Recommandé
deckbuilder_milling_settings_subtitle;Vous pouvez modifier ces paramètres à tout moment.
deckbuilder_milling_settings_title;Choisir les paramètres de fragmentation
deckbuilder_milling_strategy_aggresive_title;Priorité aux ressources
deckbuilder_milling_strategy_aggressive_description;Fragmenter tous les exemplaires en trop par rapport à la limite de jeu en gardant de préférence la version premium des cartes. Réglage recommandé pour les joueurs cherchant à obtenir rapidement des ressources pour fabriquer plus de nouvelles cartes.
deckbuilder_milling_strategy_aggressive_title;Priorité aux ressources
deckbuilder_milling_strategy_relaxed_description;Garder tous les exemplaires en trop par rapport à la limite de jeu afin de les transmuter vers leur version premium. Réglage recommandé pour les joueurs souhaitant enrichir leur collection premium.
deckbuilder_milling_strategy_relaxed_title;Priorité aux cartes premium
deckbuilder_milling_strategy_standard_description;Fragmenter tous les exemplaires en trop par rapport à la limite de jeu : les versions standard et premium seront fragmentées séparément.
deckbuilder_milling_strategy_standard_title;Standard
deckbuilder_starter_decks;Jeux de démarrage
deckbuilder_summary_max;MAX {max_value}
deckbuilder_summary_min_max;MIN {min_value} / MAX {max_value}
delete_account_confirmation_message;Souhaitez-vous vraiment supprimer votre compte GOG ? Cela supprimera l'ensemble du contenu qui y est hébergé.
delete_account_confirmation_title;Supprimer ce compte
delete_save_text;Une sauvegarde existe déjà. Celle-ci sera écrasée si vous commencez une nouvelle partie. Voulez-vous continuer ?
delete_save_title;Écraser la sauvegarde
desc_ftux_wheel;En Enrôlement, vous jouez une série de 7 parties. Que vous gagniez ou que vous perdiez, vous pouvez continuer pour progresser.\nDurant la série de parties, vous aurez la possibilité d'enrichir votre jeu, et vous obtiendrez un résumé de vos résultats à la fin.
desc_packages_exchange;Entre les parties, vous pouvez modifier votre jeu.\nVous pouvez ajouter ou supprimer des paquets pour renforcer votre jeu et changer de tactique. Lorsque votre jeu vous donne satisfaction, n'oubliez pas que vous pouvez passer l'échange. Utilisez les icônes en haut pour prévisualiser les modifications suivantes de votre jeu.
desc_welcome_to_draft;Mettez à l'épreuve votre talent de créateur de jeu en affrontant d'autres joueurs.\nChaque série de parties en mode Enrôlement est différente : sélectionnez une capacité de chef et créez votre jeu à partir d'une sélection changeante de paquets.
device_not_supported_desc;Nécessite un iPhone 6s, un iPad Mini 4, un iPad 5, un iPad Air 2, un iPad Pro, un iPod Touch 7 ou un modèle plus récent.
device_not_supported_title;Appareil incompatible
dialog_cancel_settings_desc;Voulez-vous sauvegarder les modifications des paramètres ?
dialog_cancel_settings_title;Sauvegarder les paramètres ?
dialog_clear_board_desc;Voulez-vous vraiment effacer toutes les cartes de votre jeu actuel ?
dialog_clear_board_title;Effacer le jeu ?
dialog_mulligan_cancel_confirm_desc;Voulez-vous vraiment ne pas échanger d'autre carte ?\nVous pouvez encore échanger {0} carte(s).
dialog_mulligan_cancel_confirm_title;Échanger des cartes
dialog_reset_settings_desc;Voulez-vous vraiment rétablir les paramètres par défaut ?
dialog_reset_settings_title;Rétablir les paramètres par défaut ?
dialog_restart_settings_desc;Certains paramètres graphiques seront appliqués après le redémarrage du jeu.
dialog_restart_settings_title;Redémarrage requis
dialog_selection_cancel_confirm_desc;Avez-vous vraiment terminé votre choix ?
dialog_selection_cancel_confirm_title;Confirmer
did_not_receive_purchased_item;Produit non reçu. Le produit sera livré ultérieurement. Autrement, essayez de redémarrer le jeu.
did_not_receive_purchased_item_title;Produit non reçu.
do_you_want_to_cancel_invitie_message;Voulez-vous annuler la partie amicale ?
do_you_want_to_cancel_invitie_title;Annuler ?
do_you_want_to_cancel_spectator_invite_message;Voulez-vous vraiment arrêter de regarder cette partie de tournoi ? Vous ne pourrez pas revenir comme spectateur plus tard.
do_you_want_to_cancel_tournament_invite_message;Voulez-vous vraiment refuser l'invitation à une partie de tournoi ? Vous perdrez la partie !
do_you_want_to_cancel_your_invitie_message;Voulez-vous annuler votre invitation ?
downloading_text;Téléchargement de {0} %
drop_3_title;Chroniques
earned_rewards;Récompense(s) gagnée(s)
ended_season_title;Saison terminée
enter_text_chat;Trouver un ami…
entered_season_message;Nous avons calculé vos résultats en mode Partie classée. Un nouveau rang vous a été attribué en conséquence.
entered_season_title;Bienvenue dans la nouvelle saison !
entering_crossplay_description;Le matchmaking multiplateforme est activé par défaut.\nCela signifie que vous pouvez être opposé à des joueurs en dehors de {0}.\nVous pouvez modifier ce choix à tout moment dans les paramètres.\n\nParamètre actuel : <b>{1}</b>
entering_crossplay_title;JEU MULTIPLATEFORME
ep_5_2_title;Voyage
equip_error_text_key;Impossible de sauvegarder le jeu. Les babioles n'ont pas été équipées.
equip_error_title_key;Échec de la sauvegarde du jeu
error_card_template_desc;Une erreur s'est produite durant la lecture de la définition des cartes. Veuillez contacter l'assistance technique.
error_card_template_title;Oups ! Il y a un problème !
error_lower_dv_login;La version que vous utilisez a été mise à jour : veuillez télécharger la version plus récente.
error_s1;Pour en savoir plus, contactez l'assistance technique sur https://support.cdprojektred.com/
error_s1_title;Erreur 45
error_s2;Pour en savoir plus, contactez l'assistance technique sur https://support.cdprojektred.com/
error_s2_title;Erreur 123
error_s3;Votre compte a été suspendu sur Steam. Veuillez contacter l'assistance de Steam pour résoudre ce problème ou connectez-vous avec un compte différent.
error_s3_title;Compte suspendu
error_s4;Ce compte a été suspendu. Pour en savoir plus, contactez l'assistance technique sur https://support.cdprojektred.com/
error_s4_title;Compte suspendu
exit_pro_league;Passer en Partie classée
exit_prompt;QUITTER
expected_currency_balance_not_matching;Les prix indiqués sont obsolètes. Une mise à jour est en cours, veuillez réessayer plus tard !
experience_boost;Bonus d'EXP
experience_match_draw;ÉGALITÉ
experience_match_won;VICTOIRE
experience_no_gain;Aucune EXP gagnée
experience_performance;PERFORMANCE
experience_value;EXP
exploration_add_card;Nouvelle carte
exploration_add_card_more;Votre armée est devenue plus forte ! Une nouvelle carte a été ajoutée dans votre jeu. Vous pouvez désormais l'utiliser lors des batailles.
exploration_continue;Continuer
exploration_journal_title;Journal des quêtes
exploration_no;Non
exploration_press_a_to_interact;Interagir
exploration_quit_confirmation;Voulez-vous vraiment quitter ?
exploration_quit_confirmation_title;Quitter
exploration_remove_card;Carte perdue
exploration_remove_card_more;Vous avez perdu une carte. Vous ne pouvez plus l'utiliser lors des batailles.
exploration_unlock_mp_card_description;Vous avez déverrouillé la version Premium de cette carte dans votre collection multijoueur. Félicitations !
exploration_unlock_mp_card_title;Carte Premium déverrouillée !
exploration_yes;Oui
faction_challenge_victories;Victoires dans le défi de factions
faction_faceoff_reward;Récompenses du défi de factions
faction_invalid_name;Non valide
faction_monster_description;Poussés par leur instinct primitif, les Monstres ne connaissent pas le remords et se dévorent même entre eux pour accroître leur force.
faction_monster_name;Monstres
faction_monsters_0_desc_name;Froid blanc
faction_monsters_0_desc_text;Le <color=#ef7070><link=20005501>Froid blanc</link></color> vous permet de déplacer une unité de l'adversaire vers l'autre ligne et d'appliquer l'effet <color=#ef7070><link=frost>Givre</link></color>, qui infligera 2 points de dégâts à l'unité la plus forte sur cette ligne aux 2 tours suivants. Cela peut être très utile pour contrer les cartes ennemies ayant une capacité liée à une ligne précise.
faction_monsters_1_desc_name;Domination
faction_monsters_1_desc_text;Les cartes possédant une capacité <color=#ef7070><link=dominance>Domination</link></color>, comme l'unité <color=#ef7070><link=13240200>Chasse : molosse</link></color>, déploient tout leur potentiel quand vous contrôlez l'unité la plus forte sur le champ de bataille. L'unité la plus forte peut être la carte que vous jouez, ce qui vous permet de jouer l'unité <color=#ef7070><link=13231000>Chasse : cavalier</link></color> sur un plateau vide et de bénéficier de sa capacité <color=#ef7070><link=dominance>Domination</link></color>.
faction_monsters_2_desc_name;Givre
faction_monsters_2_desc_text;En appliquant <color=#ef7070><link=frost>Givre</link></color> avec une carte comme l'<color=#ef7070><link=20261200>Équipage du Naglfar</link></color>⁠ sur une ligne déjà affectée par <color=#ef7070><link=frost>Givre</link></color>, vous augmenterez la durée de l'effet actuel. Pensez à choisir judicieusement la ligne sur laquelle appliquer <color=#ef7070><link=frost>Givre</link></color>, car cela peut être essentiel pour maintenir la <color=#ef7070><link=dominance>Domination</link></color> de vos autres cartes.
faction_monsters_description;Menez la cavalerie de la Chasse Sauvage pour mettre à genoux un nouveau monde !
faction_neutral_name;Neutre
faction_nilfgaard_0_desc_name;Forfaiture
faction_nilfgaard_0_desc_text;La <color=#ef7070><link=20218601>Forfaiture</link></color> vous permet de regarder 3 cartes dans la main de votre adversaire et d'en choisir une à copier et jouer. Cela peut être particulièrement efficace quand votre adversaire n'a plus que 3 cartes, car vous saurez ainsi quels outils il peut encore utiliser contre vous.
faction_nilfgaard_1_desc_name;Assimilation
faction_nilfgaard_1_desc_text;Les cartes possédant une capacité <color=#ef7070><link=assimilate>Assimilation</link></color> reçoivent une amélioration chaque fois que vous jouez une carte ne faisant pas partie de votre jeu de départ. <color=#ef7070><link=20223900>Artorius Vigo</link></color>, par exemple, crée une copie d'une des cartes Bronze de votre jeu de départ, ce qui permet à Artorius et à toutes les autres cartes avec une capacité <color=#ef7070><link=assimilate>Assimilation</link></color> que vous contrôlez de bénéficier d'une amélioration de 1 point (sauf indication contraire).
faction_nilfgaard_2_desc_name;Déloyale
faction_nilfgaard_2_desc_text;Les cartes comme l'<color=#ef7070><link=20224800>Informatrice ducale</link></color> sont <color=#ef7070><link=disloyal>déloyales</link></color>, ce qui veut dire que vous devez les jouer du côté adverse du plateau. Ces cartes reçoivent aussi l'attribut <color=#ef7070><link=spying>Espion</link></color> une fois jouées. L'<color=#ef7070><link=20224800>Informatrice ducale</link></color> crée une copie d'une carte Bronze ennemie à jouer de votre côté, ce qui est pratique pour voler la stratégie de votre adversaire.
faction_nilfgaard_description;Utilisez tous les moyens nécessaires pour étendre l'influence de l'empire.
faction_nilfgaard_name;Nilfgaard
faction_northern_description;Les Royaumes du Nord disposent de mages puissants et de machines de siège pour bombarder leurs ennemis.
faction_northern_name;Royaumes du Nord
faction_northernrealms_0_desc_name;Révolte
faction_northernrealms_0_desc_text;La <color=#ef7070><link=20257401>Révolte</link></color> vous permet d'améliorer une unité 3 fois, ce qui vous permet de protéger vos cartes précieuses. Pour un maximum d'efficacité, gardez vos utilisations jusqu'à ce que vous soyez prêt à déployer le <color=#ef7070><link=20216100>Faucheur lyrien</link></color>, qui sera créé une fois toutes vos utilisations épuisées. Déployez cette carte sur une ligne remplie d'unités améliorées pour jouer un dernier coup puissant.
faction_northernrealms_1_desc_name;Motivation
faction_northernrealms_1_desc_text;Les cartes comme <color=#ef7070><link=20215200>Anna Strenger</link></color> disposent de capacités renforcées en état de <color=#ef7070><link=inspired>Motivation</link></color>, c'est-à dire quand leur force dépasse leur force initiale grâce à une amélioration ; leur impact sur le champ de bataille est alors accru. Il est souvent sage d'améliorer en priorité les unités de ce type pour prendre l'avantage.
faction_northernrealms_2_desc_name;Formation
faction_northernrealms_2_desc_text;Normalement, les cartes possédant des <color=#ef7070><link=order>Ordres</link></color> ne peuvent pas utiliser leur capacité avant le tour suivant celui où elles ont été jouées. Toutefois, celles possédant le mot-clé <color=#ef7070><link=formation>Formation</link></color>, comme les <color=#ef7070><link=20242100>Gardes royaux de Radovid</link></color>, le peuvent. Jouez ces cartes sur la ligne de combat rapproché pour utiliser leur capacité Ordre immédiatement OU sur la ligne de combat à distance pour gagner un point d'amélioration.
faction_northernrealms_description;Unissez vos troupes et renforcez-les pour écraser n'importe quel ennemi.
faction_scoiatael_0_desc_name;Don de la nature
faction_scoiatael_0_desc_text;Le <color=#ef7070><link=20016501>Don de la nature</link></color> peut être utilisé 3 fois pour ajouter à une unité l'attribut <color=#ef7070><link=vitality>Vitalité</link></color>, qui l'améliore de 1 point au terme de votre tour et du tour suivant. Cela peut être particulièrement efficace sur les <color=#ef7070><link=20267800>Hamadryades</link></color> et il est possible de l'utiliser plusieurs fois sur la même unité pour prolonger la durée.
faction_scoiatael_1_desc_name;Symbiose
